;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-206J ;Boeing 737-8 MAX; Y189 ; 27 Oct 2018 ; Parked CAN, lsd ; 3.4 Years ;;
; B-206L ;Boeing 737-8 MAX; Y189 ; On Order ;; 3 Years ;;
; B-208H ;Boeing 737-8 MAX; Y189 ; On Order ;; 3 Years ;;
; B- ;Boeing 737-8 MAX; Y189 ; On Order ;; 0.7 Years ;;
; B- ;Boeing 737-8 MAX; Y189 ; On Order ;; 0.3 Years ;;
; B-1172 ;Boeing 737-86X(WL); Y189 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;
; B-1233 ;Boeing 737-86X(WL); Y189 ; 29 Mar 2018 ;; 4 Years ;;
; B-1472 ;Boeing 737-86X(WL); Y189 ; 27 Jun 2017 ;lsd, "Ethereal Sound" sticker ; 4.7 Years ;;
; B-1473 ;Boeing 737-86X(WL); Y189 ; 29 Jun 2017 ;lsd ; 4.7 Years ;;
; B-1551 ;Boeing 737-86X(WL); Y189 ; 30 Aug 2016 ;; 5.5 Years ;;
; B-1552 ;Boeing 737-86X(WL); Y189 ; 15 Jul 2016 ;lsd ; 5.7 Years ;;
; B-1553 ;Boeing 737-86X(WL); Y189 ; 21 Dec 2016 ;lsd ; 5.5 Years ;;
; B-1556 ;Boeing 737-86X(WL); Y189 ; 22 Dec 2016 ;lsd ; 5.3 Years ;;
; B-1592 ;Boeing 737-86X(WL); Y189 ; 29 Mar 2017 ;lsd ; 5.1 Years ;;
; B-1715 ;Boeing 737-8GP(WL); Y189 ; 27 Aug 2014 ;lsd ; 7.7 Years ;;
; B-1716 ;Boeing 737-8GP(WL); Y189 ; 2 Feb 2015 ;lsd ; 7.2 Years ;;
; B-1719 ;Boeing 737-8GP(WL); Y189 ; 3 Sep 2014 ;lsd ; 7.6 Years ;;
; B-208K ;Boeing 737-86X(WL); Y189 ; 27 Feb 2019 ;lsd ; 3.2 Years ;;
; B-220S ;Boeing 737-86N(WL); Y189 ; 15 Mar 2021 ;lsd ; 9.1 Years ;;
; B-220Y ;Boeing 737-86N(WL); Y189 ; 19 Apr 2021 ;lsd ; 9 Years ;;
; B-221M ;Boeing 737-86N(WL); Y189 ; 14 Jan 2022 ;lsd ; 6.1 Years ;;
; B-6989 ;Boeing 737-86N(WL); Y189 ; 6 Jul 2015 ;lsd ; 8.7 Years ;;
; B-6990 ;Boeing 737-86N(WL); Y189 ; 6 Jul 2015 ;lsd ; 8.8 Years ;;
; B-6991 ;Boeing 737-86N(WL); Y189 ; 8 Mar 2016 ;lsd ; 8.7 Years ;;
; B-6992 ;Boeing 737-86N(WL); Y189 ; 8 Mar 2016 ;lsd ; 8.5 Years ;;
; B-7105 ;Boeing 737-84P(WL); Y189 ; 31 Oct 2019 ;lsd ; 6.4 Years ;;
; B-7113 ;Boeing 737-84P(WL); Y189 ; 2 Dec 2019 ;lsd ; 6.3 Years ;;
