;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9H-ACZ ;Airbus A340-313;; 2021 ; Parked ; 18 Years ;;
; 9H-BIG ;Airbus A340-312; C100 ; 16 Sep 2016 ;lsd ; 21.2 Years ;;
; 9H-ELF ;Boeing 737-7BC(WL) BBJ; VIP ; 13 Oct 2021 ;; 22.3 Years ;;
; 9H-AMY ;Bombardier CRJ-200ER (CL-600-2B19); C13 ; 5 Dec 2016 ;; 16.8 Years ;;
; 9H-BOO ;Bombardier Challenger 850 (CL-600-2B19); C15 ; 10 Jul 2015 ;; 16.4 Years ;;
; 9H-CLG ;Bombardier Challenger 850 (CL-600-2B19); C15 ; 22 Dec 2014 ;; 16.2 Years ;;
; 9H-DOM ;Bombardier Challenger 850 (CL-600-2B19); C13 ; Dec 2020 ;; 15.2 Years ;;
; 9H-JAD ;Bombardier Challenger 850 (CL-600-2B19); VIP ; 6 Jul 2018 ;lsd ; 16.2 Years ;;
; 9H-JOY ;Bombardier CRJ-200ER (CL-600-2B19); C15 ; 27 May 2015 ;lsd ; 19.9 Years ;;
; 9H-YOU ;Bombardier Challenger 850 (CL-600-2B19); C16 ; 27 Apr 2016 ;lsd ; 13.9 Years ;;
; 9H-GIB ;Embraer EMB-135BJ Legacy 650; VIP ; 23 Dec 2020 ;; 7.2 Years ;;
; 9H-JPC ;Embraer EMB-135BJ Legacy 600; C13 ; May 2013 ;; 14.5 Years ;;
; 9H-WFC ;Embraer EMB-135BJ Legacy 600; C13 ; May 2013 ;; 15 Years ;;
; 9H-FAB ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 18 Dec 2019 ;; 9.9 Years ;;
; 9H-FCM ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 18 Dec 2019 ;; 8.3 Years ;;
; 9H-NYC ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 21 Dec 2018 ;; 13.2 Years ;;
