;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; LV-VGF ;Boeing 737-2M6(A); Y120 ; 27 Sep 2002 ;; Scrapped ;Altair, lsd ;;
; LV-WSH ;Boeing 737-204C; Y120 / Cargo ; 27 Sep 2001 ; 4 Nov 2002 ;N282AD Ardennes Holdings Ltd ;lsd ;;
; LV-YGB ;Boeing 737-2S3(A);; 27 Sep 2001 ; Nov 2003 ;LV-YGB Southern Winds ;lsd ;;
; LV-YYC ;Boeing 737-7Q8;; Dec 2001 ; 24 May 2002 ;N341LF ILFC ;lsd ;;
; LV-ZHX ;Boeing 737-76N;; Dec 2001 ; 17 Sep 2002 ;N966PG Sky Holding Company ;lsd ;;
; LV-ZON ;Boeing 737-7Q8;; Dec 2001 ; 29 Aug 2002 ;N331LF ILFC ;lsd ;;
; LV-ZRC ;Boeing 737-76N;; Dec 2001 ; 17 Sep 2002 ;N745AL Aloha Airlines ;lsd ;;
; LV-ZRM ;Boeing 737-7Q8;; Dec 2001 ; 17 Jul 2002 ;N411LF ILFC ;lsd ;;
; LV-ZRP ;Boeing 737-76N;; Dec 2001 ; 21 Oct 2002 ;N746AL Aloha Airlines ;lsd ;;
; LV-ZSN ;Boeing 737-76N;; 1 Dec 2001 ; 23 Nov 2002 ;N748AL Aloha Airlines ;lsd ;;
; LV-ZXG ;Boeing 737-7Q8;; Dec 2001 ; 14 Jun 2002 ;N461LF ILFC ;lsd ;;
