;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; OE-IAB ;Boeing 737-4Z9(SF); Cargo ; 26 Jan 2017 ;; 30.8 Years ;;
; OE-IAC ;Boeing 737-4M0(SF); Cargo ; 19 Dec 2017 ;lsd ; 23.8 Years ;;
; OE-IAD ;Boeing 737-4M0(SF); Cargo ; 10 Jul 2018 ;lsd ; 23.7 Years ;;
; OE-IAE ;Boeing 737-4Q8(SF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 28.6 Years ;;
; OE-IAJ ;Boeing 737-476(SF); Cargo ; 24 May 2016 ;; 29.7 Years ;;
; OE-IAK ;Boeing 737-4Q8(SF); Cargo ; 2 Jul 2018 ;; 29.8 Years ;;
; OE-IAM ;Boeing 737-490(SF); Cargo ; 30 Jul 2018 ;; 24.7 Years ;;
; OE-IAP ;Boeing 737-4M0(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 23.6 Years ;;
; OE-IAQ ;Boeing 737-4M0(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 23.4 Years ;;
; OE-IAR ;Boeing 737-4M0(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 23.3 Years ;;
; OE-IAT ;Boeing 737-4M0(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 23.1 Years ;;
; OE-IAY ;Boeing 737-4Q8(SF); Cargo ; 14 Feb 2017 ;lsd ; 28 Years ;;
; OE-IAZ ;Boeing 737-4Q8(SF); Cargo ; 13 Mar 2017 ;lsd ; 27.9 Years ;;
; OE-IBI ;Boeing 737-490(SF); Cargo ; 30 Oct 2018 ;; 23.8 Years ;;
; OE-IBL ;Boeing 737-490(SF); Cargo ; 30 Nov 2018 ;; 23.8 Years ;;
; OE-IBO ;Boeing 737-490(SF); Cargo ; 6 Mar 2019 ;; 23.8 Years ;;
; OE-IBW ;Boeing 737-4Q8(SF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 28.2 Years ;;
; OO-TNN ;Boeing 737-45D(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 28.9 Years ;;
; OO-TNO ;Boeing 737-49R(BDSF); Cargo ; 24 May 2016 ;lsd ; 25.3 Years ;;
; OO-TNP ;Boeing 737-45D(BDSF); Cargo ; 24 May 2016 ;lsd, opf FedEx Express ; 28 Years ;;
; OO-TNQ ;Boeing 737-4M0(BDSF); Cargo ; 24 May 2016 ;lsd ; 23.6 Years ;;
; OE-IMC ;Boeing 737-83N(BCF)(WL); Cargo ; 21 Sep 2018 ;lsd ; 20.3 Years ;;
; OE-IMD ;Boeing 737-83N(BCF)(WL); Cargo ; 28 Nov 2018 ;lsd ; 19.9 Years ;;
; OE-IWA ;Boeing 737-8AS(BCF)(WL); Cargo ; 5 Jul 2021 ;; 15.3 Years ;;
; OE-IWB ;Boeing 737-8AS(BCF)(WL); Cargo ; 20 Jul 2021 ;; 15.9 Years ;;
; OE-IWD ;Boeing 737-8AS(BCF)(WL); Cargo ; 24 Aug 2021 ;opf FedEx Express ; 14.9 Years ;;
; OE-IWE ;Boeing 737-8AS(BCF)(WL); Cargo ; 25 Oct 2021 ;opf FedEx Express ; 14.8 Years ;;
; OE-IWF ;Boeing 737-8AS(BCF)(WL); Cargo ; 28 Oct 2021 ;opf FedEx Express ; 14.8 Years ;;
; OE-IXA ;Boeing 737-8AS(BCF)(WL); Cargo ; 4 Jun 2021 ;lsd, opf FedEx Express ; 15.3 Years ;;
; OE-IXB ;Boeing 737-8AS(BCF)(WL); Cargo ; 31 Aug 2021 ;lsd ; 19.1 Years ;;
; OE-IXC ;Boeing 737-8AS(BCF)(WL); Cargo ; 20 Sep 2021 ;lsd ; 19.2 Years ;;
; OE-IFB ;Boeing 747-4B5ERF; Cargo ; 27 Mar 2017 ;lsd ; 18.3 Years ;;
; OE-IFD ;Boeing 747-4B5ERF; Cargo ; 27 Mar 2017 ;lsd ; 17.8 Years ;;
; OE-IFK ;Boeing 747-4KZF; Cargo ; 18 Sep 2020 ;; 13.2 Years ;;
; OE-IFM ;Boeing 747-4KZF; Cargo ; 15 Oct 2020 ;; 12.9 Years ;;
; OE-ILC ;Boeing 747-409F; Cargo ; 24 Oct 2019 ;lsf China Airlines ; 21.1 Years ;;
; OE-LFE ;Boeing 757-28A(SF); Cargo ; 22 Oct 2020 ;; 29 Years ;;
; OO-TFC ;Boeing 757-222(PCF)(WL); Cargo ; 24 May 2016 ;lsd ; 30.1 Years ;;
