;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HB-AFF ;ATR 42-320; Y46 ; 25 Jun 2015 ; 29 Dec 2017 ;C-GVGX Air North ;;;
; HB-ACE ;ATR 72-500 (72-212A); Cargo ; 31 Jul 2015 ; 2 Nov 2016 ;EI-SOO ASL Airlines Ireland ;;;
; HB-AFG ;ATR 72-201(F); Cargo ; 25 Jun 2015 ; 16 Nov 2015 ;EI-SLR ASL Airlines Ireland ;;;
; HB-AFH ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 27 Jun 2017 ;HB-AFH DHL Aviation ;;;
; HB-AFJ ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 13 Jul 2017 ;EI-SLV ASL Airlines Ireland ;;;
; HB-AFK ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 4 Aug 2017 ;EI-SLW ASL Airlines Ireland ;;;
; HB-AFL ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 27 Jul 2017 ;EI-SLX ASL Airlines Ireland ;;;
; HB-AFM ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 20 Jun 2017 ;EI-SLU ASL Airlines Ireland ;;;
; HB-AFN ;ATR 72-201(F); Cargo ; 25 Jun 2015 ; 19 Jan 2016 ;EI-SLT ASL Airlines Ireland ;;;
; HB-AFP ;ATR 72-201(F); Cargo ; 25 Jun 2015 ; 22 Feb 2017 ;HB-AFP DHL Aviation ;;;
; HB-AFR ;ATR 72-201(F); Cargo ; 25 Jun 2015 ; 12 May 2017 ;HB-AFR DHL Aviation ;;;
; HB-AFS ;ATR 72-201(F); Cargo ; 15 Dec 2015 ; 2 Sep 2016 ;EI-SLS ASL Airlines Ireland ;;;
; HB-AFV ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 12 Sep 2017 ;EI-SLY ASL Airlines Ireland ;;;
; HB-AFW ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 16 Oct 2017 ;EI-SLZ ASL Airlines Ireland ;;;
; HB-AFX ;ATR 72-202(F); Cargo ; 25 Jun 2015 ; 14 Nov 2017 ;EI-SOA ASL Airlines Ireland ;;;
