;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N229US ;Boeing 737-201(A);; 9 Jul 2002 ;; Scrapped ;;;
; N231US ;Boeing 737-2Q9(A);; 11 Apr 2002 ; Apr 2002 ; Scrapped ;;;
; XA-ABC ;Boeing 737-205(A); Y120 ; 2 Mar 2001 ; 19 Apr 2008 ;C9-BAO LAM - Linhas Aéreas de Moçambique ;;;
; XA-NAF ;Boeing 737-219(A);; 25 Feb 2000 ; 9 Jun 2009 ;N470CC BC Aircraft Leasing ;;;
; XA-NAK ;Boeing 737-219(A);; 30 Jun 2000 ; Jul 2008 ;9J-KDK Zambian Airways ;;;
; XA-NAV ;Boeing 737-219(A);; 20 Dec 1999 ; 9 Jun 2009 ;N472BC BC Aircraft Leasing ;;;
; XA-SIW ;Boeing 737-2T4(A);; Aug 2000 ;; Stored ;;;
; XA-SIX ;Boeing 737-2T4(A);; Aug 2000 ; 6 Oct 2008 ;N371AL Unknown ;lsd ;;
; XA-TTM ;Boeing 737-201(A); Y120 ; 27 Mar 2002 ; 6 Jul 2009 ; Stored ;;;
; XA-TTP ;Boeing 737-201(A);; 9 May 2002 ;; Stored ;;;
; XA-TUK ;Boeing 737-201(A); Y120 ; 5 Aug 2002 ; 6 Jul 2009 ; Stored ;;;
; XA-TVD ;Boeing 737-201(A); Y120 ; 18 Jul 2002 ; 6 Jul 2009 ; Scrapped ;;;
; XA-TVL ;Boeing 737-201(A); Y120 ; 20 Aug 2002 ; 6 Jul 2009 ; Stored ;;;
; XA-TVN ;Boeing 737-201(A); Y120 ; 30 Sep 2002 ; 6 Jul 2009 ; Stored ;;;
; XA-TWJ ;Boeing 737-219(A);; 5 Dec 2002 ; 6 Jul 2009 ; Scrapped ;;;
; XA-TWO ;Boeing 737-219(A); Y120 ; 19 Dec 2002 ; 6 Jul 2009 ; Preserved ;;;
; XA-TWV ;Boeing 737-219(A);; 24 Jan 2003 ;; Stored ;;;
; XA-TXD ;Boeing 737-201(A); Y120 ; 6 Feb 2003 ; 6 Jul 2009 ; Scrapped ;;;
; XA-TXF ;Boeing 737-201(A); Y120 ; 28 Apr 2003 ; 6 Jul 2009 ; Stored ;;;
; XA-TYC ;Boeing 737-201(A); Y120 ; 25 Apr 2003 ; 6 Jul 2009 ; Stored ;;;
; XA-TYI ;Boeing 737-201(A); Y120 ; 10 Dec 2003 ; 6 Jul 2009 ; Stored ;;;
; XA-TYO ;Boeing 737-201(A); Y120 ; 25 Sep 2003 ; 6 Jul 2009 ; Preserved ;;;
; XA-UAA ;Boeing 737-201(A); Y120 ; 24 Dec 2003 ; 6 Jul 2009 ; Scrapped ;;;
; XA-UCA ;Boeing 737-201(A); Y120 ; 16 Aug 2004 ; 6 Jul 2009 ; Stored ;;;
; XA-UCG ;Boeing 737-201(A); Y120 ; 13 Sep 2004 ; 6 Jul 2009 ; Scrapped ;;;
; XA-UIU ;Boeing 737-247(A);; 21 Nov 2007 ; Sep 2012 ;XA-URU Danaus Airlines ;;;
; XA-UIV ;Boeing 737-247(A);; 21 Nov 2007 ;; Stored ;;;
; XA-UIY ;Boeing 737-232(A);; 21 Nov 2007 ; Sep 2008 ;YV2559 Conviasa ;;;
; XA-UIZ ;Boeing 737-232(A);; 21 Nov 2007 ; Sep 2008 ;YV2558 Conviasa ;;;
; XA-UJB ;Boeing 737-247(A);; 21 Nov 2007 ; Sep 2012 ;XA-URT Danaus Airlines ;;;
; XA-UJC ;Boeing 737-247(A);; 21 Nov 2007 ;; Scrapped ;;;
; XA-UFW ;Boeing 737-301; Y136 ; 9 Aug 2006 ; 6 Jul 2009 ; Scrapped ;lsd ;;
; XA-UGE ;Boeing 737-301; Y136 ; 5 Sep 2006 ; 6 Jul 2009 ; Preserved ;lsd ;;
; XA-UGF ;Boeing 737-301; Y136 ; 5 Sep 2006 ;; Scrapped ;lsd ;;
; XA-RST ;British Aerospace 146-100A; Y86 ; 6 Dec 1991 ; 18 May 1992 ;N568BA British Aerospace Asset Management ;;;
; XA-RMO ;British Aerospace 146-200; Y89 ; 20 Sep 1990 ; 18 Mar 1992 ;N352BA British Aerospace Asset Management ;Lacantun, lsd ;;
; XA-RTI ;British Aerospace 146-200; Y89 ; 29 Jan 1991 ; 18 Mar 1992 ;N356BA British Aerospace Asset Management ;lsd ;;
; XA-RKM ;Fokker F100; Y108 ; 25 Feb 1992 ; 2 May 1995 ;PH-LNH Fokker ;Yaxchilan, lsd ;;
; XA-RKN ;Fokker F100; Y108 ; 27 Feb 1992 ; Apr 1996 ;PH-LNK GECAS ;lsd ;;
; XA-SBH ;Fokker F100; Y108 ; 9 Apr 1992 ; Dec 1994 ;PH-LNN Guinness Peat Aviation (GPA) ;lsd ;;
; XA-SCD ;Fokker F100; Y108 ; 27 Jun 1992 ; 7 Sep 1995 ;SE-DUI Transwede Airways ;lsd ;;
; XA-TIM ;McDonnell Douglas DC-9-15; Y90 ; 29 Aug 1997 ; 2003 ; Scrapped ;lsf Express Tours Inc ;;
; XA-TIZ ;McDonnell Douglas DC-9-15; Y90 ; 29 Oct 1997 ; May 2002 ; Scrapped ;lsf Express Tours Inc ;;
; XA-TJS ;McDonnell Douglas DC-9-15; Y90 ; 11 Feb 1998 ; 2003 ; Scrapped ;lsf Express Tours Inc ;;
