;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PK-KKF ;Boeing 737-291(A); Y130 ; 27 Dec 2004 ; 18 Mar 2008 ;PK-JTY Jatayu Airlines ;lsf Fort Lauderdale Aerospace Inc ;;
; PK-KKJ ;Boeing 737-230(A);; 26 May 2005 ;; Scrapped ;;;
; PK-KKL ;Boeing 737-247(A);; 3 Jun 2005 ; Aug 2007 ;HC-CGA AeroGal ;lsd ;;
; PK-KKN ;Boeing 737-2U4(A);; Jun 2005 ; 20 Mar 2008 ;N216AG Aergo Capital ;lsd ;;
; PK-KKP ;Boeing 737-2Q3(A);; Jun 2005 ; Feb 2009 ;PK-BPA Top Air ;lsd ;;
; PK-KKQ ;Boeing 737-2T5(A);; 15 Jul 2005 ; 11 Sep 2008 ;N223SG WFBN Wells Fargo Bank Northwest ;;;
; PK-KKE ;Boeing 737-329;; 28 Oct 2004 ; 20 Dec 2007 ;OM-HLA Seagle Air ;lsd ;;
; PK-KKM ;Boeing 737-33A;; 6 Sep 2006 ; 25 Apr 2008 ;N791AW Ansett Worldwide (AWAS) ;lsd ;;
; PK-KKR ;Boeing 737-3L9; Y148 ; 8 Jun 2005 ; 20 Mar 2008 ;N569AG Aviation Capital Group (ACG) ;lsd ;;
; PK-KKU ;Boeing 737-3Y0;; 5 Dec 2005 ; 26 Mar 2008 ;N314CW WFBN Wells Fargo Bank Northwest ;lsd ;;
; PK-KKV ;Boeing 737-33A;; 7 Dec 2006 ; 21 Feb 2007 ; Written Off ;lsd ;;
; PK-KKY ;Boeing 737-3S3;; 15 Dec 2006 ; 3 Jun 2008 ;N240AG Aergo Capital ;lsd ;;
; PK-KKZ ;Boeing 737-3Q8;; 27 Jan 2006 ; 19 Mar 2008 ;N243AD Jetscape ;lsd ;;
; PK-KKC ;Boeing 737-4Y0;; 16 Dec 2003 ; 26 Mar 2008 ;N314PW GECAS ;lsd ;;
; PK-KKD ;Boeing 737-4Y0; Y170 ; 26 Feb 2004 ; 26 Mar 2008 ;N312DV GECAS ;lsd ;;
; PK-KKG ;Boeing 737-4S3;; 3 Feb 2005 ; 3 Apr 2008 ;N534AG Aviation Capital Group (ACG) ;lsd ;;
; PK-KKH ;Boeing 737-4Q8;; 25 Mar 2005 ; 19 Mar 2008 ;N240AD Jetscape ;lsd ;;
; PK-KKI ;Boeing 737-4Q8;; 15 Apr 2005 ; 6 May 2008 ;N234AN Ansett Worldwide (AWAS) ;lsd ;;
; PK-KKS ;Boeing 737-4Y0; Y170 ; 18 Jan 2006 ; 1 Apr 2008 ;N239DT CIT Leasing Corporation ;lsd ;;
; PK-KKT ;Boeing 737-408;; 12 Aug 2005 ; 25 Apr 2008 ;N353CL CIT Leasing Corporation ;lsd ;;
; PK-KKW ;Boeing 737-4Q8;; 1 Dec 2005 ; 1 Jan 2007 ; Written Off ;lsd ;;
; PK-KMA ;Boeing 737-4Y0;; Mar 2007 ; 3 Apr 2008 ;N316DV GECAS ;lsd ;;
; PK-KMC ;Boeing 737-4Y0; Y170 ; 4 May 2007 ; 28 Mar 2008 ;N314JW AerSale Inc ;lsd ;;
; PK-KMD ;Boeing 737-4Y0; Y170 ; 5 May 2007 ; 28 Mar 2008 ;N314MW GECAS ;lsd ;;
; PK-KME ;Boeing 737-4Y0;; 30 Jul 2007 ; 28 Mar 2008 ;N239AD GECAS ;lsd ;;
; PK-KMF ;Boeing 737-4B7;; 17 Jul 2007 ; 1 Apr 2008 ;N245DT CIT Leasing Corporation ;lsd ;;
; PK-KKA ;Boeing 737-56N; Y132 ; 15 Dec 2003 ; 27 Mar 2008 ;N565LS GECAS ;lsd ;;
