;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 9M-PMW ;Boeing 737-209(A);; Jul 1998 ; 12 Mar 2000 ;9M-PMW Transmile Air Services ;lsf Transmile Air Services ;;
; AP-BHU ;Boeing 737-275(A);; 10 Jan 2006 ; 2006 ; Stored ;;;
; EX-006 ;Boeing 737-2Q8(A);; 20 Dec 2002 ; 9 Nov 2005 ;EX-006 Phoenix Aviation ;;;
; EX-450 ;Boeing 737-281;; 6 Feb 2005 ; 11 Jan 2006 ;XU-U4B PMTair ;lsf Phoenix Aviation ;;
; EX-632 ;Boeing 737-2T5(A);; 14 Mar 2004 ; 26 Jun 2006 ;EX-212 MAXavia ;lsf Phoenix Aviation ;;
; UR-BYL ;McDonnell Douglas DC-9-51;; Apr 2004 ; 5 Oct 2008 ;4L-GNN Sky Georgia ;lsf Khors Aircompany ;;
; UR-CBV ;McDonnell Douglas DC-9-51;; 3 May 2004 ; 19 May 2007 ;UR-CBV Khors Aircompany ;lsf Khors Aircompany ;;
; UR-CBN ;McDonnell Douglas MD-82 (DC-9-82);; Aug 2005 ; 2 Jan 2008 ;UR-CBN Khors Aircompany ;;;
; UR-CBO ;McDonnell Douglas MD-82 (DC-9-82);; Nov 2006 ; Dec 2006 ;UR-CBO Khors Aircompany ;lsf Khors Aircompany ;;
; UR-CEW ;McDonnell Douglas MD-82 (DC-9-82); Y157 ; Jul 2005 ; 4 May 2007 ;UR-CEW Khors Aircompany ;lsf Khors Aircompany ;;
; SE-RDH ;McDonnell Douglas MD-83 (DC-9-83);; Oct 2005 ; 16 Feb 2006 ;SX-BSW Sky Wings ;lsf Viking Airlines ;;
; UR-CEL ;McDonnell Douglas MD-83 (DC-9-83);; Dec 2004 ; Dec 2006 ;XU-U4D PMTair ;lsf Khors Aircompany ;;
; AP-BFC ;ROMBAC 1-11-561RC One-Eleven; Y109 ; 16 Aug 1995 ; 2000 ; Derelict ;lsf TAROM ;;
; AP-BFD ;ROMBAC 1-11-561RC One-Eleven; Y109 ; 17 Aug 1995 ; 2000 ; Scrapped ;;;
; AP-BFE ;ROMBAC 1-11-561RC One-Eleven; Y109 ; 2 Aug 1995 ; Dec 2000 ; Scrapped ;;;
; AP-BFF ;ROMBAC 1-11-561RC One-Eleven; Y109 ; 15 Aug 1995 ; Dec 2000 ; Scrapped ;;;
; YR-BRB ;ROMBAC 1-11-561RC One-Eleven;; Feb 1995 ; Jun 1995 ;YR-BRB TAROM ;lsf TAROM ;;
; YR-BRE ;ROMBAC 1-11-561RC One-Eleven;; 17 Sep 1995 ; 30 Oct 1995 ;YR-BRE Romavia ;lsf Romavia ;;
; YR-BRH ;ROMBAC 1-11-561RC One-Eleven;; 7 Mar 1994 ; Apr 1997 ;YR-BRH Romavia ;lsf Romavia ;;
