;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XA-AGS ;McDonnell Douglas DC-9-15; CY85 ; 27 May 1988 ; 2005 ; Partially Scrapped ;lsd ;;
; XA-BCS ;McDonnell Douglas DC-9-14; CY85 ; 18 Dec 1988 ; 21 Jul 2004 ; Written Off ;lsd ;;
; XA-BCS ;McDonnell Douglas DC-9-15MC;; 1 Jun 1982 ; 23 Sep 1988 ;N915F Evergreen International Airlines ;;;
; XA-CSL ;McDonnell Douglas DC-9-14; CY85 ; 21 Jul 1988 ; 2 Apr 2006 ; Scrapped ;lsd ;;
; XA-GDL ;McDonnell Douglas DC-9-15; CY85 ; 23 Nov 1990 ; 2 Apr 2006 ; Scrapped ;465, lsd ;;
; XA-LAC ;McDonnell Douglas DC-9-15; CY85 ; 18 Oct 1990 ; 2 Apr 2006 ; Partially Scrapped ;466, lsd ;;
; XA-LMM ;McDonnell Douglas DC-9-14; CY85 ; 18 Jun 1988 ; 2 Apr 2006 ; Partially Scrapped ;lsd ;;
; XA-RKT ;McDonnell Douglas DC-9-15; CY85 ; 9 Mar 1990 ; 2 Apr 2006 ; Partially Scrapped ;466, lsd ;;
; XA-RNQ ;McDonnell Douglas DC-9-15; CY85 ; 12 Oct 1990 ; 2 Apr 2006 ; Partially Scrapped ;lsd ;;
; XA-RRY ;McDonnell Douglas DC-9-15; CY85 ; 18 Dec 1989 ; 2005 ; Scrapped ;lsd ;;
; XA-RXG ;McDonnell Douglas DC-9-14; CY85 ; 6 Jun 1991 ; 2 Apr 2006 ; Partially Scrapped ;lsd ;;
; XA-SYQ ;McDonnell Douglas DC-9-14; CY85 ; 23 May 1995 ; 2 Apr 2006 ; Scrapped ;;;
; XA-ACZ ;McDonnell Douglas DC-9-32; Y115 ; 27 Oct 2000 ; 23 Jul 2008 ; Stored ;lsf Interglobal Inc ;;
; XA-ADA ;McDonnell Douglas DC-9-32; CY104 ; 27 Oct 2000 ; 23 Jul 2008 ; Scrapped ;lsd ;;
; XA-ADK ;McDonnell Douglas DC-9-32; CY104 ; 16 Nov 2000 ; 2 Apr 2006 ; Stored ;lsf Interglobal Inc ;;
; XA-SWG ;McDonnell Douglas DC-9-32; CY104 ; 1 Dec 1994 ; 23 Jul 2008 ; Derelict ;lsd ;;
; XA-SWH ;McDonnell Douglas DC-9-32; CY104 ; 1 Dec 1994 ; 2 Apr 2006 ; Partially Scrapped ;lsd ;;
; XA-SYD ;McDonnell Douglas DC-9-32; CY104 ; 1 Apr 1995 ; 23 Jul 2008 ; Scrapped ;lsd ;;
; XA-TAF ;McDonnell Douglas DC-9-32; CY104 ; 27 Jun 1995 ; 23 Jul 2008 ; Stored ;lsd ;;
; XA-TBQ ;McDonnell Douglas DC-9-32; CY104 ; 11 Sep 1995 ; 2 Apr 2006 ; Stored ;;;
; XA-TFO ;McDonnell Douglas DC-9-32;; Mar 1997 ; Jul 1997 ;XA-TFO Aeromexico ;lsf Aeromexico ;;
; XA-THB ;McDonnell Douglas DC-9-32; CY104 ; Mar 1997 ; 2 Apr 2006 ; Scrapped ;lsf Interglobal Inc ;;
; XA-THC ;McDonnell Douglas DC-9-32; CY104 ; Mar 1997 ; 2 Apr 2006 ; Stored ;lsf Interglobal Inc ;;
; XA-TNT ;McDonnell Douglas DC-9-32; CY104 ; 31 Aug 1999 ; 23 Jul 2008 ; Scrapped ;lsf Interglobal Inc ;;
; XA-UDA ;McDonnell Douglas DC-9-32; Y115 ; 19 Jan 2005 ; 23 Jul 2008 ; Stored ;;;
; XA-UDB ;McDonnell Douglas DC-9-32; CY104 ; 21 Jan 2005 ; 23 Jul 2008 ; Stored ;;;
; XA-UDC ;McDonnell Douglas DC-9-32; Y115 ; 19 Jan 2005 ; 23 Jul 2008 ; Scrapped ;;;
; XA-UDD ;McDonnell Douglas DC-9-32; Y115 ; 19 Jan 2005 ; 23 Jul 2008 ; Stored ;lsd ;;
; XA-UDE ;McDonnell Douglas DC-9-32; Y115 ; 21 Jan 2005 ; 23 Jul 2008 ; Stored ;lsf Interglobal Inc ;;
; XA-UDF ;McDonnell Douglas DC-9-32; Y115 ; 19 Jan 2005 ; 23 Jul 2008 ; Derelict ;lsd ;;
; XA-UDG ;McDonnell Douglas DC-9-32; Y115 ; 24 Jan 2005 ; 23 Jul 2008 ; Scrapped ;lsf Interglobal Inc ;;
; XA-UDH ;McDonnell Douglas DC-9-32; Y115 ; 21 Jan 2005 ; 23 Jul 2008 ; Derelict ;lsf Interglobal Inc ;;
; XA-UDS ;McDonnell Douglas DC-9-32; Y115 ; 24 Feb 2005 ; 23 Jul 2008 ; Derelict ;lsf Interglobal Inc ;;
; XA-UEG ;McDonnell Douglas DC-9-32; Y115 ; 18 Apr 2005 ; 23 Jul 2008 ; Scrapped ;lsf Interglobal Inc ;;
; XA-UEI ;McDonnell Douglas DC-9-32; Y115 ; 8 Jun 2005 ; 23 Jul 2008 ; Derelict ;lsd ;;
