;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-ABLB ;Airbus A320-214;; 15 May 2002 ; 24 Jun 2003 ;PH-BMD Dutchbird ;lsd ;;
; D-ALAA ;Airbus A320-232; Y174 ; 12 Jan 1996 ; 9 Feb 2004 ;N602AW America West Airlines ;lsd ;;
; D-ALAB ;Airbus A320-232; Y174 ; 28 Apr 2003 ; 8 Nov 2003 ;D-ALAB Ryan International Airlines ;lsd ;;
; D-ALAC ;Airbus A320-232; Y174 ; 1 Apr 1996 ; 22 Mar 2004 ;D-ARFC Aero Flight ;lsd ;;
; D-ALAD ;Airbus A320-232; Y174 ; 12 Mar 1997 ; 16 Oct 2003 ;N603AW America West Airlines ;lsd ;;
; D-ALAE ;Airbus A320-232;; 18 Nov 2003 ; 18 Dec 2003 ;D-ALAE Ryan International Airlines ;;;
; D-ALAF ;Airbus A320-232;; 1 Apr 1997 ; 27 Nov 2003 ;D-ALAF Niki ;;;
; D-ALAJ ;Airbus A320-232;; 5 May 1999 ; 16 Oct 2003 ;N990SE Singapore Aircraft Leasing Enterprise (SALE) ;Frankfurt am Main, lsd ;;
; D-ALAR ;Airbus A320-232; Y174 ; 29 Apr 2003 ; 21 Nov 2003 ;D-ALAR Ryan International Airlines ;;;
; D-ALAT ;Airbus A320-232; Y174 ; 7 May 2003 ; 15 Dec 2003 ;D-ALAT Ryan International Airlines ;lsd ;;
; D-ALAU ;Airbus A320-232; Y174 ; 4 Aug 2003 ; 3 Dec 2003 ;N601AW America West Airlines ;lsd ;;
; EI-TLG ;Airbus A320-231;; 2 Jul 1994 ; Dec 1994 ;EI-TLG Leisure Air ;lsf Translift Airways ;;
; N315RX ;Airbus A320-231;; 12 May 1994 ; 15 Jun 1994 ;N315RX Leisure Air ;lsf Leisure Air ;;
; YU-AOA ;Airbus A320-231;; 14 Jul 1991 ; 31 Oct 1991 ;SL-AAA Adria Airways ;lsf Adria Airways ;;
; D-ALAG ;Airbus A321-231; Y210 ; 3 Mar 1998 ; 22 Dec 2003 ;TC-OAI Onur Air ;lsd ;;
; D-ALAH ;Airbus A321-231;; 11 Mar 1998 ; 22 Dec 2003 ;F-WQST Singapore Aircraft Leasing Enterprise (SALE) ;lsd ;;
; D-ALAI ;Airbus A321-231; Y210 ; 9 Feb 1999 ; 3 Feb 2004 ;TC-OAK Onur Air ;lsd ;;
; D-ALAK ;Airbus A321-231; Y210 ; 23 Apr 1999 ; 24 Feb 2004 ;TC-OAL Onur Air ;lsd ;;
; D-ALAL ;Airbus A321-231; Y210 ; 19 Apr 2000 ; 17 Dec 2003 ;D-ALAL Ryan International Airlines ;;;
; D-ALAM ;Airbus A321-231;; 13 Apr 2000 ; 1 Apr 2004 ;D-ARFB Aero Flight ;;;
