;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VQ-BAN ;Boeing 737-4Q8;; 22 Dec 2008 ; 25 Sep 2009 ;VQ-BAN Donavia ;lsd ;;
; VQ-BAO ;Boeing 737-4Q8;; 24 Jun 2009 ; 25 Sep 2009 ;VQ-BAO Donavia ;lsd ;;
; VQ-BCS ;Boeing 737-43Q;; 1 Apr 2009 ; 25 Sep 2009 ;VQ-BCS Donavia ;lsd ;;
; VP-BLF ;Boeing 737-528; CY112 ; 1 May 2007 ; 25 Sep 2009 ;VP-BLF Donavia ;;;
; VP-BLG ;Boeing 737-528; CY112 ; 9 May 2007 ; 25 Sep 2009 ;VP-BLG Donavia ;lsd ;;
; VP-BVU ;Boeing 737-5Q8; CY112 ; 21 Dec 2007 ; 25 Sep 2009 ;VP-BVU Donavia ;lsd ;;
; VP-BWY ;Boeing 737-528; CY112 ; 28 Jul 2006 ; 25 Sep 2009 ;VP-BWY Donavia ;lsd ;;
; VP-BWZ ;Boeing 737-528; CY112 ; 28 Jul 2006 ; 25 Sep 2009 ;VP-BWZ Donavia ;lsd ;;
; VP-BYU ;Boeing 737-5Q8; CY112 ; 16 May 2008 ; 25 Sep 2009 ;VP-BYU Donavia ;lsd ;;
; VP-BYV ;Boeing 737-5Q8; CY112 ; 12 Mar 2008 ; 25 Sep 2009 ;VP-BYV Donavia ;lsd ;;
