;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; CCCP-82005 ;Antonov An-124; Cargo ; 1986 ; 14 Feb 1988 ;CCCP-82005 Soviet Air Force (Red Air Force) ;;;
; CCCP-82007 ;Antonov An-124; Cargo ; 1987 ; 1993 ;UR-82007 Antonov Airlines (Antonov Design Bureau) ;;;
; CCCP-82010 ;Antonov An-124; Cargo ; 1987 ; 6 Sep 1991 ;CCCP-82010 Volga-Dnepr ;;;
; CCCP-82013 ;Antonov An-124; Cargo ; 29 Sep 1987 ; 1993 ;RA-82013 Russian Federation Air Force ;;;
; CCCP-82014 ;Antonov An-124; Cargo ; 30 Nov 1987 ; 1993 ;RA-82014 Russian Federation Air Force ;;;
; CCCP-82028 ;Antonov An-124-100; Cargo ; 20 Mar 1991 ; 1993 ;RA-82028 Aeroflot - Russian Airlines ;;;
; CCCP-82030 ;Antonov An-124; Cargo ; 30 Dec 1987 ; 1993 ;RA-82030 Russian Federation Air Force ;;;
; CCCP-82032 ;Antonov An-124; Cargo ; 30 Jun 1988 ; 1993 ;RA-82032 Russian Federation Air Force ;;;
; CCCP-82033 ;Antonov An-124; Cargo ; 1991 ; 17 Jan 1992 ;CCCP-82033 Transaero Airlines ;;;
; CCCP-82034 ;Antonov An-124; Cargo ; 14 Dec 1988 ; 1994 ;RA-82034 Russian Federation Air Force ;;;
; CCCP-82035 ;Antonov An-124; Cargo ; 26 Apr 1989 ; 1994 ;RA-82035 Russian Federation Air Force ;;;
; CCCP-82036 ;Antonov An-124; Cargo ; 1988 ; 1993 ;RA-82036 Transaero Airlines ;;;
; CCCP-82037 ;Antonov An-124; Cargo ; 1989 ; 1993 ;RA-82037 Russian Federation Air Force ;;;
; CCCP-82039 ;Antonov An-124; Cargo ; 1990 ; 1993 ;RA-82039 Russian Federation Air Force ;;;
; CCCP-82040 ;Antonov An-124-100; Cargo ; 12 Jun 1992 ; 1993 ;RA-82040 Russian Federation Air Force ;;;
; CCCP-82041 ;Antonov An-124; Cargo ; 1990 ; 1993 ;RA-82041 Russian Federation Air Force ;;;
; CCCP-86467 ; Ilyushin Il-62MK ;; 1992 ; 22 Jul 1994 ;RA-86467 Rossiya - Russian Airlines ;;;
; CCCP-96001 ;Ilyushin Il-96-300;;; May 1993 ;RA-96001 Aeroflot - Russian Airlines ;;;
; CCCP-96002 ;Ilyushin Il-96-300;; 1992 ; Apr 1993 ;RA-96002 Aeroflot - Russian Airlines ;;;
; CCCP-96005 ;Ilyushin Il-96-300;; Jun 1991 ; Oct 1991 ;CCCP-96005 Rossiya - Russian Airlines ;;;
; CCCP-96006 ;Ilyushin Il-96-300;; May 1992 ; Jan 1993 ;RA-96006 Aeroflot - Russian Airlines ;;;
