;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HI-777CA ;Boeing 737-201(A);; 10 Mar 2003 ; 26 Dec 2003 ;N247US Alameda Corporation ;lsf Alameda Corporation ;;
; N550FA ;Boeing 737-3K2;; 5 Oct 2003 ; 1 Mar 2004 ;N550FA Falcon Air Express ;;;
; HI-756CA ;Boeing 747-238B;; 18 Jun 2001 ; 23 Jan 2002 ;SE-RBP Transjet Airways ;;;
; TF-FIR ;Boeing 757-256;; 13 Jul 2002 ; 5 Feb 2003 ;TF-FIR Icelandair ;lsf Icelandair ;;
; TF-FIW ;Boeing 757-27B;; May 2002 ; 13 Jul 2002 ;TF-FIW Icelandair ;lsf Icelandair ;;
; TF-ATO ;Boeing 767-204ER;; 28 Oct 2002 ; 27 Apr 2003 ;TF-ATO Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; TF-ATY ;Boeing 767-204;; 27 Apr 2003 ; 24 Sep 2003 ;TF-ATY Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; TF-ATT ;Boeing 767-383ER;; 21 Aug 2002 ; 5 Feb 2003 ;TF-ATT Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; HI-413 ;Douglas DC-8-33(F); Cargo ; 15 Mar 1983 ; Oct 1985 ; Scrapped ;;;
; HI-435 ;Douglas DC-8-33(F); Cargo ; Mar 1984 ; Aug 1985 ;HK-3178X LAC Colombia - Lineas Aereas Del Caribe ;;;
; HI-426 ;Douglas DC-8-54CF Jet Trader; Cargo ; 17 Nov 1983 ; Feb 1986 ;HI-426 Aerochago Airlines ;lsd ;;
; HI-427 ;Douglas DC-8-54CF Jet Trader; Cargo ; 25 Nov 1983 ; Feb 1986 ;HI-427 Aerochago Airlines ;lsd ;;
; HI-452 ;Douglas DC-8-51;; Mar 1985 ; Feb 1986 ;HI-452 Aerochago Airlines ;;;
; N54FA ;Douglas DC-8-54(F); Cargo ; 3 Apr 1985 ; Dec 1985 ;N54FA Agro Air ;lsd ;;
