;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; XA-TAI ;ATR 42-500; Y48 ; 29 Nov 1995 ; Parked ; 26.3 Years ;;
; XA-TPR ;ATR 42-500; Y48 ; 25 Sep 1999 ; Parked ; 22.5 Years ;;
; XA-UAU ;ATR 42-500; Y48 ; 18 Jun 2004 ;lsd ; 26.7 Years ;;
; XA-UYK ;ATR 42-600;; 21 Dec 2016 ;; 5.2 Years ;;
; XA-UYL ;ATR 42-600;; 23 Dec 2016 ;; 5.2 Years ;;
; XA-MKH ;ATR 72-600 (72-212A); Y72 ; Sep 2016 ;lsd ; 8.6 Years ;;
; XA-UYM ;ATR 72-600 (72-212A); Y72 ; 23 Dec 2016 ;; 5.2 Years ;;
; XA-UYT ;ATR 72-600 (72-212A); Y72 ; 29 Mar 2017 ;; 5 Years ;;
; XA-UYY ;ATR 72-600 (72-212A); Y72 ; 22 May 2017 ;; 5 Years ;;
; XA-UZE ;ATR 72-600 (72-212A); Y72 ; 22 Feb 2018 ;; 4.8 Years ;;
; XA-UZS ;ATR 72-600 (72-212A); Y72 ; 3 Feb 2018 ;; 4.6 Years ;;
; XA-UZT ;ATR 72-600 (72-212A); Y72 ; 27 Jul 2018 ;; 4.4 Years ;;
