;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GFUA ;Boeing 737-33A;; 25 Feb 1990 ; 1 Oct 1990 ;F-GFUA Air Afrique ;lsf Transpacific Enterprises Inc ;;
; F-GFUB ;Boeing 737-33A;; 15 Mar 1990 ; 28 Oct 1990 ;G-MONU Monarch Airlines ;lsd ;;
; F-GFUD ;Boeing 737-33A;; 3 Feb 1991 ; 1 Apr 1991 ;F-GFUD Air France ;lsd ;;
; F-GFUE ;Boeing 737-3B3;; 16 Sep 1991 ; Oct 1991 ;F-GFUE L'Aéropostale ;;;
; F-GFUF ;Boeing 737-3B3;; 1 Sep 1991 ; Oct 1991 ;F-GFUF L'Aéropostale ;;;
; F-GFUI ;Boeing 737-33A;; 17 Dec 1990 ; 11 Jan 1991 ;F-OGSD L'Aéropostale ;;;
; F-GHVM ;Boeing 737-33A;; 15 May 1991 ; 1 Oct 1991 ;F-GHVM Air Charter ;lsd ;;
; F-GFUG ;Boeing 737-4B3;; 21 Sep 1990 ; Feb 1992 ;F-GFUG Corsair ;;;
; F-GFUH ;Boeing 737-4B3;; 28 Aug 1991 ; 1 Oct 1991 ;F-GFUH Air Charter ;;;
; F-GFUK ;Boeing 747-2D3B(M); Y532 ; May 1991 ; 1 Oct 1991 ;F-GFUK Air France ;lsf UTA ;;
; F-GETB ;Boeing 747-3B3(M);; 1 Aug 1990 ; 1 Oct 1991 ;F-GETB UTA ;lsf UTA ;;
; F-GHGD ;Boeing 767-27EER;; 26 Jul 1990 ; 2 Oct 1991 ;F-GHGD Air France ;;;
; F-GHGE ;Boeing 767-27EER;; 28 Sep 1990 ; 2 Oct 1991 ;F-GHGE Air France ;;;
; F-GHGF ;Boeing 767-3Q8ER;; 28 Jul 1991 ; 1 Oct 1991 ;F-GHGF Air France ;lsd ;;
; F-GHGH ;Boeing 767-37EER;; 22 Aug 1991 ; 2 Oct 1991 ;F-GHGH Air France ;;;
; D-ADIR ;Douglas DC-8-33;; 15 Apr 1971 ; 30 Sep 1971 ;D-ADIR Atlantis ;lsf Atlantis ;;
