;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; EI-GZA ;Boeing 737-8 MAX; C16Y150 ; 16 Nov 2021 ;lsd ; 3 Years ;;;
; EI-GZB ;Boeing 737-8 MAX;; 18 Nov 2021 ;lsd ; 2.8 Years ;;;
; EI-GZC ;Boeing 737-8 MAX; C16Y150 ; 20 Nov 2021 ;lsd ; 2.5 Years ;;;
; EI-GZE ;Boeing 737-8 MAX;; 15 Dec 2021 ;lsd ; 2.4 Years ;;;
; EI-GZF ;Boeing 737-8 MAX;; 13 Dec 2021 ;lsd ; 2.5 Years ;;;
; N105JS ;Boeing 737-8 MAX; C16Y150 ; 15 Jun 2021 ;lsd ; 2.8 Years ;;;
; N109JS ;Boeing 737-8 MAX; C16Y150 ; 22 Jun 2021 ;lsd ; 2.4 Years ;;;
; N110JS ;Boeing 737-8 MAX; C16Y150 ; 25 Jun 2021 ;lsd ; 2.6 Years ;;;
; XA-CCC ;Boeing 737-8 MAX; C16Y150 ; 13 Oct 2021 ;lsd ; 0.4 Years ;;;
; XA-CCM ;Boeing 737-8 MAX; C16Y150 ; 27 Oct 2021 ;; 0.4 Years ;;;
; XA-CCN ;Boeing 737-8 MAX;; On Order ;; 0.1 Years ;;;
; XA-CCO ;Boeing 737-8 MAX; C16Y150 ; On Order ;; 0.1 Years ;;;
; XA-DAE ;Boeing 737-8 MAX; Y174 ; 12 Nov 2021 ;lsd ; 3 Years ;;;
; XA-DAH ;Boeing 737-8 MAX; C16Y150 ; 7 Feb 2022 ; Parked, lsd ; 2.7 Years ;;;
; XA-DAI ;Boeing 737-8 MAX; C16Y150 ; 5 Feb 2022 ; Parked, lsd ; 2.8 Years ;;;
; XA-DAL ;Boeing 737-8 MAX; C16Y150 ; On Order ;lsd ; 2.8 Years ;;;
; XA-DAP ;Boeing 737-8 MAX; C16Y150 ; 4 Nov 2021 ;lsd ; 2.6 Years ;;;
; XA-MAG ;Boeing 737-8 MAX; C16Y150 ; 23 Feb 2018 ;lsd ; 4.1 Years ;;;
; XA-MAK ;Boeing 737-8 MAX; C16Y150 ; 31 Mar 2018 ;lsd ; 3.9 Years ;;;
; XA-MAO ;Boeing 737-8 MAX; C16Y150 ; 14 Aug 2018 ;lsd ; 3.6 Years ;;;
; XA-MAQ ;Boeing 737-8 MAX; C16Y150 ; 25 Oct 2018 ;lsd, Pride cs, "Volamos con orgullo" sticker ; 3.4 Years ;;;
; XA-MAT ;Boeing 737-8 MAX; C16Y150 ; 25 Feb 2019 ;lsd ; 3 Years ;;;
; XA-MAY ;Boeing 737-8 MAX; C16Y150 ; 29 Jun 2021 ;; 2.6 Years ;;;
; XA-MFM ;Boeing 737-8 MAX; C16Y150 ; 4 Dec 2021 ;lsd ; 2.2 Years ;;;
