;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XA-XAX ;Douglas DC-8-21;; 1 Nov 1960 ; 19 Jan 1961 ; Written Off ;20 de Noviembre ;;
; XA-NUS ;Douglas DC-8-51;; 10 May 1962 ; 24 Dec 1966 ; Written Off ;Acapulco ;;
; XA-PEI ;Douglas DC-8-51;; 24 Nov 1962 ; 13 Aug 1966 ; Written Off ;Tenochtitlan ;;
; XA-PIK ;Douglas DC-8-51;; 30 Apr 1964 ; Feb 1972 ;XA-PIK Aeromexico ;Chapultepec ;;
; XA-SIA ;Douglas DC-8-51;; 14 Oct 1966 ; Feb 1972 ;XA-SIA Aeromexico ;Puebla ;;
; XA-SIB ;Douglas DC-8-51;; 21 Oct 1966 ; Feb 1972 ;XA-SIB Aeromexico ;Jalisco ;;
; XA-SID ;Douglas DC-8-51;; 7 Feb 1968 ; Feb 1972 ;XA-SID Aeromexico ;Guanajuato ;;
; N4865T ;Douglas DC-8-63CF;; 17 Mar 1971 ; Feb 1972 ;N4865T Aeromexico ;Chiapas, lsf Trans International Airlines ;;
; N4866T ;Douglas DC-8-63CF;; 13 Mar 1971 ; Feb 1972 ;N4866T Aeromexico ;Veracruz, lsf Trans International Airlines ;;
; XA-SOA ;McDonnell Douglas DC-9-15;; 30 May 1967 ; Feb 1972 ;XA-SOA Aeromexico ;Baja California Sur ;;
; XA-SOC ;McDonnell Douglas DC-9-15;; 25 Aug 1967 ; Feb 1972 ;XA-SOC Aeromexico ;Coahuila ;;
; XA-SOD ;McDonnell Douglas DC-9-15;; 20 Dec 1967 ; Feb 1972 ;XA-SOD Aeromexico ;Tamaulipas ;;
; XA-SOE ;McDonnell Douglas DC-9-15;; 9 Feb 1968 ; Feb 1972 ;XA-SOE Aeromexico ;Nuevo Leon ;;
; XA-SOF ;McDonnell Douglas DC-9-15;; 8 Feb 1968 ; Feb 1972 ;XA-SOF Aeromexico ;Sonora ;;
; XA-SOG ;McDonnell Douglas DC-9-15;; 9 Oct 1968 ; Feb 1972 ;XA-SOG Aeromexico ;Chihuahua ;;
; XA-SOH ;McDonnell Douglas DC-9-15;; 8 Nov 1968 ; Feb 1972 ;XA-SOH Aeromexico ;Durango ;;
; XA-SOI ;McDonnell Douglas DC-9-15;; 27 Nov 1968 ; Feb 1972 ;XA-SOI Aeromexico ;San Luis Potosí ;;
; XA-SOY ;McDonnell Douglas DC-9-15;; 1968 ; Feb 1972 ;XA-SOY Aeromexico ;Sinaloa ;;
