;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HP-1166TCA ;Douglas DC-8-33(F); Cargo ; 25 Feb 1991 ; 20 Feb 1992 ;OB-1456 Export Air Cargo ;lsf Tocumen Air Cargo International ;;
; N715UA ;Douglas DC-8-33(F); Cargo ; 1 Aug 1980 ; 11 Sep 1980 ; Written Off ;lsd ;;
; OB-R-1143 ;Douglas DC-8-43(F); Cargo ; Nov 1978 ; 1 Aug 1980 ; Written Off ;San Martin de Porres, lsd ;;
; OB-R-1205 ;Douglas DC-8-43;; 28 Jul 1980 ;; Scrapped ;;;
; OB-R-1214 ;Douglas DC-8-43(F); Cargo ; Jan 1985 ; Jun 1986 ; Scrapped ;;;
; OB-1244 ;Douglas DC-8-55(F); Cargo ; 26 Apr 1988 ; Sep 1992 ; Scrapped ;;;
; OB-1300 ;Douglas DC-8-54CF Jet Trader; Cargo ; Dec 1988 ;; Scrapped ;Santa Elena ;;
; OB-R-1200 ;Douglas DC-8-55CF Jet Trader; Cargo ; 15 Oct 1980 ; 16 Aug 1988 ;N7015Q Palau International Traders Inc. ;Santa Rita ;;
; OB-R-1223 ;Douglas DC-8-53;; 3 Jul 1981 ; 1 Jun 1982 ;OB-R-1223 Faucett Peru ;;;
; OB-R-1267 ;Douglas DC-8-52;; Apr 1983 ; Dec 1983 ;OB-R-1267 Faucett Peru ;lsf World Cargo Services ;;
; OB-R-1269 ;Douglas DC-8-52;; Apr 1983 ; Feb 1985 ;OB-R-1269 Faucett Peru ;lsf World Cargo Services ;;
; OB-1222 ;Douglas DC-8-61(F); Cargo ; Oct 1990 ; 1995 ; Scrapped ;Santa Catalina ;;
; OB-R1138 ;Lockheed L-188A(PF) Electra; Passenger/Cargo ; 10 Sep 1977 ; 14 Feb 1978 ;N417MA Hawaiian Airlines ;lsd ;;
