;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N412CE ;Boeing 737-205;; 4 Aug 2000 ; 7 Mar 2001 ; Stored ;lsd ;;
; OB-1711 ;Boeing 737-236(A);; 14 Oct 1998 ; 7 Jul 1999 ;N624AC Access Air ;;;
; OB-1712 ;Boeing 737-236(A);; 23 Nov 1998 ; 10 Mar 1999 ;N925PG Pegasus Aviation ;;;
; OB-1715 ;Boeing 737-236(A);; 6 Dec 1998 ; 10 Mar 1999 ;N625AC Access Air ;lsd ;;
; N52AW ;Boeing 757-23A;; 28 Feb 1995 ; 2 Oct 1996 ; Written Off ;lsd ;;
; N53AW ;Boeing 757-23A;; 28 Feb 1995 ; 31 Mar 1999 ;N490AM Aeromexico ;lsd ;;
; N592KA ;Boeing 757-236;; 17 Apr 1998 ; 14 Mar 1999 ;N592KA Pegasus Aviation ;lsd ;;
; N809AM ;Boeing 757-2Q8;; 9 Oct 1996 ; 23 Jun 1999 ;N764MX Mexicana ;lsd ;;
; G-BLKV ;Boeing 767-204;; 31 Jan 1990 ; 21 May 1990 ;ZK-NBI Air New Zealand ;lsf Britannia Airways ;;
; OB-R-1142 ;Douglas DC-8-43;; Jun 1978 ; 3 Aug 1978 ;6Y-JMF Air Jamaica ;lsf Air Jamaica ;;
; OB-R-1083 ;Douglas DC-8-53;; 15 Jul 1974 ; 7 Jul 1976 ;N5768X Douglas ;;;
; OB-R-1084 ;Douglas DC-8-53;; 25 Jul 1974 ; 7 Jul 1976 ;N5879X Douglas ;;;
; OB-R-1116 ;Douglas DC-8-53;; 26 Sep 1975 ; 12 Aug 1976 ;5Y-BAS African Safari Airways (ASA) ;lsf KLM Royal Dutch Airlines ;;
; OB-R-1124 ;Douglas DC-8-51;; 2 Jul 1976 ; 1 Sep 1979 ;6Y-JGE Air Jamaica ;lsf Air Jamaica ;;
; OB-R-1125 ;Douglas DC-8-51;; 16 Jul 1976 ; 19 Feb 1981 ;6Y-JGF Air Jamaica ;Ciudad de Arenquipa, lsf Air Jamaica ;;
; OB-R-1181 ;Douglas DC-8-51;; Feb 1980 ; 30 May 1980 ;6Y-JGD Air Jamaica ;lsf Air Jamaica ;;
; 5N-HAS ;Douglas DC-8-61;; 26 Jul 1992 ; Sep 1994 ;N914BV Buffalo Airways ;lsf Aviation Leasing Partners ;;
; N795AL ;Douglas DC-8-63;; 30 Apr 1990 ; 30 Apr 1992 ;N813AX Airborne Express ;lsd ;;
; OB-1210 ;Douglas DC-8-62H; F12Y150 ; 11 Nov 1989 ; Aug 1993 ;N61CX Air Transport International ;Armando Revoredo ;;
; OB-1248 ;Douglas DC-8-62; F12CY150 ; Dec 1989 ; 16 Jun 1994 ;N51CX Air Transport International ;;;
; OB-1249 ;Douglas DC-8-62H;; 1989 ; 17 Dec 1991 ;N42086 Arrow Air ;;;
; OB-1260 ;Douglas DC-8-62; F12CY152 ; Dec 1989 ; Aug 1990 ; Scrapped ;;;
; OB-1323 ;Douglas DC-8-62; F18Y140 ; Dec 1988 ; 25 Aug 1991 ;N66656 International Air Leases (IAL) ;lsd ;;
; N10112 ;Lockheed L-1011-385-1-14 TriStar 100;; 14 Dec 1978 ; 8 Jun 1982 ;C-GIES Worldways Canada ;Ciudad de Lima , lsf Lockheed ;;
; OB-1455 ;Lockheed L-1011-385-1 TriStar 1; F28Y288 ; 1 Dec 1991 ; Mar 1992 ;N301EA International Air Leases (IAL) ;opby Faucett Peru ;;
; N1003L ;McDonnell Douglas DC-10-15;; 21 Jul 1993 ; 25 May 1997 ;V2-LEX Skyjet ;lsf Mexicana ;;
; N1003W ;McDonnell Douglas DC-10-15;; 26 May 1993 ; 31 Oct 1993 ;N1003W Mexicana ;lsf Mexicana ;;
; N10045 ;McDonnell Douglas DC-10-15;; 7 Jul 1993 ; 20 Sep 1994 ;N10045 Mexicana ;lsf Mexicana ;;
; N6150Z ;McDonnell Douglas DC-10-30;; 9 Dec 1994 ; 15 Feb 1995 ;C-FCRD Canadian Airlines International ;lsf Canadian Airlines International ;;
