;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; CC-ACO ;British Aerospace 146-200;; 26 Oct 2010 ;; 34.2 Years ;;
; CC-CZP ;British Aerospace 146-200; Y80 ; 20 Dec 2007 ;Penguin cs ; 36.5 Years ;;
; CC-DCV ;British Aerospace 146-200QT; Cargo ; 25 Aug 2020 ; Parked, lsd ; 34.3 Years ;;
; CC-DCW ;British Aerospace 146-200QT; Cargo ; 22 Dec 2020 ; Parked, lsd ; 33.6 Years ;;
; CC-ARN ;British Aerospace Avro RJ100; Y97 ; 31 Jan 2017 ;lsd, opf Antarctic Airways, Chinstrap Penguin cs ; 26.1 Years ;;
; CC-ARO ;British Aerospace Avro RJ100; Y97 ; 2 Mar 2017 ; Parked ; 25.9 Years ;;
; CC-ATI ;British Aerospace Avro RJ100; Y97 ; 24 Apr 2017 ; Parked PUQ, lsd ; 23.2 Years ;;
; CC-DCU ;British Aerospace Avro RJ100; Y97 ; 24 Jan 2020 ;lsd ; 26.2 Years ;;
; CC-AJS ;British Aerospace Avro RJ85; Y82 ; 31 May 2013 ;opf Mineral Airways ; 28.8 Years ;;
; CC-ANS ;British Aerospace Avro RJ85; Y82 ; 23 Dec 2015 ;; 26.3 Years ;;
