;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; CS-TCJ ;Boeing 727-232(A);; 22 Dec 1986 ; 13 Dec 1989 ;N499FE FedEx Express ;lsf FedEx Express ;;
; CS-TEN ;Boeing 737-282(A);; Apr 1985 ; Oct 1985 ;CS-TEN TAP - Air Portugal ;lsf TAP - Air Portugal ;;
; CS-TEO ;Boeing 737-282(A);; Apr 1985 ; Oct 1985 ;CS-TEO TAP - Air Portugal ;lsf TAP - Air Portugal ;;
; CS-TET ;Boeing 737-2K9(A);; 1 May 1991 ; 1992 ;CS-TET TAP - Air Portugal ;;;
; CS-TEU ;Boeing 737-2K9(A);; 26 May 1991 ; Nov 1991 ;CS-TEU TAP - Air Portugal ;;;
; CS-TEV ;Boeing 737-230(A);; 1 May 1991 ; Mar 1993 ;CS-TEV TAP - Air Portugal ;lsf TAP - Air Portugal ;;
; CS-TIS ;Boeing 737-291(A);; 2 Jun 1992 ; 29 Oct 1992 ;CC-CDG LAN Chile ;lsd ;;
; CS-TIF ;Boeing 737-3K9;; 14 Nov 1988 ; 30 Apr 1993 ;CS-TIF TAP - Air Portugal ;lsd ;;
; CS-TIG ;Boeing 737-3K9;; 7 Dec 1989 ; 30 Apr 1993 ;CS-TIG TAP - Air Portugal ;lsd ;;
; CS-TIH ;Boeing 737-3K9;; 12 Dec 1989 ; 25 Apr 1993 ;CS-TIH TAP - Air Portugal ;lsd ;;
; CS-TII ;Boeing 737-3Q8;; 8 Jan 1992 ; 12 Mar 1993 ;N551LF ILFC ;lsd ;;
; CS-TIJ ;Boeing 737-3Q8;; 23 Apr 1992 ; 11 Feb 1993 ;CS-TIJ TAP - Air Portugal ;lsd ;;
; CS-TIR ;Boeing 737-3K2;; 1 Dec 1989 ; 1 Apr 1992 ;PH-HVF Transavia ;lsf Transavia ;;
