;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XY-AGD ;Airbus A310-222;; 23 Oct 2006 ; 2009 ;RDPL-34181 Phoenix Aircraft Leasing & Sales ;;;
; XY-AGE ;Airbus A310-222;; 16 Jan 2007 ; 2009 ; Scrapped ;;;
; XY-AIB ;ATR 42-320; Y48 ; Oct 2005 ; Dec 2007 ;XY-AIB Myanma Airways ;;;
; XY-AIC ;ATR 42-320;; 2 Dec 2004 ; 2017 ;0007 Myanmar Air Force ;;;
; XY-AID ;ATR 42-320;; 28 Sep 2005 ;; Scrapped ;;;
; XY-AIA ;ATR 72-212;; Oct 2005 ; 2009 ;XY-AIA Myanma Airways ;lsf Myanma Airways ;;
; XY-AIE ;ATR 72-212;; 19 Jan 2006 ; 19 Feb 2008 ; Written Off ;;;
; XY-AIH ;ATR 72-212;; 9 Oct 2008 ; 24 Jul 2015 ; Written Off ;;;
; XY-AIK ;ATR 72-500 (72-212A); Y66 ; 12 Sep 2009 ;; Scrapped ;;;
; TC-IED ;Fokker F100;; 30 Oct 2004 ; 2 Apr 2005 ;TC-IED Inter Airlines ;lsf Inter Airlines ;;
; XY-AGC ;Fokker F100;; May 2009 ; 25 Dec 2012 ; Written Off ;;;
; XY-AGF ;Fokker F100; C12Y85 ; 26 Apr 2007 ; 2012 ; Preserved ;;;
