;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OO-AEY ;Airbus A320-212; Y180 ; 20 Mar 1999 ; 30 Oct 2000 ;OY-CNN Premiair ;lsf Airtours International Airways ;;
; OO-AEZ ;Airbus A320-212;; 29 Apr 1999 ; 14 Nov 2000 ;OY-CNR Premiair ;lsd ;;
; OO-ABB ;Boeing 737-2P6(A);; Mar 1980 ; May 1982 ;OO-TYB TEA - Trans European Airlines ;lsd ;;
; OO-PLH ;Boeing 737-247;; May 1982 ; 18 Nov 1985 ;OO-PLH America West Airlines ;;;
; OO-RVM ;Boeing 737-2Q8(A);; Oct 1982 ; 1 Mar 1983 ;G-BKMS Orion Airways ;;;
; OO-SBT ;Boeing 737-229(A);; 1 Apr 1985 ; 30 Sep 1985 ;OO-SBT Sobelair ;;;
; OO-ILF ;Boeing 737-3Q8;; 17 Mar 1986 ; 31 Oct 1988 ;G-BOWR Orion Airways ;lsd ;;
; OO-ILG ;Boeing 737-3Q8;; 30 Apr 1987 ; 5 Jun 1987 ;EC-EDM Universair ;lsd ;;
; OO-ILK ;Boeing 737-3Q8(QC);; 3 Jan 1999 ; 12 Jan 1999 ;OO-ILK European Air Transport ;lsd ;;
; OO-ILH ;Boeing 737-4Q8;; 28 Oct 1988 ; 31 Oct 1992 ;N521LF TACA International Airlines ;lsd ;;
; OO-ILJ ;Boeing 737-46B;; 17 Jul 1991 ; 30 Oct 2000 ;D-ABCC EAST ;lsd ;;
; OO-ILI ;Boeing 757-23A;; 6 Oct 1989 ; 15 Mar 1996 ;SE-DSM Sunways Sweden ;lsd ;;
