;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-ABGA ;Airbus A319-132; Y132 ; 5 Apr 2006 ; 22 Apr 2011 ;5B-DCN Cyprus Airways ;lsd ;;
; D-ABGB ;Airbus A319-132; Y132 ; 3 Apr 2006 ; 25 Aug 2010 ;PT-TMF TAM Linhas Aéreas ;lsd ;;
; D-ABGC ;Airbus A319-132; Y132 ; 4 Apr 2006 ; 7 Mar 2011 ;SX-DGF Aegean Airlines ;lsd ;;
; D-ABGD ;Airbus A319-132; Y132 ; 15 Jun 2006 ; 15 May 2009 ;F-ORAF Belle Air ;lsd ;;
; D-ABGE ;Airbus A319-112; Y150 ; 18 Jun 2007 ; 30 Apr 2009 ;LZ-AOA Balkan Holidays Air (BH Air) ;;;
; D-ABGF ;Airbus A319-112; Y150 ; 9 Jul 2007 ; 30 Apr 2009 ;LZ-AOB Government of Bulgaria ;;;
; D-ABGH ;Airbus A319-112; Y150 ; 10 Mar 2017 ; 31 Mar 2017 ;D-ABGH Eurowings ;lsd ;;
; D-ABGI ;Airbus A319-112; Y150 ; 20 Dec 2007 ; 16 Sep 2011 ;V5-ANL Air Namibia ;lsd ;;
; D-ABGJ ;Airbus A319-112; Y150 ; 14 Feb 2017 ; 9 Mar 2017 ;D-ABGJ Eurowings ;;;
; D-ABGK ;Airbus A319-112; Y150 ; 7 Feb 2017 ; 28 Feb 2017 ;D-ABGK Eurowings ;;;
; D-ABGL ;Airbus A319-112; Y150 ; 10 Jul 2008 ; 28 Aug 2011 ;V5-ANK Air Namibia ;lsd ;;
; D-ABGM ;Airbus A319-112; Y150 ; 20 Feb 2017 ; 3 Mar 2017 ;D-ABGM Eurowings ;lsd ;;
; D-ABGN ;Airbus A319-112; Y150 ; 18 Jan 2017 ; 23 Feb 2017 ;D-ABGN Eurowings ;lsd ;;
; D-ABGO ;Airbus A319-112; Y150 ; 30 Mar 2017 ; 20 Oct 2017 ;D-ABGO Eurowings ;lsd ;;
; D-ABGP ;Airbus A319-112; Y150 ; 7 Feb 2017 ; 23 Feb 2017 ;D-ABGP Eurowings ;lsd ;;
