;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; HL7744 ;Airbus A320-232; Y180 ; 7 Nov 2014 ;lsd ; 15.7 Years ;;
; HL7745 ;Airbus A320-232; Y180 ; 30 Dec 2014 ;lsd ; 15.7 Years ;;
; HL7753 ;Airbus A320-232; Y180 ; 1 Nov 2012 ; Parked, lsd ; 15.4 Years ;;
; HL8055 ;Airbus A320-232; Y180 ; 15 Jan 2016 ;lsd ; 16 Years ;;
; HL8065 ;Airbus A320-232; Y180 ; 20 Jun 2016 ; Parked, lsd ; 16.9 Years ;;
; HL8066 ;Airbus A320-232; Y180 ; 23 Jun 2016 ; Parked, lsd ; 16.9 Years ;;
; HL8309 ;Airbus A320-232; Y180 ; 16 Jun 2018 ; Parked, lsd ; 10.2 Years ;;
; HL8328 ;Airbus A320-232; Y180 ; 3 Aug 2018 ; Parked, lsd ; 10.1 Years ;;
; HL7210 ;Airbus A321-231(WL); Y220 ; 12 Jul 2017 ;lsd ; 4.7 Years ;;
; HL7211 ;Airbus A321-231(WL); Y220 ; 14 Nov 2017 ;lsd ; 4.4 Years ;;
; HL7713 ;Airbus A321-231; Y195 ; 12 Jul 2014 ;lsd ; 19.8 Years ;;
; HL7722 ;Airbus A321-231; Y195 ; 3 Oct 2015 ;lsd ; 18.5 Years ;;
; HL7723 ;Airbus A321-231; Y195 ; 1 Apr 2013 ;lsd ; 18.4 Years ;;
; HL7729 ;Airbus A321-231; Y195 ; 16 Nov 2015 ;lsd ; 18.1 Years ;;
; HL7730 ;Airbus A321-231; Y195 ; 19 Apr 2016 ;lsd ; 17.9 Years ;;
; HL7731 ;Airbus A321-231; Y195 ; 5 Dec 2016 ; Parked, lsd ; 17.7 Years ;;
; HL7735 ;Airbus A321-231; Y195 ; 1 Apr 2016 ;lsd ; 17.5 Years ;;
; HL7763 ;Airbus A321-231; Y195 ; 1 Jun 2017 ;lsd ; 14.3 Years ;;
; HL8072 ;Airbus A321-232; Y220 ; 1 Dec 2016 ;lsd ; 15.3 Years ;;
; HL8099 ;Airbus A321-231(WL); Y220 ; 30 Oct 2017 ;lsd ; 4.4 Years ;;
; HL8365 ;Airbus A321-231; Y220 ; 8 May 2019 ;lsd ; 12.9 Years ;;
; HL8357 ;Airbus A321-251NX; Y232 ; 29 Oct 2021 ;lsd ; 0.4 Years ;;
; HL8366 ;Airbus A321-251NX; Y220 ; 16 Mar 2020 ;lsd ; 2 Years ;;
; HL8394 ;Airbus A321-251NX; Y220 ; 28 May 2020 ;lsd ; 1.8 Years ;;
; HL8395 ;Airbus A321-251NX; Y232 ; 26 May 2021 ;lsd ; 0.8 Years ;;
; HL8396 ;Airbus A321-251NX; Y232 ; 8 Feb 2022 ;lsd ; 1.1 Years ;;
