;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N471GB ;Boeing 737-159;; 30 Sep 1977 ; 6 Apr 1981 ;N471GB AirCal ;471 ;;
; N472GB ;Boeing 737-159;; 1 May 1979 ; 6 Apr 1981 ;N472GB AirCal ;472 ;;
; EI-ASG ;Boeing 737-248;; 3 Jan 1981 ; 29 Apr 1981 ;EI-ASG Aer Lingus ;lsf Aer Lingus ;;
; N4517W ;Boeing 737-247;; 31 Mar 1981 ; 6 Apr 1981 ;N4517W AirCal ;lsd ;;
; N461GB ;Boeing 737-293;; 29 Nov 1968 ; 6 Apr 1981 ;N461GB AirCal ;461, lsd ;;
; N462GB ;Boeing 737-293;; 1973 ; 6 Apr 1981 ;N462GB AirCal ;462, lsd ;;
; N463GB ;Boeing 737-293;; 31 May 1974 ; 6 Apr 1981 ;N463GB AirCal ;463, lsd ;;
; N464GB ;Boeing 737-293;; 31 Jul 1968 ; 6 Apr 1981 ;N464GB AirCal ;464, lsd ;;
; N465GB ;Boeing 737-293;; 18 Oct 1968 ; 6 Apr 1981 ;N465GB AirCal ;465, lsd ;;
; N466AC ;Boeing 737-247;; May 1980 ; 6 Apr 1981 ;N466AC AirCal ;466, lsf Westinghouse Leasing Corporation ;;
; N467GB ;Boeing 737-293;; 4 Nov 1968 ; 6 Apr 1981 ;N467GB AirCal ;467, lsd ;;
; N468AC ;Boeing 737-293; Y126 ; 15 Sep 1970 ; 17 Feb 1981 ; Written Off ;468, lsd ;;
; N469AC ;Boeing 737-293;; 27 Mar 1976 ; 6 Apr 1981 ;N469AC AirCal ;;;
; N470AC ;Boeing 737-247;; Jun 1980 ; 6 Apr 1981 ;N470AC AirCal ;470, lsf Westinghouse Leasing Corporation ;;
; N73711 ;Boeing 737-297;; 26 Feb 1981 ; 6 Apr 1981 ;N73711 AirCal ;lsf Aloha Airlines ;;
; N73714 ;Boeing 737-222;; 30 Oct 1980 ; 6 Apr 1981 ;N73714 AirCal ;lsf Aloha Airlines ;;
; N73717 ;Boeing 737-2H4;; Jun 1979 ; 6 Apr 1981 ;N73717 AirCal ;lsf Aloha Airlines ;;
; N9012U ;Boeing 737-222;; 20 Oct 1968 ; 3 Jan 1981 ;N9012U United Airlines ;012, lsf United Airlines ;;
; N9014U ;Boeing 737-222;; 1 Feb 1980 ; 28 Apr 1981 ;N9014U United Airlines ;014, lsf United Airlines ;;
; N123AC ;Lockheed L-188C Electra; Y85 ; 8 Mar 1976 ; Nov 1979 ;PK-RLD Mandala Airlines ;123 ;;
; N124AC ;Lockheed L-188A Electra; Y85 ; 17 Jun 1975 ; 14 Mar 1980 ;PK-RLE Mandala Airlines ;124 ;;
; N125AC ;Lockheed L-188A Electra; Y85 ; 14 Apr 1977 ; 18 Nov 1980 ;PK-RLF Mandala Airlines ;125 ;;
; N278AC ;Lockheed L-188A Electra; Y85 ; 30 Nov 1966 ; 16 Mar 1969 ;N278AC Aircraft Holdings LLC ;78, lsd ;;
; N289AC ;Lockheed L-188A Electra; Y85 ; 3 Jan 1967 ; 19 Mar 1969 ;N289C Aircraft Holdings LLC ;89, lsd ;;
; N359AC ;Lockheed L-188C Electra; Y85 ; 7 Jun 1967 ; 19 Mar 1969 ;N359AC Aircraft Holdings LLC ;59, lsd ;;
; N385AC ;Lockheed L-188C Electra; Y85 ; 18 Aug 1967 ; 19 Mar 1969 ;N835AC Aircraft Holdings LLC ;85 ;;
; N8961 ;McDonnell Douglas DC-9-14;; 6 Mar 1968 ; 1 May 1969 ;N8961 Texas International Airlines ;lsf McDonnell Douglas ;;
; N8962 ;McDonnell Douglas DC-9-14;; 6 Mar 1968 ; May 1969 ;N8962 Texas International Airlines ;lsf McDonnell Douglas ;;
