;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; F-HHUB ;Airbus A330-223; Y318 ; 24 Mar 2017 ; Parked CHR, lsd ; 21.8 Years ;;
; F-HUNO ;Airbus A330-223;; 4 Dec 2019 ; Parked PGF, lsd ; 19.6 Years ;;
; F-OFDF ;Airbus A330-223; C12W24Y267 ; 26 Jan 2004 ; Parked ; 23.1 Years ;;
; F-HPUJ ;Airbus A330-323; C12W35Y307 ; 26 Jun 2019 ;; 5.8 Years ;;
; F-ORLY ;Airbus A330-323; C12W35Y307 ; 26 Jun 2006 ; Parked, lsd ; 15.7 Years ;;
; F-HMIL ;Airbus A350-1041; C24W45Y360 ; 2 Dec 2019 ;; 5.1 Years ;;
; F-HSIS ;Airbus A350-1041; C24W45Y360 ; 14 Dec 2021 ;lsd ; 0.5 Years ;;
; F-HTOO ;Airbus A350-1041; C24W45Y360 ; 4 Jun 2021 ;; 0.8 Years ;;
; F-HHAV ;Airbus A350-941; C18W45Y326 ; 27 Feb 2017 ;lsd ; 5 Years ;;
; F-HNET ;Airbus A350-941; C18W45Y326 ; 27 Mar 2017 ;lsd ; 5 Years ;;
; F-HTRE ;Airbus A350-941; C18W45Y326 ; 24 Jul 2019 ;lsd ; 2.6 Years ;;
; F-OSIT ;ATR 72-600 (72-212A); Y74 ; 17 Dec 2019 ;; 2.4 Years ;;
; F-OSIV ;ATR 72-600 (72-212A); Y74 ; 8 Dec 2017 ;; 4.3 Years ;;
; F-OSIX ;ATR 72-600 (72-212A); Y74 ; 12 Dec 2016 ;; 5.2 Years ;;
