;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-206D ;Boeing 737-8 MAX;; On Order ;lsd ; 2.9 Years ;;
; B-207R ;Boeing 737-8 MAX;; On Order ;lsd ; 2.9 Years ;;
; B-1161 ;Boeing 737-84P(WL); Y189 ; 21 Sep 2018 ;lsd ; 3.5 Years ;;
; B-1162 ;Boeing 737-84P(WL); Y189 ; 21 Aug 2018 ;lsd ; 3.5 Years ;;
; B-1163 ;Boeing 737-84P(WL); Y189 ; 27 Sep 2018 ;lsd ; 3.4 Years ;;
; B-1481 ;Boeing 737-86W(WL); Y189 ; 16 Nov 2017 ;lsd ; 4.3 Years ;;
; B-1482 ;Boeing 737-8EH(WL); Y189 ; 2 Jun 2017 ;lsd ; 6.4 Years ;;
; B-1483 ;Boeing 737-8EH(WL); Y189 ; 26 Jun 2017 ;lsd ; 6.2 Years ;;
; B-1902 ;Boeing 737-86J(WL); Y186 ; 6 Sep 2016 ;lsd ; 9.5 Years ;;
; B-1903 ;Boeing 737-86J(WL); Y186 ; 26 Oct 2016 ;lsd ; 9.4 Years ;;
; B-5115 ;Boeing 737-8FH(WL); Y186 ; 9 May 2016 ;lsd ; 17.1 Years ;;
; B-5116 ;Boeing 737-8FH(WL); Y186 ; 9 May 2016 ;lsd ; 16.7 Years ;;
; B-5180 ;Boeing 737-8FH(WL); Y186 ; 9 May 2016 ; Parked, lsd ; 15.5 Years ;;
