;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; F-HBEV ;Airbus A320-216; Y180 ; 14 Oct 2010 ;; E Calanche Di Piana ; 12.7 Years ;;
; F-HBSA ;Airbus A320-216; Y180 ; 14 Oct 2010 ;; A Scala di Santa Regina ; 12.9 Years ;;
; F-HZDP ;Airbus A320-216; Y180 ; 24 Mar 2016 ;lsd ; Golfu di Portu ; 14.3 Years ;;
; F-HZGS ;Airbus A320-214; Y180 ; 28 Jun 2018 ;lsd ; I Forchi Di Bavedda ; 21.6 Years ;;
; F-HXKB ;Airbus A320-252N; Y186 ; 29 Nov 2019 ;lsd ; I Sanguinari ; 2.3 Years ;;
; F-HXKJ ;Airbus A320-252N; Y186 ; 17 Dec 2019 ;lsd ; U Capi Corsu ; 2.3 Years ;;
; F-HAIB ;ATR 42-500; Y48 ; 24 May 2019 ;lsd ; La Liaison ; 16.9 Years ;;
; F-GRPI ;ATR 72-500 (72-212A); Y70 ; 27 Apr 2015 ;; A Valle Di A Restonica ; 16.2 Years ;;
; F-GRPJ ;ATR 72-500 (72-212A); Y70 ; 14 Oct 2010 ;; L'Agriati ; 16.3 Years ;;
; F-GRPX ;ATR 72-500 (72-212A); Y70 ; 14 Oct 2010 ;; U Lloni Di Roccapina ; 15.4 Years ;;
; F-GRPY ;ATR 72-500 (72-212A); Y70 ; 14 Oct 2010 ;; U Monte Cintu ; 15.1 Years ;;
; F-GRPZ ;ATR 72-500 (72-212A); Y70 ; 14 Oct 2010 ;; A Paglia Orba ; 15 Years ;;
