;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BJFH ;Boeing 737-2S3(A);; 18 Apr 1983 ; 16 Dec 1988 ;EI-BXY Aer Lingus ;;;
; G-BJXL ;Boeing 737-2T4(A);; 5 May 1983 ; 31 Oct 1983 ;G-BJXL Dan-Air London ;lsf Air Florida ;;
; G-BJXM ;Boeing 737-2T4(A);; 30 Apr 1982 ; 26 Oct 1982 ;N54AF Air Florida ;lsf Air Florida ;;
; G-BKRO ;Boeing 737-2L9(A);; 25 Apr 1983 ; 31 Oct 1983 ;4R-ALC Air Lanka ;lsd ;;
; G-BMEC ;Boeing 737-2S3(A);; 30 Apr 1984 ; 26 Apr 1985 ;EI-BPW Western Airlines ;;;
; G-BMHG ;Boeing 737-2S3(A); Y130 ; 5 Apr 1979 ; 1 Nov 1984 ;G-BMHG British Airtours ;Adam ;;
; G-BMOR ;Boeing 737-2S3(A);; 30 Apr 1984 ; 28 Apr 1985 ;EI-BPR Guinness Peat Aviation (GPA) ;;;
; G-BMSM ;Boeing 737-2S3(A);; 30 Apr 1982 ; 1 Nov 1984 ;G-BMSM British Airtours ;;;
; G-BRJP ;Boeing 737-2S3(A);; 30 Apr 1986 ; 10 Nov 1986 ;VR-HYK Dragonair ;lsd ;;
; G-DDDV ;Boeing 737-2S3(A);; 1 May 1987 ; 23 Oct 1987 ;G-DDDV British Airtours ;lsd ;;
; G-BMTE ;Boeing 737-3S3;; 1 Nov 1990 ; 7 Nov 1990 ;N313AW America West Airlines ;;;
; G-BMTF ;Boeing 737-3S3;; 1 Nov 1990 ; 9 Jan 1991 ;N316AW America West Airlines ;;;
; G-BMTG ;Boeing 737-3S3;; 27 Feb 1987 ; 22 Nov 1990 ;N314AW America West Airlines ;;;
; G-BMTH ;Boeing 737-3S3;; 26 Mar 1987 ; 6 Dec 1990 ;N315AW America West Airlines ;;;
; G-BNPB ;Boeing 737-3S3; CY142 ; 1 May 1990 ; 8 Mar 1991 ;EC-771 Air Europa ;lsd ;;
; G-BNPC ;Boeing 737-3S3;; 9 Mar 1988 ; 23 Jul 1990 ;N312AW America West Airlines ;;;
; G-BNXP ;Boeing 737-3S3;; 2 Nov 1989 ; 5 Nov 1990 ;CC-CYE Ladeco Airlines ;lsf Air Europa ;;
; G-BNXW ;Boeing 737-33A;; 14 Nov 1989 ; 26 Apr 1991 ;LN-NOR Norway Airlines Charter ;;;
; G-BOYN ;Boeing 737-3S3;; 4 Nov 1989 ; 17 May 1991 ;G-NAFH TEA UK ;lsd ;;
; G-BPNA ;Boeing 737-3S3; CY142 ; 27 Apr 1990 ; 24 Apr 1991 ;G-DIAR TEA UK ;lsd ;;
; G-BRXJ ;Boeing 737-33A;; 11 Apr 1989 ; 26 Apr 1991 ;LN-NOS Norway Airlines Charter ;lsf Norway Airlines Charter ;;
; G-BOPK ;Boeing 737-46B;; 19 Dec 1990 ; 13 Nov 1991 ;N689MA MarkAir ;;;
; G-BPKA ;Boeing 737-4S3;; 16 Mar 1991 ; 31 Mar 1992 ;G-BVNM Dan-Air London ;;;
; G-BPKB ;Boeing 737-4S3;; 14 Apr 1989 ; 14 Oct 1990 ;9M-MLA Malaysia Airlines ;;;
; G-BPKC ;Boeing 737-4S3;; 23 May 1989 ; 3 Mar 1992 ;N690MA MarkAir ;;;
; G-BPKD ;Boeing 737-4S3;; 26 May 1989 ; Mar 1991 ;N691MA MarkAir ;;;
; G-BPKE ;Boeing 737-4S3;; 30 Jun 1989 ; 20 Oct 1990 ;9M-MLB Malaysia Airlines ;;;
; G-BRKF ;Boeing 737-4S3;; 11 Jun 1990 ; 30 Apr 1992 ;G-IEAE Inter European Airways ;;;
; N602FF ;Boeing 747-124; Y486 ; 1 May 1989 ; 23 Feb 1990 ;N602FF Tower Air ;lsf Tower Air ;;
; C-GTDL ;Boeing 757-28A;; 19 Mar 1990 ; 27 May 1990 ;N911AW America West Airlines ;lsf Odyssey International ;;
; G-BIKF ;Boeing 757-236;; 30 Apr 1983 ; 31 Oct 1983 ;G-BIKF British Airways ;lsf British Airways ;;
; G-BKRM ;Boeing 757-236;; 31 Oct 1989 ; 15 Dec 1990 ;G-BKRM Air 2000 ;lsd ;;
; G-BLVH ;Boeing 757-236;; 26 Mar 1985 ; 17 Apr 1990 ;YV-77C AVENSA ;;;
; G-BNSD ;Boeing 757-236;; 5 Nov 1990 ; 18 Mar 1992 ;PH-TKY Transavia ;;;
; G-BNSE ;Boeing 757-236;; 17 Apr 1990 ; 20 Oct 1990 ;EC-544 Air Europa ;lsd ;;
; G-BNSF ;Boeing 757-236;; 17 May 1989 ; 6 May 1991 ;EC-744 Air Europa ;lsd ;;
; G-BOHC ;Boeing 757-236;; 15 Apr 1991 ; 18 May 1992 ;G-BPEF Caledonian Airways ;lsd ;;
; G-BPGW ;Boeing 757-236;; 15 Jun 1990 ; 1 Nov 1990 ;YV-78C AVENSA ;;;
; G-BPSN ;Boeing 757-236;; 1 Nov 1990 ; 20 Mar 1992 ;PH-TKZ Transavia ;;;
