;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PH-XLC ;ATR 42-320;; 24 Apr 1997 ; 28 Jan 1998 ;PH-XLC KLM Exel ;lsd ;;
; PH-XLD ;ATR 42-320;; 27 Mar 1997 ; 28 Jan 1998 ;PH-XLD KLM Exel ;lsd ;;
; PH-XLE ;ATR 42-320;; Nov 2004 ; 31 Jan 2005 ;PJ-SLH Bonair Express ;lsd ;;
; PH-XLI ;ATR 42-320;; 22 Aug 1999 ; Mar 2004 ;PH-XLI Alsace Exel ;lsd ;;
; PH-XLK ;ATR 42-320;; 7 Nov 1999 ; Mar 2004 ;PH-XLK Alsace Exel ;lsd ;;
; PH-XLL ;ATR 42-320;; 22 Aug 2001 ; 21 Apr 2003 ;PJ-XLL BonairExel ;lsd ;;
; PH-XLM ;ATR 42-320;; 9 Nov 2001 ; 15 Aug 2003 ;PJ-XLM BonairExel ;lsd ;;
; PH-XLN ;ATR 42-500; Y48 ; 29 Apr 2004 ; 4 Oct 2004 ;PH-XLN CuraçaoExel ;lsd ;;
; PH-XLO ;ATR 42-500;; 24 Jun 2004 ; 31 Jan 2005 ;PR-TTK Total Linhas Aereas ;lsd ;;
; PH-XLP ;ATR 42-500;; 24 Jun 2004 ; 31 Jan 2005 ;PR-TTH Total Linhas Aereas ;lsd ;;
; PH-XLQ ;ATR 42-320;; 11 Aug 2004 ; 14 Feb 2005 ;F-WQNM ATRiam Capital ;lsd ;;
; PH-XLS ;ATR 42-500; Y48 ; 22 Oct 2004 ; 28 Jan 2005 ;F-GHNS CCM Airlines ;lsd ;;
; PH-SDS ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; Oct 1994 ; 25 Jan 1995 ;PH-SDS Schreiner Airways ;lsf Schreiner Airways ;;
; PH-RXC ;Embraer ERJ-145LR; Y49 ; 6 Nov 2004 ; 31 Jan 2005 ;F-HBPE Pan Européenne Air Service ;;;
