;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TR-LEW ;ATR 42-300;; 5 Dec 1997 ; 1 Feb 1999 ;F-GPIA Air Atlantique (France) ;lsf Air Atlantique (France) ;;
; TR-LFD ;ATR 42-320;; 5 May 1998 ; 24 Mar 2001 ;SX-BIM Olympic Aviation ;lsd ;;
; F-OHOB ;ATR 72-202;; 29 Apr 1993 ; 15 Dec 1995 ;F-OHOB Vietnam Airlines ;lsd ;;
; F-OHOC ;ATR 72-202;; 23 Dec 1993 ; 11 Dec 1994 ; Written Off ;lsd ;;
; TR-LEV ;Boeing 727-228(A); C12Y136 ; 22 Jan 1998 ; Dec 2002 ; Scrapped ;;;
; 3B-LXM ;Boeing 737-2H6(A); F12Y94 ; 29 Sep 1998 ; 5 Dec 2000 ;PK-IJO Bouraq Indonesia Airlines ;lsd ;;
; 3D-AAJ ;Boeing 737-222;; Jan 2001 ; Jan 2004 ;3D-AAJ Benin Golf Air ;lsf Aero Zambia ;;
; TR-LXL ;Boeing 737-2Q2C(A);; 31 Jul 1978 ; 24 Feb 2006 ;TN-AHW Air Congo ;;;
; TR-LFZ ;Boeing 737-3Y0;; 5 Jul 2001 ; 19 Dec 2003 ; Written Off ;lsd ;;
; TR-LFU ;Boeing 737-408;; 30 Mar 2001 ; 26 Jul 2005 ;N353CT CIT Leasing Corporation ;;;
; F-ODJG ;Boeing 747-2Q2B(M);; 29 Dec 1978 ;; Scrapped ;;;
; OD-AGJ ;Boeing 747-2B4B(M);; Jun 1977 ; 11 May 1978 ;OD-AGJ MEA - Middle East Airlines ;lsf MEA - Middle East Airlines ;;
; PH-AHE ;Boeing 757-27B;; 22 Jun 2002 ; 15 Oct 2002 ;PH-AHE Air Holland ;lsf Air Holland ;;
; TR-LEJ ;Boeing 767-269ER;; 27 Nov 1996 ; 19 Jan 1999 ;N6373P FSBU First Security Bank of Utah ;;;
; TR-LFH ;Boeing 767-266ER;; 19 Nov 1998 ; Oct 2006 ;9Q-CJD Hewa Bora Airways ;;;
; PH-AHR ;Boeing 767-328ER;; 24 Sep 2002 ; 21 Dec 2002 ;PH-AHR Air Holland ;lsf Air Holland ;;
; TF-ATT ;Boeing 767-383ER;; 10 Jan 2005 ; 25 Jun 2005 ;TF-ATT Excel Airways ;lsf Air Atlanta Icelandic ;;
; N711LF ;Douglas DC-8-33(F); Cargo ; Jul 1978 ; 29 Mar 1979 ;N8209U Zantop International Airlines ;lsf Rosenbalm Aviation ;;
; TR-LCR ;Fokker F100;; 23 Dec 1989 ; 17 Nov 1994 ;PH-FZD Guinness Peat Aviation (GPA) ;lsd ;;
; TR-LBA ;Vickers Vanguard 952F; Cargo ; 23 Jun 1983 ; Mar 1986 ;F-GEJE InterCargo Service ;lsf EAS - Europe Aero Service ;;
; TR-LZA ;Vickers Vanguard 953C Merchantman; Cargo ; 14 Jan 1980 ; May 1986 ;F-GEJF InterCargo Service ;lsf EAS - Europe Aero Service ;;
