;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-LDA ;Airbus A300F4-605R; Cargo ; 3 Sep 2004 ; Parked ; 17.8 Years ;;
; B-LDB ;Airbus A300F4-605R; Cargo ; 7 Oct 2004 ;; 17.7 Years ;;
; B-LDC ;Airbus A300F4-605R; Cargo ; 9 Nov 2004 ;; 17.5 Years ;;
; B-LDD ;Airbus A300F4-605R; Cargo ; 10 Dec 2004 ;; 17.4 Years ;;
; B-LDE ;Airbus A300F4-605R; Cargo ; 7 Feb 2005 ;; 17.4 Years ;;
; B-LDF ;Airbus A300F4-605R; Cargo ; 11 Mar 2005 ;; 17.3 Years ;;
; B-LDG ;Airbus A300F4-605R; Cargo ; 19 May 2006 ;; 16 Years ;;
; B-LDH ;Airbus A300F4-605R; Cargo ; 22 Jun 2006 ;; 15.9 Years ;;
; B-LDN ;Airbus A300B4-622R(F); Cargo ; 23 Mar 2015 ;; 26 Years ;;
; B-LDP ;Airbus A330-243F; Cargo ; 9 Mar 2020 ;; 8.8 Years ;;
; B-LDS ;Airbus A330-243F; Cargo ; 5 Jan 2021 ;; 12.1 Years ;;
; B-LDQ ;Airbus A330-343(P2F); Cargo ; 23 Aug 2020 ;; 15.5 Years ;;
; B-LDR ;Airbus A330-343(P2F); Cargo ; 14 Jun 2020 ;; 15.5 Years ;;
; B-LDT ;Airbus A330-343(P2F); Cargo ; 10 Jan 2021 ;; 11.8 Years ;;
