;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VT-SCB ;Airbus A319-112; Y144 ; 24 Aug 2007 ; Parked, lsd ;; 16.3 Years ;;
; VT-SCC ;Airbus A319-112; Y144 ; 24 Aug 2007 ; Parked, lsd ;; 16.3 Years ;;
; VT-SCF ;Airbus A319-112; C8Y114 ; 24 Aug 2007 ;;; 15.4 Years ;;
; VT-SCG ;Airbus A319-112; C8Y114 ; 18 Oct 2007 ;;; 14.4 Years ;;
; VT-SCH ;Airbus A319-112; C8Y114 ; 29 Oct 2007 ;;; 14.4 Years ;;
; VT-SCI ;Airbus A319-112; C8Y114 ; 30 Nov 2007 ; Parked ;; 14.3 Years ;;
; VT-SCJ ;Airbus A319-112; C8Y114 ; 15 Nov 2007 ;;; 14.3 Years ;;
; VT-SCK ;Airbus A319-112; C8Y114 ; 19 Dec 2007 ; Parked ;; 14.2 Years ;;
; VT-SCL ;Airbus A319-112; C8Y114 ; 14 Oct 2008 ; Parked ;; 13.5 Years ;;
; VT-SCM ;Airbus A319-112; C8Y114 ; 7 Nov 2008 ; Parked ;; 13.5 Years ;;
; VT-SCN ;Airbus A319-112; C8Y114 ; 7 Nov 2008 ; Parked ;; 13.3 Years ;;
; VT-SCP ;Airbus A319-112; C8Y114 ; 29 Apr 2009 ;;; 12.9 Years ;;
; VT-SCQ ;Airbus A319-112; C8Y114 ; 28 May 2009 ;;; 12.8 Years ;;
; VT-SCR ;Airbus A319-112; C8Y114 ; 30 Jul 2009 ;;; 12.7 Years ;;
; VT-SCS ;Airbus A319-112; C8Y114 ; 31 Aug 2009 ;Mahatma Gandhi cs ;; 12.5 Years ;;
; VT-SCT ;Airbus A319-112; C8Y114 ; 29 Sep 2009 ; Parked ;; 12.5 Years ;;
; VT-SCU ;Airbus A319-112; C8Y114 ; 27 Oct 2009 ; Parked ;; 12.4 Years ;;
; VT-SCV ;Airbus A319-112; C8Y114 ; 27 Nov 2009 ; Parked ;; 12.3 Years ;;
; VT-SCW ;Airbus A319-112; C8Y114 ; 21 Dec 2009 ; Parked ;; 12.3 Years ;;
; VT-SCX ;Airbus A319-112; C8Y114 ; 27 Jan 2010 ; Parked ;; 12.1 Years ;;
; VT-EDC ;Airbus A320-214; C12Y138 ; 24 Feb 2010 ; Parked ;; 12.1 Years ;;
; VT-EDD ;Airbus A320-214; C12Y138 ; 23 Feb 2010 ;;; 12.1 Years ;;
; VT-EDE ;Airbus A320-214; C12Y138 ; 29 Mar 2010 ;;; 12 Years ;;
; VT-EDF ;Airbus A320-214; C12Y138 ; 30 Mar 2010 ; Parked ;; 12 Years ;;
; VT-EXA ;Airbus A320-214(WL); Y180 ; 3 Feb 2015 ; Parked, lsd ;; 7.1 Years ;;
; VT-EXB ;Airbus A320-214(WL); Y180 ; 9 Jul 2015 ;lsd ;; 6.7 Years ;;
; VT-EXC ;Airbus A320-214(WL); Y180 ; 3 Aug 2015 ;lsd ;; 6.6 Years ;;
; VT-EXD ;Airbus A320-214(WL); Y180 ; 14 Sep 2015 ;lsd ;; 6.5 Years ;;
; VT-EXE ;Airbus A320-214(WL); Y180 ; 28 Oct 2015 ;lsd ;; 6.4 Years ;;
; VT-CID ;Airbus A320-251N; C12Y150 ; 27 Feb 2017 ;lsd ;; 5.1 Years ;;
; VT-CIE ;Airbus A320-251N; C12Y150 ; 3 Apr 2017 ;lsd ;; 4.9 Years ;;
; VT-CIF ;Airbus A320-251N; C12Y150 ; 13 Jun 2017 ; Parked, lsd ;; 4.8 Years ;;
; VT-CIG ;Airbus A320-251N; C12Y150 ; 9 Oct 2017 ;lsd ;; 4.4 Years ;;
; VT-CIH ;Airbus A320-251N; C12Y150 ; 31 Jan 2018 ;lsd ;; 4.1 Years ;;
; VT-CIM ;Airbus A320-251N; C12Y150 ; 25 Jun 2018 ;lsd ;; 3.7 Years ;;
; VT-CIN ;Airbus A320-251N; C12Y150 ; 30 Apr 2018 ;lsd ;; 3.9 Years ;;
; VT-CIO ;Airbus A320-251N; C12Y150 ; 30 Apr 2018 ;lsd, "Mahatma Gandhi" sticker ;; 3.8 Years ;;
; VT-CIP ;Airbus A320-251N; C12Y150 ; 23 Jul 2018 ;lsd ;; 3.6 Years ;;
; VT-CIQ ;Airbus A320-251N; C12Y150 ; 9 Jul 2018 ;lsd ;; 3.7 Years ;;
; VT-EXF ;Airbus A320-251N; C12Y150 ; 14 Feb 2017 ;lsd ;; 5.1 Years ;;
; VT-EXG ;Airbus A320-251N; C12Y150 ; 24 Apr 2017 ;lsd ;; 4.9 Years ;;
; VT-EXH ;Airbus A320-251N; C12Y150 ; 6 Dec 2017 ;lsd ;; 4.3 Years ;;
; VT-EXI ;Airbus A320-251N; C12Y150 ; 26 Sep 2017 ;lsd ;; 4.5 Years ;;
