;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-DOH ;Boeing 737-31S;; 4 Jul 2010 ; 9 Aug 2011 ;EI-DOH Transaero Airlines ;;;
; EI-IGR ;Boeing 737-36N(WL);; 27 Apr 2010 ; 12 Sep 2016 ;EI-IGR Meridiana ;lsd ;;
; EI-IGS ;Boeing 737-36N(WL);; 19 May 2010 ; 30 Sep 2016 ;EI-IGS Meridiana ;lsd ;;
; I-AIGL ;Boeing 737-33A;; 17 May 2007 ; 12 Apr 2011 ;N636AN Ansett Worldwide (AWAS) ;lsd ;;
; I-AIGM ;Boeing 737-3Q8;; 31 May 2007 ; 17 Apr 2012 ; Partially Preserved ;lsd ;;
; EI-COK ;Boeing 737-430; Y162 ; 5 Mar 2010 ; 27 Jul 2011 ;9M-FZB Firefly ;lsd ;;
; I-AIMR ;Boeing 737-430; Y162 ; 16 Feb 2011 ; 31 Oct 2012 ;N270PL Bank of Utah ;;;
; EI-IGP ;Boeing 737-7GL(WL); Y149 ; 14 Oct 2010 ; 24 Jun 2014 ;EI-IGP Meridiana ;;;
; EI-IGT ;Boeing 737-73V(WL); Y149 ; 28 Apr 2011 ; 14 Dec 2016 ;EI-IGT Meridiana ;lsd ;;
; EI-IGU ;Boeing 737-73V(WL); Y149 ; 12 May 2011 ; 27 Nov 2016 ;EI-IGU Meridiana ;lsd ;;
; EI-EOJ ;Boeing 737-8BK(WL);; 10 Oct 2011 ; 13 May 2014 ;TC-TJP Corendon Airlines ;lsd ;;
; EI-IGN ;Boeing 737-84P(WL); Y186 ; 9 May 2012 ; 26 Jun 2015 ;EI-IGN Meridiana ;lsd ;;
; EI-IGA ;Boeing 757-230; Y220 ; 20 Oct 2006 ; 11 Nov 2009 ;N493AC Aircastle ;lsd ;;
; EI-IGB ;Boeing 757-230; Y220 ; 2 Nov 2006 ; 10 Nov 2009 ;N473AC Aircastle ;lsd ;;
; EI-IGC ;Boeing 757-230; Y220 ; Sep 2010 ; 5 Dec 2011 ;N998FD FedEx Express ;;;
; I-AIGH ;Boeing 767-23BER; C12Y241 ; 25 Nov 2012 ; 28 Nov 2017 ;I-AIGH Meridiana ;;;
; I-AIGI ;Boeing 767-23BER;; 8 Dec 2011 ; 10 Feb 2013 ;N253MY KMW Leasing ;;;
; EI-FMR ;Boeing 767-304ER(WL);; 18 Dec 2015 ; 28 Feb 2018 ;EI-FMR Meridiana ;lsd ;;
; I-AIGG ;Boeing 767-304ER;; 1 Dec 2012 ; 28 Feb 2018 ;I-AIGG Meridiana ;;;
; I-AIGJ ;Boeing 767-304ER;; 30 Nov 2012 ; 28 Feb 2018 ;I-AIGJ Meridiana ;;;
; SP-LPC ;Boeing 767-35DER;; 16 Dec 2005 ; May 2006 ;SP-LPC LOT - Polish Airlines ;lsf LOT - Polish Airlines ;;
