;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-GFX ;Airbus A330-202; C24Y236 ; 4 May 2018 ; 11 Feb 2020 ;A7-ACP Qatar Airways ;lsd ;;
; EI-GGN ;Airbus A330-202; C24Y236 ; 27 Sep 2018 ; 6 Jan 2020 ;A7-ACN Qatar Airways ;lsd ;;
; EI-GGO ;Airbus A330-202; C24Y236 ; 3 Sep 2018 ; 10 Feb 2020 ;A7-ACO Qatar Airways ;lsd ;;
; EI-GGP ;Airbus A330-202; C24Y236 ; 1 Jun 2018 ; 11 Feb 2020 ;A7-ACR Qatar Airways ;lsd ;;
; EI-GGR ;Airbus A330-202; C24Y236 ; 30 Oct 2018 ; 12 Oct 2020 ;A7-ACQ Qatar Airways ;lsd ;;
; EI-GFY ;Boeing 737-8 MAX; CY186 ; 10 May 2018 ; 24 Jun 2020 ; Stored ;lsd ;;
; EI-GGK ;Boeing 737-8 MAX; CY186 ; 11 Jul 2018 ; 8 Jul 2020 ; Stored ;lsd ;;
; EI-GGL ;Boeing 737-8 MAX; CY186 ; 20 Nov 2018 ; 10 Jul 2020 ; Stored ;lsd ;;
; EI-FFM ;Boeing 737-73S; Y148 ; 28 Feb 2018 ; 5 Feb 2020 ; Scrapped ;lsd ;;
; EI-FDS ;Boeing 737-86N(WL); Y189 ; 28 Feb 2018 ; 2 Feb 2020 ;EI-FDS BBAM ;lsd ;;
; EI-FFK ;Boeing 737-81Q(WL);; 28 Feb 2018 ; 4 Jun 2018 ;EC-NAB Alba Star ;lsd ;;
; EI-FFW ;Boeing 737-85F(WL); Y189 ; 28 Feb 2018 ; 1 Oct 2019 ;9H-HLY Bluebird Airways ;lsd ;;
; EI-FLM ;Boeing 737-85F(WL); Y189 ; 28 Feb 2018 ; 8 Feb 2019 ;EI-FLM Neos ;lsd ;;
; EI-FNU ;Boeing 737-86N(WL); Y189 ; 28 Feb 2018 ; 11 Feb 2020 ;EI-FNU BBAM ;lsd ;;
; EI-FNW ;Boeing 737-86N(WL); Y189 ; 28 Feb 2018 ; 11 Feb 2020 ; Stored ;lsd ;;
; EI-IRI ;Boeing 737-86J(WL);; 2 May 2018 ; 4 Nov 2018 ;TC-COE Corendon Airlines ;lsd ;;
; EI-FMR ;Boeing 767-304ER(WL);; 28 Feb 2018 ; 31 Oct 2018 ;N842DH DHL ;lsd ;;
; I-AIGG ;Boeing 767-304ER;; 28 Feb 2018 ; 14 Jan 2019 ;N392UP Cargo Aircraft Management (CAM) ;;;
; I-AIGJ ;Boeing 767-304ER;; 28 Feb 2018 ; 9 Apr 2018 ;N391UP Cargo Aircraft Management (CAM) ;;;
