;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GYAI ;Airbus A320-211;; 3 May 2006 ; 11 Jan 2012 ;SX-BHV Hermes Airlines ;;;
; F-GYAN ;Airbus A321-111;; 30 Nov 2015 ; 4 Jan 2016 ;SX-ABD Olympus Airways ;lsd ;;
; F-GYAO ;Airbus A321-111; Y220 ; 19 Apr 2011 ; 31 Jan 2012 ;SX-BHS Hermes Airlines ;lsd ;;
; F-GYAP ;Airbus A321-111; Y220 ; 28 May 2003 ; 14 Feb 2016 ;SX-ABC Olympus Airways ;lsd ;;
; F-GYAZ ;Airbus A321-111; Y220 ; 18 Apr 2012 ; 14 Feb 2016 ; Scrapped ;lsd ;;
; F-GYAJ ;Airbus A321-211; Y220 ; 22 Mar 2006 ; 18 Mar 2013 ;VP-BVP Ural Airlines ;lsd ;;
; F-GYAQ ;Airbus A321-212; Y220 ; 10 Jan 2004 ; 24 Jan 2016 ;F-WTDW Unknown ;lsd ;;
; F-GYAR ;Airbus A321-212; Y220 ; 11 Feb 2004 ; 1 Nov 2015 ;F-WTDV AerCap ;lsd ;;
; F-GCJL ;Boeing 737-222; Y130 ; Apr 1998 ; 22 Sep 2005 ; Preserved ;lsf Euralair ;;
; F-GCSL ;Boeing 737-222; Y130 ; 10 May 2002 ; 7 Sep 2005 ; Partially Preserved ;;;
; F-GEXI ;Boeing 737-2L9(A);; May 2003 ; 7 Aug 2003 ;PK-KJO Bali Air ;lsf Alter Bail Aviation ;;
; F-GGVP ;Boeing 737-2K2C(A);; 11 Dec 2000 ; 29 Jul 2001 ;F-GGVP Europe Airpost ;lsf L'Aéropostale ;;
; F-GGVQ ;Boeing 737-2K2C(A);; 11 Dec 2000 ; 4 Feb 2004 ;PK-RPI RPX - Republic Express Airlines ;lsf Daniel Leasing Corporation ;;
; F-GIXA ;Boeing 737-2K2C(A); Y130 / Cargo ; 15 Apr 2001 ; 24 May 2004 ;F-GIXA Star Up ;lsf Europe Airpost ;;
; F-GOAF ;Boeing 737-242C; Y130 / Cargo ; Apr 1998 ; Oct 2005 ; Scrapped ;;;
; F-GYAL ;Boeing 737-222; Y130 ; 12 Apr 2000 ; Dec 2001 ;F-GYAL EAS Airlines ;;;
; F-GYAM ;Boeing 737-505;; 26 Mar 2002 ; 3 Feb 2005 ;6V-AHT Air Senegal ;lsd ;;
; F-HCOA ;Boeing 737-5L9; Y131 ; 3 Jun 2010 ; 16 Feb 2016 ;N375CK Kalitta Charters II ;;;
; F-HCOB ;Boeing 737-59D; Y131 ; 22 Aug 2013 ; 31 Aug 2015 ;N190CR Ansett Worldwide (AWAS) ;lsd ;;
; SX-BHR ;Boeing 737-5L9; Y131 ; 31 Jul 2011 ; 11 Mar 2014 ;SX-BHR Hermes Airlines ;lsf Hermes Airlines ;;
; TF-FII ;Boeing 757-208;; Oct 2006 ; 23 May 2007 ;TF-FII Icelandair ;lsf Icelandair ;;
