;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; SU-GCI ;Airbus A330-243; C24Y244 ; 13 May 2012 ; 10 Sep 2012 ;SU-GCI EgyptAir ;Papa Do, lsf EgyptAir ;;
; 5N-VNC ;Boeing 737-33V; C16Y100 ; 2 Jun 2010 ; 9 Aug 2012 ;N280CS GECAS ;lsd ;;
; 5N-VND ;Boeing 737-33V; C16Y100 ; 2 Jun 2010 ; 3 Aug 2012 ;N279CS GECAS ;lsd ;;
; 5N-VNE ;Boeing 737-33V; C16Y100 ; 2 Jun 2010 ; 30 Jul 2012 ;N281CS GECAS ;lsd ;;
; 5N-VNF ;Boeing 737-33V; C16Y100 ; 8 Jul 2010 ; 30 Apr 2015 ;N901JK Jetran ;lsd ;;
; 5N-VNG ;Boeing 737-33V; C16Y100 ; 2 Jun 2010 ; 6 Jul 2015 ;N903JJ Jetran ;lsd ;;
; 5N-VNJ ;Boeing 737-36N; C16Y100 ; 16 Aug 2010 ; 3 Aug 2012 ;N282CS GECAS ;lsd ;;
; 5N-VNK ;Boeing 737-33A; C16Y100 ; 15 Nov 2010 ; 1 Aug 2012 ;N901AS AerSale Inc ;lsd ;;
; 5N-VNL ;Boeing 737-33A; C16Y100 ; 15 Nov 2010 ; 1 Aug 2012 ;N902AS AerSale Inc ;lsd ;;
; 5N-VNM ;Boeing 737-4Q8;; 3 Aug 2011 ; 14 Sep 2012 ;N339LF ILFC ;lsd ;;
; 5N-VNH ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 2 Jun 2010 ; 10 Sep 2012 ; Scrapped ;;;
; 5N-VNI ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 2 Jun 2010 ; 9 Jun 2016 ;N997SC Jetran ;;;
