;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; P2-PXC ;Boeing 737-86Q(WL); C20Y138 ; 18 Dec 2012 ;lsd ;; 18.3 Years ;;
; P2-PXV ;Boeing 767-341ER; C28Y160 ; 2 Jul 2010 ;lsf Loftleidir Icelandic ;; 22.4 Years ;;
; P2-PXW ;Boeing 767-383ER; C28Y160 ; 19 Apr 2011 ;;; 30.4 Years ;;
; P2-PXR ;Bombardier DHC-8-402Q Dash 8; Y74 ; 10 Dec 2020 ;lsd ;; 14.4 Years ;;
; P2- ;Bombardier DHC-8-402Q Dash 8;; Due ; Stored ;; 12.8 Years ;;
; P2-ANP ;De Havilland Canada DHC-8-315 Dash 8; Y50 ; 18 Apr 2018 ;lsd ;; 26.4 Years ;;
; P2-ANC ;Fokker F100; C8Y93 ; 20 Jun 2006 ;;; 28.5 Years ;;
; P2-AND ;Fokker F100; C8Y93 ; 25 Jul 2006 ; Parked ;; 26.8 Years ;;
; P2-ANE ;Fokker F100; C8Y93 ; 21 Mar 2007 ; Parked ;; 31.9 Years ;;
; P2-ANF ;Fokker F100; C8Y93 ; 11 Apr 2007 ; Parked ;; 30.5 Years ;;
; P2-ANH ;Fokker F100; C8Y93 ; 18 Dec 2007 ;;; 31.2 Years ;;
; P2-ANJ ;Fokker F100; C8Y93 ; 29 Oct 2013 ;;; 27.1 Years ;;
; P2-ANQ ;Fokker F100; C8Y93 ; 28 Jul 2008 ; Parked ;; 28.7 Years ;;
; P2-ANR ;Fokker F70;; 5 Mar 2015 ;; Mt. Hagen ; 25.3 Years ;;
; P2-ANS ;Fokker F70;; 3 Oct 2015 ; Parked ;; 25.4 Years ;;
; P2-ANT ;Fokker F70; Y80 ; 16 Nov 2015 ; Parked ; Alotau ; 25.4 Years ;;
; P2-ANU ;Fokker F70; Y80 ; 10 Feb 2016 ;;; 26.9 Years ;;
; P2-ANV ;Fokker F70; Y80 ; 26 Apr 2016 ;;; 26.2 Years ;;
; P2-ANY ;Fokker F70; Y80 ; Dec 2017 ; Parked ;; 26.5 Years ;;
