;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-GNVX ;British Aerospace 146-100;; 16 Aug 1988 ; 20 Jan 1989 ;C-GNVX Air BC ;101, lsd ;;
; C-GNVY ;British Aerospace 146-100;; 3 Sep 1988 ; 1 Oct 1989 ;G-UKJF Air UK ;102, lsd ;;
; C-FEXN ;British Aerospace 146-200; Y85 ; 2 Jun 1989 ; 10 Aug 1989 ;G-OSUN British Aerospace Asset Management ;lsd ;;
; C-FHAV ;British Aerospace 146-200A; C10Y67 ; 11 Nov 1998 ; 26 Jan 1999 ;G-DEBK Debonair ;lsd ;;
; C-GRNT ;British Aerospace 146-200;; 7 Dec 1989 ; 27 Mar 2002 ;C-GRNT Air Canada Jazz ;206, opby Air Canada Regional ;;
; C-GRNU ;British Aerospace 146-200;; 21 Dec 1989 ; 27 Mar 2002 ;C-GRNU Air Canada Jazz ;205, opby Air Canada Regional ;;
; C-GRNV ;British Aerospace 146-200; Y85 ; 29 Sep 1989 ; 27 Mar 2002 ;C-GRNV Air Canada Jazz ;204, opby Air Canada Regional ;;
; C-GRNX ;British Aerospace 146-200;; 13 Jul 1989 ; 27 Mar 2002 ;C-GRNX Air Canada Jazz ;203, opby Air Canada Regional ;;
; C-GRNY ;British Aerospace 146-200;; 24 Jan 1989 ; 16 Mar 1990 ;G-BRXT Princess Air ;202, lsd ;;
; C-GRNZ ;British Aerospace 146-200;; 11 Jan 1989 ; 27 Mar 2002 ;C-GRNZ Air Canada Jazz ;201, opby Air Canada Regional ;;
; N293UE ;British Aerospace 146-200A;; 1 Nov 1991 ; Feb 1992 ;N293UE Air BC ;;;
; C-FABG ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 30 Sep 1997 ; 27 Mar 2002 ;C-FABG Air Canada Jazz ;City of Halifax, 899, lsf Air BC, opby Air Canada Regional ;;
; C-FABT ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 25 Mar 1999 ; 27 Mar 2002 ;C-FABT Air Canada Jazz ;817, opby Air Canada Regional ;;
; C-FCIZ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 28 Jun 2000 ; 27 Mar 2002 ;C-FCIZ Air Canada Jazz ;891, opby Air Canada Regional ;;
; C-FCTA ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 5 Jul 1986 ; 27 Mar 2002 ;C-FCTA Air Canada Jazz ;801, opby Air Canada Regional ;;
; C-FDOJ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 12 Mar 1999 ; 27 Mar 2002 ;C-FDOJ Air Canada Jazz ;895 ;;
; C-FGRY ;De Havilland Canada DHC-8-102 Dash 8;; 29 Dec 1994 ; 27 Mar 2002 ;C-FGRY Air Canada Jazz ;City of Moncton, 844, lsf Air Alliance, opby Air Canada Regional ;;
; C-FHRA ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 25 Mar 1999 ; 27 Mar 2002 ;C-FHRA Air Canada Jazz ;818, lsd, opby Air Canada Regional ;;
; C-FHRC ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 25 Mar 1999 ; 27 Mar 2002 ;C-FHRC Air Canada Jazz ;842, lsd, opby Air Canada Regional ;;
; C-FJMG ;De Havilland Canada DHC-8-102A Dash 8; Y37 ; 1 Jul 1992 ; 27 Mar 2002 ;C-FJMG Air Canada Jazz ;The Town of Gander, 824, lsf Air Ontario, opby Air Canada Regional ;;
; C-FPON ;De Havilland Canada DHC-8-102 Dash 8;; 23 Nov 1989 ; 27 Mar 2002 ;C-FPON Air Canada Jazz ;808, lsf Air Ontario, opby Air Canada Regional ;;
; C-FTON ;De Havilland Canada DHC-8-102 Dash 8;; Jan 1990 ; 27 Mar 2002 ;C-FTON Air Canada Jazz ;The City of Charlottetown, 809, lsf Air Ontario, opby Air Canada Regional ;;
; C-GAAN ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 12 Jul 1999 ; 27 Mar 2002 ;C-GAAN Air Canada Jazz ;893, opby Air Canada Regional ;;
; C-GABF ;De Havilland Canada DHC-8-102 Dash 8;; 25 Mar 1999 ; 27 Mar 2002 ;C-GABF Air Canada Jazz ;816, opby Air Canada Regional ;;
; C-GANF ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 8 Jul 1986 ; 27 Mar 2002 ;C-GANF Air Canada Jazz ;The Cities of Wabush and Labrador, 802, opby Air Canada Regional ;;
; C-GANI ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 4 Apr 1996 ; 27 Mar 2002 ;C-GANI Air Canada Jazz ;804, opby Air Canada Regional ;;
; C-GANK ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 12 Aug 1987 ; 27 Mar 2002 ;C-GANK Air Canada Jazz ;831, opby Air Canada Regional ;;
; C-GANQ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 25 Mar 1988 ; 27 Mar 2002 ;C-GANQ Air Canada Jazz ;806, opby Air Canada Regional ;;
; C-GANS ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 22 Dec 1986 ; 27 Mar 2002 ;C-GANS Air Canada Jazz ;The City of Sydney, 803, opby Air Canada Regional ;;
; C-GBSW ;De Havilland Canada DHC-8-102A Dash 8; Y37 ; 16 Dec 1997 ; 14 Oct 1998 ;VH-TQT Eastern Australia Airlines ;lsf de Havilland Canada ;;
; C-GCTC ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 29 Jun 1996 ; 27 Mar 2002 ;C-GCTC Air Canada Jazz ;815, lsf Air Alliance, opby Air Canada Regional ;;
; C-GCWZ ;De Havilland Canada DHC-8-102A Dash 8; Y37 ; 15 May 1998 ; 17 Feb 2000 ;VH-TQV Eastern Australia Airlines ;896, lsf de Havilland Canada ;;
; C-GESC ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 30 Apr 1999 ; 27 Mar 2002 ;C-GESC Air Canada Jazz ;894, lsd, opby Air Canada Regional ;;
; C-GESH ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 24 Nov 1999 ; 27 Mar 2002 ;C-GESH Air Canada Jazz ;892, lsd, opby Air Canada Regional ;;
; C-GJIG ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 30 Jun 1993 ; 12 Sep 1993 ;C-GJIG Air Ontario ;lsf Air Ontario ;;
; C-GJSV ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 25 Mar 1999 ; 27 Mar 2002 ;C-GJSV Air Canada Jazz ;Val d'Or, 814, opby Air Canada Regional ;;
