;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; DQ-FJT ;Airbus A330-243; C24Y249 ; 14 Mar 2013 ; 27 Jun 2013 ;DQ-FJT Fiji Airways ;;;
; DQ-FJU ;Airbus A330-243; C24Y249 ; 17 May 2013 ; 27 Jun 2013 ;DQ-FJU Fiji Airways ;;;
; DQ-FEJ ;ATR 42-300;; 27 Oct 1986 ; 23 Jan 1989 ;F-GGBE ATRiam Capital ;Island of Taveuni, lsd ;;
; DQ-FEK ;ATR 42-300;; 4 Dec 1986 ; 1 Jan 1989 ;F-GHME Brit Air ;lsd ;;
; DQ-FEP ;ATR 42-300;; 14 Oct 1988 ; 16 Dec 1992 ;G-BUPS CityFlyer Express ;Island of Taveuni, lsd ;;
; DQ-FEQ ;ATR 42-300;; 17 Nov 1988 ; Nov 1993 ;EI-CIQ Guinness Peat Aviation (GPA) ;Island of Kadavu, lsd ;;
; DQ-FBQ ;BAC 1-11-479FU One-Eleven; Y74 ; 16 Nov 1975 ; Mar 1984 ;ZE433 Royal Aircraft Establishment (RAE) ;;;
; DQ-FBV ;BAC 1-11-479FU One-Eleven; Y74 ; 4 Aug 1973 ; Mar 1984 ;ZE432 Empire Test Pilots' School ;;;
; DQ-FCR ;BAC 1-11-413FA One-Eleven;; 25 Jun 1978 ; 8 Sep 1981 ; Scrapped ;;;
; DQ-FDM ;Boeing 737-2X2(A);; 23 Oct 1981 ; Jul 1990 ;N719A Saudi Aramco ;;;
; DQ-FJD ;Boeing 737-33A;; 24 Jan 1995 ; 2 Jun 1999 ;G-ZAPM Titan Airways ;lsd ;;
; DQ-FJB ;Boeing 737-5Y0;; 11 Jun 1992 ; 15 Oct 1999 ;PT-MNH Nordeste Linhas Aéreas ;Island of Taveuni, lsd ;;
; DQ-FJF ;Boeing 737-7X2(WL); C12Y100 ; 22 Sep 1998 ; 27 Jun 2013 ;DQ-FJF Fiji Airways ;Island of Koro ;;
; DQ-FJG ;Boeing 737-8X2(WL); C8Y154 ; 24 May 1999 ; 27 Jun 2013 ;DQ-FJG Fiji Airways ;Island of Kadavu ;;
; DQ-FJH ;Boeing 737-8X2(WL); C8Y154 ; 13 Aug 1999 ; 27 Jun 2013 ;DQ-FJH Fiji Airways ;Island of Gau ;;
; DQ-FJM ;Boeing 737-86J(WL);; 13 Oct 2011 ; 27 Jun 2013 ;DQ-FJM Fiji Airways ;Mamanuca Islands, lsd ;;
; VH-EEI ;Boeing 747-123;; Apr 1988 ; 15 Nov 1989 ;EI-CAI Qantas ;lsf Qantas ;;
; DQ-FJE ;Boeing 747-238B;; 1 Aug 1996 ; 29 Jun 2003 ; Scrapped ;lsf Qantas ;;
; DQ-FJI ;Boeing 747-238B;; 4 Dec 1998 ; 14 Aug 2000 ;VH-EBQ Qantas ;lsf Qantas ;;
; VH-EBB ;Boeing 747-238B;; 1 Apr 1991 ; 24 May 1994 ;N706CK Kalitta American International Airways ;Island of Viti Levu, lsf Qantas ;;
; VH-EBJ ;Boeing 747-238B;; May 1989 ; 1 Jun 1991 ;N158UA United Airlines ;Island of Vit Levu, lsf Qantas ;;
; VH-EBK ;Boeing 747-238B;; Mar 1985 ; May 1989 ;VH-EBK Qantas ;lsf Qantas ;;
; VH-EBS ;Boeing 747-238B;; 19 Jun 2001 ; 11 Jul 2001 ;VH-EBS Qantas ;lsf Qantas ;;
; VH-ECC ;Boeing 747-238B(M);; 19 Sep 1999 ; 25 Oct 1999 ;VH-ECC Qantas ;lsf Qantas ;;
; ZK-NZY ;Boeing 747-219B;; 1996 ; 3 Aug 1996 ;ZK-NZY Air New Zealand ;lsf Air New Zealand ;;
; DQ-FJK ;Boeing 747-412; C28Y430 ; 14 Apr 2003 ; 27 Jun 2013 ;DQ-FJK Fiji Airways ;Island of Vanua Levu, lsf Singapore Airlines ;;
; DQ-FJL ;Boeing 747-412; C28Y430 ; 14 Jun 2003 ; Jul 2013 ; Scrapped ;Island Of Viti Levu, lsf Singapore Airlines ;;
; DQ-FJA ;Boeing 767-205;; 5 Jul 1990 ; 15 Dec 1994 ;N651TW Trans World Airlines (TWA) ;;;
; DQ-FJC ;Boeing 767-3X2ER; C18Y229 ; 16 Sep 1994 ; 15 Jan 2012 ;N531CL Ansett Worldwide (AWAS) ;Island of Taveuni, lsd ;;
; N821L ;McDonnell Douglas DC-10-30;; 21 Sep 1983 ; 3 Jan 1985 ;N144AA American Airlines ;lsd ;;
