;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-CKK ;Boeing 737-2P6(A);; 25 Oct 1994 ; 6 Jan 1998 ;HP-1340CMP Copa Airlines ;lsd ;;
; EI-CKL ;Boeing 737-2P6(A);; 5 Aug 1994 ; 2 Mar 1998 ;LV-YIB Aerolineas Argentinas ;lsd ;;
; EI-CKW ;Boeing 737-2P6(A);; 18 Dec 1994 ; 26 Nov 1997 ;HP-1339CMP Copa Airlines ;lsd ;;
; EI-CLK ;Boeing 737-2P6(A);; 26 Apr 1995 ; 27 Jan 1998 ;LV-YEB Aerolineas Argentinas ;lsd ;;
; N159PL ;Boeing 737-242(A);; 16 Nov 1994 ; 15 Jan 1998 ;N159PL Vanguard Airlines ;lsd ;;
; N358AS ;Boeing 737-2L9(A);; Dec 1994 ; 16 Jun 1995 ;N464AT AirTran Airways ;;;
; N359AS ;Boeing 737-2L9(A);; Dec 1994 ; 16 Jun 1995 ;N465AT AirTran Airways ;;;
; N4501W ;Boeing 737-247;; Mar 1995 ; Jun 1995 ;N4501W Viscount Air Service ;lsf Viscount Air Service ;;
; N4510W ;Boeing 737-247;; 18 Nov 1994 ; 20 Dec 1997 ;N912MP Vanguard Airlines ;lsf Mimi Leasing Corporation ;;
; N4515W ;Boeing 737-247;; 7 Jan 1995 ; 5 Jan 1998 ;N903LC Vanguard Airlines ;515 ;;
