;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N751CX ;Boeing 757-2Q8(PCC)(WL); Y54/Cargo ; 28 Jun 2013 ;lsd ; 751 ; 27.9 Years ;;
; N752CX ;Boeing 757-2G5(C); Pax/Cargo ; 14 Mar 2013 ;lsd ; 752 ; 32.8 Years ;;
; N753CX ;Boeing 757-2Y0(C); Pax/Cargo ; 18 Apr 2013 ; Parked, lsd ; 753 ; 29.6 Years ;;
; N754CX ;Boeing 757-2Y0(C); Pax/Cargo ; 14 Aug 2013 ;lsd ; 754 ; 29.5 Years ;;
; N255CM ;Boeing 767-223(BDSF); Cargo ; 2 May 2016 ; Parked, lsd ; 255 ; 37.7 Years ;;
; N714AX ;Boeing 767-223(BDSF); Cargo ; 12 Apr 2016 ;lsd ;; 38.4 Years ;;
; N739AX ;Boeing 767-232(BDSF); Cargo ; 14 Apr 2017 ;lsd ;; 39.3 Years ;;
; N761CX ;Boeing 767-223(BDSF); Cargo ; 31 Jul 2008 ;lsd ;; 36.9 Years ;;
; N762CX ;Boeing 767-232(BDSF); Cargo ; 22 Sep 2010 ;lsd ;; 38.2 Years ;;
; N763CX ;Boeing 767-232(BDSF); Cargo ; 2 Sep 2010 ;lsd ;; 38.3 Years ;;
; N791AX ;Boeing 767-281(BDSF); Cargo ; 4 Dec 2012 ;lsd ;; 37 Years ;;
; N1049A ;Boeing 767-36NER(BDSF); Cargo ; 6 Sep 2019 ;lsd, opf Amazon Prime Air ; 049 ; 22.4 Years ;;
; N1439A ;Boeing 767-33AER(BDSF); Cargo ; 3 Dec 2019 ;lsd, opf Amazon Prime Air ;; 25.1 Years ;;
; N227AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 12 Feb 2021 ;lsd, opf Amazon Prime Air ;; 27.2 Years ;;
; N229AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 3 May 2021 ;lsd, opf Amazon Prime Air ;; 27.9 Years ;;
; N233AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 12 May 2021 ;lsd, opf Amazon Prime Air ;; 23.8 Years ;;
; N239AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 25 May 2021 ;lsd, opf Amazon Prime Air ;; 27.1 Years ;;
; N241AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 10 Sep 2021 ;lsd, opf Amazon Prime Air ;; 27.1 Years ;;
; N251AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 9 Dec 2021 ;lsd, opf Amazon Prime Air ;; 22.9 Years ;;
; N257AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 20 Nov 2021 ;lsd, opf Amazon Prime Air ;; 22.9 Years ;;
; N307AZ ;Boeing 767-338ER(BDSF); Cargo ; 6 Sep 2016 ;lsd, opf Amazon Prime Air ;; 24.7 Years ;;
; N311AZ ;Boeing 767-338ER(BDSF); Cargo ; Oct 2016 ; Parked, lsd, opf Amazon Prime Air ;; 30.4 Years ;;
; N313AZ ;Boeing 767-338ER(BDSF); Cargo ; 8 Dec 2016 ;lsd, opf Amazon Prime Air ; 313 ; 31.2 Years ;;
; N317AZ ;Boeing 767-323ER(BDSF); Cargo ; 29 Mar 2021 ;lsd, opf Amazon Prime Air ;; 29.6 Years ;;
; N331AZ ;Boeing 767-319ER(BDSF); Cargo ; 3 Mar 2017 ;lsd, opf Amazon Prime Air ;; 30.8 Years ;;
; N337AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 29 Jun 2017 ;lsd, opf Amazon Prime Air ;; 27.8 Years ;;
; N347AZ ;Boeing 767-319ER(BDSF); Cargo ; Apr 2017 ; Parked, lsd, opf Amazon Prime Air ;; 27.4 Years ;;
; N353AZ ;Boeing 767-323ER(BDSF); Cargo ; 13 Jun 2017 ;lsd, opf Amazon Prime Air ; 353 ; 29.8 Years ;;
; N359AZ ;Boeing 767-323ER(BDSF); Cargo ; Mar 2017 ;lsd, opf Amazon Prime Air ;; 33.8 Years ;;
; N367AZ ;Boeing 767-319ER(BDSF)(WL); Cargo ; 7 Aug 2019 ;lsd, opf Amazon Prime Air ;; 28.6 Years ;;
; N379AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 1 Jul 2019 ;lsd, opf Amazon Prime Air ;; 29.8 Years ;;
; N389AZ ;Boeing 767-319ER(BDSF)(WL); Cargo ; Jun 2019 ;lsd, opf Amazon Prime Air ;; 26.9 Years ;;
; N395CM ;Boeing 767-323ER(BDSF)(WL); Cargo ; 27 Sep 2017 ;lsd ; 395 ; 29.2 Years ;;
; N397AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 18 Sep 2019 ;lsd, opf Amazon Prime Air ;; 33.9 Years ;;
