;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VT-AMD ;Airbus A320-214; Y180 ; 21 Nov 2019 ;lsd ; 10.4 Years ;;
; VT-APJ ;Airbus A320-216; Y180 ; Oct 2015 ;lsd, Kabali (movie) cs ; 11.7 Years ;;
; VT-ATB ;Airbus A320-216(WL); Y180 ; 29 Aug 2014 ;lsd ; 8 Years ;;
; VT-ATF ;Airbus A320-216(WL); Y180 ; 11 Mar 2014 ;lsd ; 8 Years ;;
; VT-ATQ ;Airbus A320-216; Y180 ; 14 Nov 2019 ; Parked, lsd ; 9.2 Years ;;
; VT-BKK ;Airbus A320-214; Y180 ; 16 May 2019 ;lsd ; 11.8 Years ;;
; VT-BLR ;Airbus A320-216; Y180 ; 27 Apr 2015 ; Parked KUL, lsd ; 12.4 Years ;;
; VT-BOM ;Airbus A320-214; Y180 ; 6 Oct 2019 ;lsd ; 10.1 Years ;;
; VT-CCU ;Airbus A320-214; Y180 ; 17 May 2017 ; Parked, lsd ; 11 Years ;;
; VT-GWH ;Airbus A320-216; Y180 ; 9 Mar 2018 ;lsd ; 14.7 Years ;;
; VT-HKG ;Airbus A320-214; Y180 ; 19 Dec 2019 ;lsd ; 10.2 Years ;;
; VT-HYD ;Airbus A320-216; Y180 ; 21 Sep 2016 ;lsd ; 16.3 Years ;;
; VT-IMP ;Airbus A320-216; Y180 ; Feb 2018 ;lsd ; 14.5 Years ;;
; VT-IXC ;Airbus A320-214; Y180 ; 14 Sep 2017 ; Parked KUL, lsd ; 9.9 Years ;;
; VT-IXR ;Airbus A320-214; Y180 ; Dec 2017 ;lsd ; 13.1 Years ;;
; VT-JPR ;Airbus A320-216; Y180 ; 19 Apr 2018 ;lsd ; 13.7 Years ;;
; VT-JRT ;Airbus A320-216; Y180 ; 23 Jan 2015 ;lsd, The Pioneer - A tribute to JRD Tata cs ; 14 Years ;;
; VT-KOC ;Airbus A320-216; Y180 ; Apr 2018 ;lsd ; 14 Years ;;
; VT-KTM ;Airbus A320-214(WL); Y180 ; 17 Oct 2019 ;lsd ; 8.6 Years ;;
; VT-KUL ;Airbus A320-216; Y180 ; 9 Jan 2019 ;lsd ; 14.2 Years ;;
; VT-MLE ;Airbus A320-214; Y180 ; 2 Jan 2020 ;lsd ; 14.3 Years ;;
; VT-NAG ;Airbus A320-214; Y180 ; 21 Nov 2019 ;lsd ; 13.2 Years ;;
; VT-PNQ ;Airbus A320-216; Y180 ; Oct 2016 ; Parked, lsd ; 15.7 Years ;;
; VT-RED ;Airbus A320-216(WL); Y180 ; 15 Dec 2014 ;lsd ; 8.4 Years ;;
; VT-SXR ;Airbus A320-214; Y180 ; 3 Apr 2017 ; Parked KUL, lsd ; 11.1 Years ;;
; VT-VNS ;Airbus A320-216(WL); Y180 ; 21 Feb 2020 ;lsd ; 7.7 Years ;;
; VT-VTZ ;Airbus A320-214; Y180 ; 6 Sep 2018 ;lsd ; 11.6 Years ;;
; VT-ATD ;Airbus A320-251N; Y186 ; 20 Oct 2020 ;lsd ; 1.7 Years ;;
; VT-ATE ;Airbus A320-251N; Y186 ; 26 Nov 2020 ;lsd ; 1.6 Years ;;
; VT-ATG ;Airbus A320-251N; Y186 ; 9 Dec 2020 ;lsd ; 1.4 Years ;;
; VT-ATH ;Airbus A320-251N; Y186 ; 30 Apr 2021 ;lsd ; 0.9 Years ;;
; VT-ATJ ;Airbus A320-251N; Y186 ; 16 Jul 2021 ;lsd ; 0.7 Years ;;
