;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 9M-XBE ;Airbus A330-343; Y367 ; 22 Nov 2018 ; Parked, lsd ;; 15.6 Years ;;
; 9M-XXC ;Airbus A330-343; C12Y365 ; 30 Sep 2009 ; Parked, lsd ; Midnight Xcapade ; 12.5 Years ;;
; 9M-XXD ;Airbus A330-343; C12Y365 ; 18 Nov 2009 ; Parked, lsd, Ultimate Fighting Championship (UFC) cs ; Soaring Xpectations ; 12.4 Years ;;
; 9M-XXE ;Airbus A330-343; C12Y365 ; 22 Dec 2009 ; Parked, lsd ; Pioneering Xpedition ; 12.3 Years ;;
; 9M-XXF ;Airbus A330-343; C12Y365 ; 12 Jul 2010 ; Parked, lsd, 10 Xciting Years cs ; Northern Xposure ; 11.8 Years ;;
; 9M-XXG ;Airbus A330-343; C12Y365 ; 24 Sep 2010 ; Parked, lsd ; Southern Xross ; 11.8 Years ;;
; 9M-XXI ;Airbus A330-343; C12Y365 ; 22 Apr 2013 ; Parked, lsd ; Xakura Blossom ; 8.9 Years ;;
; 9M-XXP ;Airbus A330-343; C12Y365 ; 9 Jan 2014 ; Parked, lsd, "Manny Pacquiao" sticker ; Xiao Long Bao ; 8.3 Years ;;
; 9M-XXQ ;Airbus A330-343; C12Y365 ; 26 Nov 2020 ;lsd ;; 16.3 Years ;;
; 9M-XXR ;Airbus A330-343; C12Y365 ; 4 Nov 2020 ;lsd ;; 17 Years ;;
; 9M-XXT ;Airbus A330-343; C12Y365 ; 14 Aug 2014 ; Parked MNL, lsd, Xcintillating PhoeniX cs ;; 7.6 Years ;;
; 9M-XXU ;Airbus A330-343; C12Y365 ; 24 Nov 2014 ;lsd, X-Men: Apocalypse cs ; Rhythmic Xperience ; 7.3 Years ;;
; 9M-XXV ;Airbus A330-343; C12Y365 ; 23 Dec 2014 ; Parked, lsd ; Global Xpansion ; 7.2 Years ;;
; 9M-XXZ ;Airbus A330-343; C12Y365 ; 30 Apr 2015 ;lsd ; Son of Xcalibur ; 6.9 Years ;;
