;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BOMK ;British Aerospace 146-200QT; Cargo ; 25 Apr 1999 ; 18 Jan 2000 ;EC-HJH PAN AIR Lineas Aereas ;;;
; G-TNTA ;British Aerospace 146-200QT; Cargo ; 5 May 1987 ; 24 May 1999 ;G-TNTA TNT Express ;lsf TNT International Aviation ;;
; G-TNTB ;British Aerospace 146-200QT; Cargo ; 17 Sep 1987 ; 8 Jun 2000 ;G-TNTB TNT Express ;lsf TNT International Aviation ;;
; G-TNTD ;British Aerospace 146-200QT; Cargo ; 28 Apr 1999 ; 15 May 2000 ;I-TPGS Mistral Air ;;;
; G-TNTH ;British Aerospace 146-200QT; Cargo ; 16 Mar 1988 ; Jan 1989 ;G-TNTH TNT Express ;lsf TNT International Aviation ;;
; G-TNTJ ;British Aerospace 146-200QT; Cargo ; 30 Sep 1988 ; 13 Oct 1989 ;D-ANTJ NFD - Nürnberger Flugdienst ;;;
; G-TNTO ;British Aerospace 146-200QT; Cargo ; 31 Aug 1993 ; 28 Apr 1994 ;EC-615 PAN AIR Lineas Aereas ;;;
; G-TNTP ;British Aerospace 146-200QT; Cargo ; 1 Oct 1993 ; 13 Oct 1994 ;EC-719 PAN AIR Lineas Aereas ;;;
; G-BTHT ;British Aerospace 146-300QT; Cargo ; 21 Sep 1994 ; 24 Nov 1995 ;VH-NJM National Jet Systems ;;;
; G-TJPM ;British Aerospace 146-300QT; Cargo ; 4 Jul 1994 ; 20 Sep 1994 ;G-TJPM Sky Pak International Couriers ;;;
; G-TNTE ;British Aerospace 146-300QT; Cargo ; 8 Jun 1990 ; 11 May 2000 ;OO-TAJ TNT Airways ;;;
; G-TNTG ;British Aerospace 146-300QT; Cargo ; 1 May 1991 ; 10 Mar 2000 ;OO-TAE TNT Airways ;;;
; G-TNTK ;British Aerospace 146-300QT; Cargo ; 5 Jun 1991 ; 10 Apr 2000 ;OO-TAF TNT Airways ;;;
; G-TNTL ;British Aerospace 146-300QT; Cargo ; 20 Oct 1993 ; 24 Mar 2000 ;OO-TAH TNT Airways ;;;
; G-TNTM ;British Aerospace 146-300QT; Cargo ; 20 Oct 1993 ; 2 May 2000 ;OO-TAD TNT Airways ;;;
; G-TNTR ;British Aerospace 146-300QT; Cargo ; 12 Dec 1998 ; 14 Feb 2000 ;OO-TAA TNT Airways ;;;
