;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N381LF ;Airbus A320-232;; 20 May 2003 ; 18 Oct 2004 ;N381LF ILFC ;lsf Ryan International Airlines ;;
; N391LF ;Airbus A320-232;; 27 May 2003 ; 18 Oct 2004 ;N391LF ILFC ;lsd ;;
; N941LF ;Airbus A320-233;; 27 Nov 2003 ; 14 Jan 2005 ;TC-OGL Atlasjet ;lsf Ryan International Airlines ;;
; N951LF ;Airbus A320-233; C12Y150 ; 29 Nov 2003 ; 19 Jan 2005 ;TC-OGK Atlasjet ;lsf Ryan International Airlines ;;
; N603AT ;Boeing 717-22A; C12Y105 ; 16 Feb 2004 ; 5 Sep 2014 ;N603AT Delta Air Lines ;771, lsd ;;
; N604AT ;Boeing 717-22A; C12Y105 ; 14 Jan 2004 ; 17 Sep 2008 ;N483HA Hawaiian Airlines ;772, lsd ;;
; N607AT ;Boeing 717-231; C12Y105 ; 14 Feb 2011 ; 21 Dec 2014 ;N607AT Delta Air Lines ;776, lsd ;;
; N608AT ;Boeing 717-231; C12Y105 ; 7 Feb 2011 ; 1 Nov 2014 ;N608AT Delta Air Lines ;777, lsd ;;
; N717JL ;Boeing 717-2BD; C12Y105 ; 31 Jan 2003 ; 29 Dec 2014 ;N717JL Delta Air Lines ;740 ;;
; N891AT ;Boeing 717-2BD; C12Y105 ; 6 May 2004 ; 22 Dec 2013 ;N891AT Delta Air Lines ;741 ;;
; N892AT ;Boeing 717-2BD; C12Y105 ; 4 Aug 2004 ; 27 Jan 2014 ;N892AT Delta Air Lines ;742 ;;
; N893AT ;Boeing 717-2BD; C12Y105 ; 14 Dec 2004 ; 6 Mar 2014 ;N893AT Delta Air Lines ;743, lsd ;;
; N894AT ;Boeing 717-2BD; C12Y105 ; 16 Dec 2004 ; 10 Feb 2014 ;N894AT Delta Air Lines ;744 ;;
; N895AT ;Boeing 717-2BD; C12Y105 ; 21 Jan 2005 ; 7 Feb 2014 ;N895AT Delta Air Lines ;745 ;;
; N896AT ;Boeing 717-2BD; C12Y105 ; 11 Mar 2005 ; 21 Feb 2014 ;N896AT Delta Air Lines ;746, lsd ;;
; N899AT ;Boeing 717-2BD; C12Y105 ; 2 May 2005 ; 2 Oct 2014 ;N899AT Delta Air Lines ;747, lsd ;;
; N906AT ;Boeing 717-231; C12Y105 ; 26 Mar 2003 ; 14 Aug 2014 ;N906AT Delta Air Lines ;795, lsd ;;
; N910AT ;Boeing 717-231; C12Y105 ; 20 May 2003 ; 17 Jul 2014 ;N910AT Delta Air Lines ;794, lsd ;;
; N915AT ;Boeing 717-231; C12Y105 ; 20 May 2003 ; 22 Jul 2014 ;N915AT Delta Air Lines ;793, lsd ;;
; N919AT ;Boeing 717-231; C12Y105 ; 15 Jan 2003 ; 10 Jun 2014 ;N919AT Delta Air Lines ;792, lsd ;;
; N920AT ;Boeing 717-231; C12Y105 ; 25 Feb 2003 ; 13 Jun 2014 ;N920AT Delta Air Lines ;791, lsd ;;
; N921AT ;Boeing 717-231; C12Y105 ; 20 May 2003 ; 23 Apr 2014 ;N921AT Delta Air Lines ;790, lsd ;;
; N922AT ;Boeing 717-2BD; C12Y105 ; 3 Jun 2005 ; 20 Nov 2014 ;N922AT Delta Air Lines ;748 ;;
; N923AT ;Boeing 717-2BD; C12Y105 ; 4 Oct 2005 ; 21 Nov 2014 ;N923AT Delta Air Lines ;749 ;;
; N924AT ;Boeing 717-231; C12Y105 ; 14 May 2003 ; 22 May 2014 ;N924AT Delta Air Lines ;789, lsd ;;
; N925AT ;Boeing 717-231; C12Y105 ; 31 Oct 2003 ; 9 Apr 2014 ;N925AT Delta Air Lines ;788, lsd, "Harry Potter" sticker ;;
; N926AT ;Boeing 717-231; C12Y105 ; 13 Oct 2003 ; 30 Apr 2014 ;N926AT Delta Air Lines ;787, lsd ;;
; N927AT ;Boeing 717-231; C12Y105 ; 25 Sep 2003 ; 6 Apr 2014 ;N927AT Delta Air Lines ;786, lsd ;;
; N928AT ;Boeing 717-231; C12Y105 ; 28 Jul 2003 ; 28 Dec 2014 ;N928AT Delta Air Lines ;785, lsd ;;
; N929AT ;Boeing 717-231; C12Y105 ; 1 Jul 2003 ; 10 Jan 2014 ;N929AT Delta Air Lines ;784, lsd ;;
; N930AT ;Boeing 717-231; C12Y105 ; 5 Nov 2003 ; 29 Dec 2014 ;N930AT Delta Air Lines ;782, lsd ;;
; N932AT ;Boeing 717-231; C12Y105 ; 28 Sep 2003 ; 29 Dec 2014 ;N932AT Delta Air Lines ;783, lsd ;;
; N933AT ;Boeing 717-231; C12Y105 ; 15 Aug 2003 ; 26 Nov 2013 ;N933AT Delta Air Lines ;781, lsd ;;
; N934AT ;Boeing 717-231; C12Y105 ; 30 Jun 2003 ; 30 Dec 2013 ;N934AT Delta Air Lines ;780, lsd ;;
; N935AT ;Boeing 717-231; C12Y105 ; 28 Jul 2003 ; 30 Sep 2013 ;N935AT Delta Air Lines ;779, lsd ;;
; N936AT ;Boeing 717-231; C12Y105 ; 13 Oct 2003 ; 9 Dec 2014 ;N936AT Delta Air Lines ;778, lsd ;;
; N937AT ;Boeing 717-231; C12Y105 ; 28 Sep 2003 ; 22 Nov 2014 ;N937AT Delta Air Lines ;799, lsd ;;
; N938AT ;Boeing 717-2BD; C12Y105 ; 28 Apr 2006 ; 26 Dec 2014 ;N938AT Delta Air Lines ;751 ;;
; N939AT ;Boeing 717-2BD; C12Y105 ; 23 May 2006 ; 1 Dec 2014 ;N939AT Delta Air Lines ;752 ;;
; N940AT ;Boeing 717-2BD; C12Y105 ; 26 Nov 1999 ; 29 Dec 2014 ;N940AT Delta Air Lines ;702 ;;
; N942AT ;Boeing 717-2BD; C12Y105 ; 23 Sep 1999 ; 26 Dec 2014 ;N942AT Delta Air Lines ;703 ;;
; N943AT ;Boeing 717-2BD; C12Y105 ; 24 Sep 1999 ; 29 Dec 2014 ;N943AT Delta Air Lines ;704 ;;
; N944AT ;Boeing 717-2BD; C12Y105 ; 26 Oct 1999 ; 29 Dec 2014 ;N944AT Delta Air Lines ;705 ;;
