;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GHPI ;ATR 42-300;; 1 Jun 2003 ; 17 Nov 2005 ;PK-YRR Trigana Air Service ;lsf Brit Air ;;
; F-GHPS ;ATR 42-300;; 7 Jan 2003 ; 20 Feb 2004 ;F-GHPS Air Guyane ;;;
; F-GHPY ;ATR 42-300; Y48 ; 5 Oct 2002 ; 16 Jun 2004 ;F-GHPY Air France ;;;
; F-GHPZ ;ATR 42-300;; 1 Feb 2002 ; 1 Dec 2002 ;F-GHPZ Air Antilles Express ;;;
; F-GIRC ;ATR 42-300; Y50 ; 8 Jul 2000 ; 1 Sep 2000 ;F-GIRC Air Atlantique (France) ;lsf Air Atlantique (France) ;;
; F-GKNB ;ATR 42-300; Y48 ; 17 Sep 2001 ; 26 Aug 2013 ;OY-EDN Nordic Aviation Capital (NAC) ;lsd ;;
; F-GKNC ;ATR 42-300; Y48 ; Sep 2002 ; Feb 2013 ;F-GKNC Air France ;lsd ;;
; F-GKND ;ATR 42-300; Y50 ; 3 Oct 2001 ; Mar 2003 ;F-GKND Air Atlantique (France) ;lsd ;;
; F-GKYN ;ATR 42-300;; 20 Mar 2000 ; 19 Apr 2011 ;CS-DTO Airlinair Portugal ;;;
; F-GPYA ;ATR 42-500; Y48 ; 11 Dec 2003 ; 31 Mar 2013 ;F-GPYA HOP! ;lsd ;;
; F-GPYB ;ATR 42-500; Y48 ; 27 May 2004 ; 31 Mar 2013 ;F-GPYB HOP! ;lsd ;;
; F-GPYC ;ATR 42-500; Y48 ; 14 Oct 2004 ; 31 Mar 2013 ;F-GPYC HOP! ;lsd ;;
; F-GPYD ;ATR 42-500; Y48 ; 6 Sep 2004 ; 31 Mar 2013 ;F-GPYD HOP! ;lsd ;;
; F-GPYF ;ATR 42-500; Y48 ; 25 Jun 2004 ; 31 Mar 2013 ;F-GPYF HOP! ;lsd ;;
