;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; RP-C3227 ;Airbus A320-214; Y177 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3227 PAL Express ;lsd ;;
; RP-C3228 ;Airbus A320-214; Y177 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3228 PAL Express ;lsd ;;
; RP-C8388 ;Airbus A320-214; Y177 ; 23 Sep 2010 ; 15 Mar 2013 ;RP-C8388 PAL Express ;lsd ;;
; RP-C8389 ;Airbus A320-214; Y177 ; 15 Oct 2010 ; 15 Mar 2013 ;RP-C8389 PAL Express ;lsd ;;
; RP-C8390 ;Airbus A320-214; Y177 ; 25 Nov 2010 ; 15 Mar 2013 ;RP-C8390 PAL Express ;lsd ;;
; RP-C8391 ;Airbus A320-214; Y177 ; 18 Nov 2010 ; 15 Mar 2013 ;RP-C8391 PAL Express ;lsd ;;
; RP-C8393 ;Airbus A320-214; Y177 ; 22 Jul 2011 ; 15 Mar 2013 ;RP-C8393 PAL Express ;lsd ;;
; RP-C8394 ;Airbus A320-214; Y177 ; 17 Nov 2011 ; 15 Mar 2013 ;RP-C8394 PAL Express ;lsd ;;
; RP-C8395 ;Airbus A320-214; Y177 ; 11 Jan 2012 ; 15 Mar 2013 ;RP-C8395 PAL Express ;lsd ;;
; RP-C8396 ;Airbus A320-214; Y177 ; 26 Jan 2012 ; 15 Mar 2013 ;RP-C8396 PAL Express ;lsd ;;
; RP-C8397 ;Airbus A320-214; Y177 ; 2 Feb 2012 ; 15 Mar 2013 ;RP-C8397 PAL Express ;lsd ;;
; RP-C8398 ;Airbus A320-214; Y177 ; 19 Apr 2012 ; 15 Mar 2013 ;RP-C8398 PAL Express ;lsd ;;
; RP-C8399 ;Airbus A320-214; Y177 ; 31 Oct 2012 ; 15 Mar 2013 ;RP-C8399 PAL Express ;lsd ;;
; RP-C2025 ;Boeing 737-222;; 28 Mar 2010 ;; Stored ;;;
; RP-C3011 ;Boeing 737-2H4(A);; 28 Mar 2010 ;; Stored ;;;
; RP-C3012 ;Boeing 737-2H4(A);; 28 Mar 2010 ;; Stored ;;;
; RP-C3015 ;Boeing 737-2H4(A);; 28 Mar 2010 ;; Stored ;;;
; RP-C8011 ;Boeing 737-247(A);; 28 Mar 2010 ; 25 May 2012 ;N606DG Aerway Leasing ;;;
; RP-C3030 ;Bombardier DHC-8-402Q Dash 8; Y76 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3030 PAL Express ;;;
; RP-C3031 ;Bombardier DHC-8-402Q Dash 8; Y76 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3031 PAL Express ;;;
; RP-C3032 ;Bombardier DHC-8-402Q Dash 8; Y76 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3032 PAL Express ;;;
; RP-C3033 ;Bombardier DHC-8-402Q Dash 8; Y76 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3033 PAL Express ;;;
; RP-C3036 ;Bombardier DHC-8-402Q Dash 8; Y76 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3036 PAL Express ;;;
; RP-C3016 ;De Havilland Canada DHC-8-314Q Dash 8; Y56 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3016 PAL Express ;;;
; RP-C3017 ;De Havilland Canada DHC-8-314Q Dash 8; Y56 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3017 PAL Express ;;;
; RP-C3018 ;De Havilland Canada DHC-8-314Q Dash 8; Y56 ; 28 Mar 2010 ; 15 Mar 2013 ;RP-C3018 PAL Express ;;;
; RP-C3020 ;De Havilland Canada DHC-8-314Q Dash 8; Y56 ; 19 Dec 2012 ; 15 Mar 2013 ;RP-C3020 PAL Express ;lsd ;;
