;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FTDA ;Airbus A320-212; Y180 ; 30 Apr 2000 ; 1 Nov 2000 ;C-FTDA Skyservice Airlines ;lsf Skyservice Airlines ;;
; C-FTDF ;Airbus A320-231;; 30 Apr 2001 ; 1 Nov 2001 ;C-FTDF Skyservice Airlines ;lsf Skyservice Airlines ;;
; C-GTDB ;Airbus A320-212;; 30 Apr 2001 ; 2 Nov 2001 ;C-GTDB Skyservice Airlines ;lsf Skyservice Airlines ;;
; C-GTDC ;Airbus A320-232; Y180 ; 3 Jun 1998 ; 15 Dec 1998 ;C-GTDC Skyservice Airlines ;lsf Skyservice Airlines ;;
; C-GTDM ;Airbus A320-231;; 17 Apr 2002 ; 1 May 2002 ;C-GTDM MyTravel ;lsd ;;
; G-COEZ ;Airbus A320-231;; 28 Jan 1997 ; 1 May 2002 ;G-COEZ MyTravel ;;;
; G-CRPH ;Airbus A320-231;; 21 Mar 2000 ; 1 May 2002 ;G-CRPH MyTravel ;;;
; G-DACR ;Airbus A320-212;; 27 Feb 1996 ; 7 Jan 1997 ;OY-CNR Premiair ;lsd ;;
; G-DJAR ;Airbus A320-231;; 18 Mar 1997 ; 1 May 2002 ;G-DJAR MyTravel ;;;
; G-DRVE ;Airbus A320-212;; 16 May 1996 ; 20 Mar 1997 ;OY-CNB Premiair ;lsd ;;
; G-FHAJ ;Airbus A320-231;; 14 Nov 2001 ; 1 May 2002 ;G-FHAJ MyTravel ;;;
; G-HBAP ;Airbus A320-212;; 1 Feb 1996 ; 26 Jan 1997 ;OY-CNP Premiair ;lsd ;;
; G-JANM ;Airbus A320-211;; 1 Dec 1995 ; 22 Nov 1996 ;OY-CNM Premiair ;lsd ;;
; G-JDFW ;Airbus A320-212;; 17 Nov 1995 ; 27 Nov 1996 ;OY-CNW Premiair ;lsd ;;
; G-JOEM ;Airbus A320-231;; 12 Apr 2000 ; 1 May 2002 ;G-JOEM MyTravel ;;;
; G-OZBB ;Airbus A320-212; Y180 ; 7 Dec 1999 ; 28 Apr 2000 ;G-OZBB Monarch Airlines ;lsf Monarch Airlines ;;
; G-RDVE ;Airbus A320-231;; 19 Feb 1997 ; 1 May 2002 ;G-RDVE MyTravel ;lsd ;;
; G-RRJE ;Airbus A320-211;; 15 May 1996 ; 4 Mar 1997 ;OY-CNC Premiair ;lsd ;;
; G-SSAS ;Airbus A320-231;; 3 Apr 2002 ; 1 May 2002 ;G-SSAS MyTravel ;;;
; G-SUEE ;Airbus A320-231;; 12 Jul 2000 ; 1 May 2002 ;G-SUEE MyTravel ;lsd ;;
; G-TICL ;Airbus A320-231;; 10 Dec 1996 ; 1 May 2002 ;G-TICL MyTravel ;;;
; G-TMDP ;Airbus A320-231;; 1 Nov 1996 ; 1 May 2002 ;G-TMDP MyTravel ;;;
; G-TPTT ;Airbus A320-212; Y180 ; 5 Mar 1996 ; 20 Mar 1999 ;OO-AEY Air Belgium ;lsd ;;
; G-VCED ;Airbus A320-231;; 21 Jan 1997 ; 1 May 2002 ;G-VCED MyTravel ;;;
; G-YJBM ;Airbus A320-231;; 29 Aug 2000 ; 1 May 2002 ;G-YJBM MyTravel ;;;
; G-DHJH ;Airbus A321-211; Y220 ; 7 Jun 2000 ; 1 May 2002 ;G-DHJH MyTravel ;lsd ;;
; G-JSJX ;Airbus A321-211; Y220 ; 3 Apr 1998 ; 1 May 2002 ;G-JSJX MyTravel ;lsd ;;
; G-NIKO ;Airbus A321-211; Y220 ; 21 Jun 2000 ; 1 May 2002 ;G-NIKO MyTravel ;lsd ;;
; G-VOLH ;Airbus A321-211; Y220 ; 15 May 1998 ; 1 May 2002 ;G-VOLH MyTravel ;lsd ;;
; G-CSJS ;Airbus A330-243;; 28 Apr 2001 ; 29 Nov 2001 ;OY-VKF Premiair ;;;
; G-MDBD ;Airbus A330-243;; 24 Jun 1999 ; 5 Mar 2001 ;G-MDBD Garuda Indonesia ;;;
; G-MLJL ;Airbus A330-243;; 15 Jun 1999 ; 1 May 2002 ;G-MLJL MyTravel ;;;
; G-MOJO ;Airbus A330-243;; 22 Apr 2001 ; 4 Nov 2001 ;G-MOJO Premiair ;;;
; C-FBUS ;Airbus A330-322; C32Y331 ; 30 Oct 2001 ; 23 Apr 2002 ;C-FBUS Skyservice Airlines ;lsf Skyservice Airlines ;;
; OO-ILK ;Boeing 737-3Q8(QC);; 1 Nov 1998 ; 3 Jan 1999 ;OO-ILK Air Belgium ;lsf Air Belgium ;;
; ZK-NZZ ;Boeing 747-219B;; 28 Apr 1998 ; 2 Nov 1998 ;ZK-NZZ Air New Zealand ;lsf Air New Zealand ;;
; G-CSVS ;Boeing 757-236;; 19 Oct 1993 ; 30 Apr 1998 ;TF-GRL Greenlandair ;;;
; G-JALC ;Boeing 757-225; Y233 ; 6 Mar 1995 ; 1 May 2002 ;G-JALC MyTravel ;;;
; G-LCRC ;Boeing 757-23A;; 27 Oct 1993 ; 1 May 2002 ;G-LCRC MyTravel ;lsd ;;
; G-MCEA ;Boeing 757-225; Y233 ; 30 Apr 1998 ; 1 May 2002 ;G-MCEA MyTravel ;;;
; G-PIDS ;Boeing 757-225; Y233 ; 9 Jan 1995 ; 1 May 2002 ;G-PIDS MyTravel ;;;
; G-RJGR ;Boeing 757-225; Y233 ; 15 Apr 1997 ; 1 May 2002 ;G-RJGR MyTravel ;;;
; G-WJAN ;Boeing 757-21K; Y233 ; 20 Mar 1997 ; 1 May 2002 ;G-WJAN MyTravel ;;;
; G-DAJC ;Boeing 767-31KER;; 15 Apr 1994 ; 1 May 2002 ;G-DAJC MyTravel ;;;
; G-DIMB ;Boeing 767-31KER;; 26 Mar 2002 ; 1 May 2002 ;G-DIMB MyTravel ;;;
; G-SJMC ;Boeing 767-31KER;; 16 Mar 1994 ; 1 May 2002 ;G-SJMC MyTravel ;;;
; ZK-NCM ;Boeing 767-35HER;; 27 Apr 1998 ; 3 Nov 1998 ;ZK-NCM Air New Zealand ;lsf Air New Zealand ;;
; G-DPSP ;McDonnell Douglas DC-10-10;; 29 Aug 2000 ; 8 Feb 2002 ;G-DPSP MyTravel ;;;
; G-TAOS ;McDonnell Douglas DC-10-10;; 1 Aug 2000 ; 8 Feb 2002 ;G-TAOS MyTravel ;;;
; G-TDTW ;McDonnell Douglas DC-10-10;; 25 Oct 2000 ; 8 Feb 2002 ;G-TDTW MyTravel ;;;
