;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; OE-IFE ;Boeing 737-3S1(SF); Cargo ; 21 Jan 2021 ; Parked ; 31.6 Years ;;
; ZK-FXJ ;Boeing 737-36E(BDSF); Cargo ; 28 Aug 2019 ;lsd ; 30.1 Years ;;
; ZK-FXK ;Boeing 737-36E(BDSF); Cargo ; 7 Oct 2019 ;lsd ; 30.5 Years ;;
; ZK-FXL ;Boeing 737-4D7(SF); Cargo ; 21 Oct 2020 ;; 24.2 Years ;;
; ZK-JTQ ;Boeing 737-476(SF); Cargo ; 12 Dec 2013 ;opf Toll Aviation ; 29.4 Years ;;
; ZK-PAK ;Boeing 737-476(SF); Cargo ; 9 Dec 2015 ;opf Parcelair ; 28.9 Years ;;
; ZK-PAQ ;Boeing 737-476(SF); Cargo ; 22 Mar 2016 ;opf Parcelair ; 29.3 Years ;;
; ZK-PAT ;Boeing 737-4Y0(SF); Cargo ; 19 Jul 2016 ;opf Parcelair ; 31.6 Years ;;
; ZK-PAU ;Boeing 737-4Q8(SF); Cargo ; 3 Jul 2018 ;; 30.2 Years ;;
; ZK-TLJ ;Boeing 737-476(SF); Cargo ; 15 Oct 2015 ;opf Toll Aviation ; 31.7 Years ;;
; ZK-TLK ;Boeing 737-476(SF); Cargo ; 3 Feb 2016 ;opf Toll Aviation ; 31.5 Years ;;
; ZK-TLL ;Boeing 737-484(SF); Cargo ; 24 Aug 2016 ;opf Toll Aviation ; 30.4 Years ;;
; ZK-TLM ;Boeing 737-42C(SF); Cargo ; 10 Dec 2019 ;; 30.7 Years ;;
; N224NZ ;Boeing 757-223(PCF)(WL);; 14 Feb 2022 ; Parked ; 30.2 Years ;;
; N225NZ ;Boeing 757-223(PCF)(WL);; 14 Feb 2022 ; Parked ; 30 Years ;;
