;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-TLE ;Airbus A320-231;; 2 May 1998 ; 1 Nov 1998 ;EI-TLE TransAer International Airlines ;lsf TransAer International Airlines ;;
; EI-TLF ;Airbus A320-231;; 1 May 1997 ; 31 Oct 1997 ;EI-TLF TransAer International Airlines ;lsf Translift Airways ;;
; G-BVJV ;Airbus A320-231;; 15 Apr 1997 ; 17 Nov 1997 ;G-EPFR Airtours International Airways ;lsd ;;
; G-BVJW ;Airbus A320-231;; 22 Apr 1997 ; 1 Nov 1997 ;N467RX ORIX Aviation ;Mallorca, lsd ;;
; G-BVZU ;Airbus A320-231;; 1 Apr 1997 ; 4 Nov 1997 ;N280RX Mexicana ;lsd ;;
; G-BXKC ;Airbus A320-214;; 28 Apr 1998 ; 1 Nov 1998 ;G-BXKC Flying Colours ;lsd ;;
; G-BXKD ;Airbus A320-214; Y180 ; 1 May 1998 ; 1 Nov 1998 ;G-BXKD Flying Colours ;lsd ;;
; G-BXRW ;Airbus A320-231;; 30 Mar 1998 ; 8 May 1998 ;EC-GUR Iberworld ;;;
; G-BXTA ;Airbus A320-214;; 30 Apr 1998 ; 1 Nov 1998 ;G-BXTA Flying Colours ;lsd ;;
; N714AW ;Airbus A320-214;; 24 Apr 1998 ; 26 Oct 1998 ;N714AW Ryan International Airlines ;lsd ;;
; N716AW ;Airbus A320-214;; 26 Apr 1998 ; 1 Nov 1998 ;N716AW Flying Colours ;lsd ;;
; G-BXAW ;Airbus A321-211; Y220 ; 7 Apr 1997 ; 1 Nov 1998 ;G-BXAW Flying Colours ;lsd ;;
; G-BXNP ;Airbus A321-211; Y220 ; 26 Feb 1998 ; 1 Nov 1998 ;G-BXNP Flying Colours ;lsd ;;
