;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; YI- ;Airbus A321-131;; 31 Jan 2015 ; 5 May 2015 ;EP-MMZ Mahan Airlines ;;;
; YI- ;Airbus A340-313;; 23 Dec 2014 ; 5 May 2015 ;EP-MMD Mahan Airlines ;;;
; YI-NAA ;Airbus A340-642;; 8 Feb 2015 ; 30 Aug 2015 ;EP-MME Mahan Airlines ;;;
; YI-NAB ;Airbus A340-642;; 8 Feb 2015 ; 19 Aug 2015 ;EP-MMF Mahan Airlines ;;;
; YI-NAC ;Airbus A340-642;; 8 Feb 2015 ; 10 Sep 2015 ;EP-MMG Mahan Airlines ;;;
; YI-NAD ;Airbus A340-642;; 18 Nov 2014 ; 5 May 2015 ;EP-MMI Mahan Airlines ;;;
; YI-NAE ;Airbus A340-642;; 27 Nov 2014 ; 5 May 2015 ;EP-MMQ Mahan Airlines ;;;
; YI- ;Airbus A340-642;; 25 Mar 2015 ; 5 May 2015 ;EP-MMR Mahan Airlines ;;;
; YI-APY ;Boeing 737-201(A);; Feb 2009 ;; Stored ;lsf Iraqi Airways ;;
; YI-APZ ;Boeing 737-201(A);; Aug 2009 ; Nov 2014 ;YI-APZ Niger Airlines ;;;
; JY-JAX ;Boeing 737-322; Y148 ; 2009 ; Nov 2011 ;JY-JAX Jordan Aviation ;lsf Jordan Aviation ;;
; YI-AQS ;Boeing 737-48E;; 6 May 2011 ; 15 Apr 2019 ;YI-AQS UR Airlines ;;;
