;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N361VA ;Airbus A320-214(WL); C12Y138 ; 11 Jan 2018 ;; 361 ; 9 Years ;;
; N364VA ;Airbus A320-214(WL); C12Y138 ; 11 Jan 2018 ;lsd ; 364 ; 5.8 Years ;;
; N628VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked PAE, lsd ; 628 ; 15.2 Years ;;
; N629VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 629 ; 15.1 Years ;;
; N630VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 630 ; 14.9 Years ;;
; N632VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked OAK, lsd ; 632 ; 14.8 Years ;;
; N633VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked PAE, lsd ; 633 ; 14.5 Years ;;
; N635VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 635 ; 14.1 Years ;;
; N636VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 636 ; 14 Years ;;
; N637VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;; 637 ; 13.9 Years ;;
; N638VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 638 ; 13.8 Years ;;
; N639VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 639 ; 15.1 Years ;;
; N640VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked GSO, lsd ; 640 ; 14.2 Years ;;
; N641VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked OAK, lsd ; 641 ; 13.4 Years ;;
; N642VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked GSO, lsd ; 642 ; 13.4 Years ;;
; N835VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 835 ; 11.4 Years ;;
; N836VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 836 ; 11.4 Years ;;
; N837VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 837 ; 11.1 Years ;;
; N838VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 838 ; 11.1 Years ;;
; N839VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 839 ; 11 Years ;;
; N840VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 840 ; 11 Years ;;
; N841VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 841 ; 10.9 Years ;;
; N842VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 842 ; 10.6 Years ;;
; N843VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 843 ; 10.5 Years ;;
; N844VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 844 ; 10.5 Years ;;
; N845VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 845 ; 10.4 Years ;;
; N846VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 846 ; 10.4 Years ;;
; N847VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 847 ; 10.2 Years ;;
; N848VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 848 ; 10.2 Years ;;
; N849VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 849 ; 10.1 Years ;;
; N851VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 851 ; 10.1 Years ;;
; N852VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd ; 852 ; 10.1 Years ;;
; N853VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ; Parked, lsd ; 853 ; 10 Years ;;
; N854VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd, Fly with Pride cs ; 854 ; 10 Years ;;
; N855VA ;Airbus A320-214; C12Y138 ; 11 Jan 2018 ;lsd, Giants cs ; 855 ; 9.7 Years ;;
; N921VA ;Airbus A321-253N; C16Y174 ; 11 Jan 2018 ;lsd ; 921 ; 4.9 Years ;;
; N922VA ;Airbus A321-253N; C16Y174 ; 11 Jan 2018 ;lsd ; 922 ; 4.8 Years ;;
; N923VA ;Airbus A321-253N; C16Y174 ; 11 Jan 2018 ;lsd ; 923 ; 4.3 Years ;;
; N924VA ;Airbus A321-253N; C16Y174 ; 31 Jan 2018 ;lsd ; 924 ; 4.1 Years ;;
; N925VA ;Airbus A321-253N; C16Y174 ; 11 Jan 2018 ;lsd ; 925 ; 4.2 Years ;;
; N926VA ;Airbus A321-253N; C16Y174 ; 27 Apr 2018 ; Parked, lsd, More to Love cs ; 926 ; 3.9 Years ;;
; N927VA ;Airbus A321-253N; C16Y174 ; 28 Mar 2018 ;lsd, More to Love cs ; 927 ; 3.9 Years ;;
; N928VA ;Airbus A321-253N; C16Y174 ; 24 May 2018 ;lsd ; 928 ; 3.8 Years ;;
; N929VA ;Airbus A321-253N; C16Y174 ; 14 Jun 2019 ;lsd ; 929 ; 2.7 Years ;;
; N930VA ;Airbus A321-253N; C16Y174 ; 10 Oct 2019 ;lsd ; 930 ; 2.7 Years ;;
; N291BT ;Boeing 737-9 MAX; C16Y162 ; 28 Jun 2021 ;; 291 ; 0.7 Years ;;
; N913AK ;Boeing 737-9 MAX; C16Y162 ; 24 Jan 2021 ;; 913 ; 2.7 Years ;;
; N915AK ;Boeing 737-9 MAX; C16Y162 ; 22 Mar 2021 ;Seattle Kraken Ice Hockey Team cs ; 915 ; 2.5 Years ;;
; N918AK ;Boeing 737-9 MAX; C16Y162 ; 20 Feb 2021 ;; 918 ; 2.2 Years ;;
; N919AK ;Boeing 737-9 MAX; C16Y162 ; 8 Mar 2021 ;; 919 ; 1.1 Years ;;
