;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VH-UYB ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 30 Mar 2021 ;Air Force Centenary 2021 cs ; 16.4 Years ;;
; VH-UYC ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y114 ; 4 Jun 2021 ;lst Airnorth ; 16.4 Years ;;
; VH-UYF ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 19 May 2021 ;; 15.7 Years ;;
; VH-UYI ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 24 Jan 2022 ; Parked ; 15.4 Years ;;
; VH-UYJ ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 25 Nov 2021 ;; 15.3 Years ;;
; VH-UYK ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 15 Jul 2021 ;; 14.8 Years ;;
; VH-UYN ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 3 Aug 2021 ;; 14.6 Years ;;
; VH-UYO ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 9 Mar 2021 ;; 14.6 Years ;;
; VH-UYR ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y114 ; 23 Oct 2021 ;lst Airnorth ; 14.5 Years ;;
; VH-UYU ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 15 Oct 2021 ;; 14.4 Years ;;
; VH-UYW ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 24 Dec 2020 ;; 13.9 Years ;;
; VH-UYY ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 18 Jan 2021 ;; 13.5 Years ;;
; VH-UYZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 3 Nov 2020 ;; 13.3 Years ;;
; VH-UZD ;Embraer ERJ-190AR (ERJ-190-100 IGW);; 31 Jan 2022 ; Parked, opf QantasLink ; 14 Years ;;
; VH-XFL ;Embraer ERJ-190LR (ERJ-190-100 LR); C10Y84 ; 31 Aug 2021 ;; 11.8 Years ;;
; VH-XFM ;Embraer ERJ-190LR (ERJ-190-100 LR); C10Y84 ; 13 Sep 2021 ;; 11 Years ;;
; VH-XVQ ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; 23 Sep 2021 ; Parked ; 14.3 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW); C10Y84 ; Due ; Stored ; 15.8 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.9 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 15 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 15.3 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 15.2 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.5 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.8 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.4 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.3 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 13.8 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 13.7 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 14.5 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 13.5 Years ;;
; VH- ;Embraer ERJ-190AR (ERJ-190-100 IGW);; Due ; Stored ; 13.7 Years ;;
