;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; CP-2715 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jun 2012 ;lsd ; 24.1 Years ;;
; CP-2733 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 22 Aug 2012 ;lsd, Nueva Santa Cruz Ciudad Inteligente cs ; 24.1 Years ;;
; CP-2762 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 6 Feb 2013 ;lsd ; 25 Years ;;
; CP-2856 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 12 Feb 2014 ;lsd ; 24 Years ;;
; CP-2908 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 20 Oct 2014 ;lsd, Bolivia Corazón del Sur cs ; 23.7 Years ;;
; CP-3085 ;Bombardier CRJ-200LR (CL-600-2B19);; 10 Jul 2017 ; Parked ; 25.7 Years ;;
; CP-3092 ;De Havilland Canada DHC-8-202 Dash 8; Y37 ; 4 Dec 2017 ;lsd ; 25.8 Years ;;
; CP-3098 ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 19 Jan 2018 ;; 25.5 Years ;;
; CP-3133 ;Embraer ERJ-190STD (ERJ-190-100);; 15 Oct 2019 ;lsd ; 9.2 Years ;;
; CP-3135 ;Embraer ERJ-190LR (ERJ-190-100 LR);; 24 Oct 2019 ;lsd ; 10.5 Years ;;
; CP-3142 ;Embraer ERJ-190LR (ERJ-190-100 LR);; 8 Jan 2020 ;lsd ; 10.4 Years ;;
; CP-3145 ;Embraer ERJ-190LR (ERJ-190-100 LR);; 23 Jan 2020 ;lsd ; 10.4 Years ;;
; CP-3171 ;Embraer ERJ-190LR (ERJ-190-100 LR);; Jun 2021 ;lsd ; 10.4 Years ;;
