;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N919AZ ;ATR 72-500(F) (72-212A); Cargo ; 18 Oct 2021 ;opby Silver Airways ;; 13 Years ;;;
; N929AZ ;ATR 72-500(F) (72-212A); Cargo ; 29 Oct 2021 ;opby Silver Airways ;; 15.9 Years ;;;
; N937AZ ;ATR 72-500 (72-212A); Cargo ; 24 Nov 2021 ;opby Silver Airways ;; 15.2 Years ;;;
; N947AZ ;ATR 72-500 (72-212A); Cargo ; 20 Dec 2021 ;opby Silver Airways ;; 18.9 Years ;;;
; N967AZ ;ATR 72-500 (72-212A); Cargo ; Due ;opby Silver Airways ;; 17.3 Years ;;;
; EI-AZA ;Boeing 737-86N(SF)(WL); Cargo ; 13 Sep 2021 ;opby ASL Airlines Ireland ;; 20.4 Years ;;;
; EI-AZB ;Boeing 737-8AS(SF)(WL); Cargo ; 23 Oct 2021 ;opby ASL Airlines Ireland ;; 21.7 Years ;;;
; EI-AZC ;Boeing 737-86J(SF)(WL); Cargo ; 25 Nov 2021 ;opby ASL Airlines Ireland ;; 21 Years ;;;
; EI-AZD ;Boeing 737-86Q(SF)(WL); Cargo ; 12 Dec 2021 ;opby ASL Airlines Ireland ;; 19.4 Years ;;;
; EI-DAC ;Boeing 737-8AS(BCF)(WL); Cargo ; 6 Nov 2020 ;Ode to Fly, opby ASL Airlines Ireland ;; 19.3 Years ;;;
; EI-DAD ;Boeing 737-8AS(BCF)(WL); Cargo ; 26 Oct 2020 ;opby ASL Airlines Ireland ;; 19.3 Years ;;;
; N5113A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 19.8 Years ;;;
; N5147A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 19.7 Years ;;;
; N5153A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 19.6 Years ;;;
; N5167A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 17.3 Years ;;;
; N5179A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 19.6 Years ;;;
; N5209A ;Boeing 737-83N(BCF)(WL); Cargo ; 12 Jun 2020 ;opby Sun Country Airlines ; 5209 ; 20.3 Years ;;;
; N5227A ;Boeing 737-86N(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 18 Years ;;;
; N5233A ;Boeing 737-84P(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 15.9 Years ;;;
; N5237A ;Boeing 737-84P(BCF)(WL); Cargo ; 17 Nov 2021 ;opby Atlas Air ;; 16.1 Years ;;;
; N5261A ;Boeing 737-83N(BCF)(WL); Cargo ; 13 Jun 2020 ; Parked, opby Sun Country Airlines ;; 20.5 Years ;;;
; N5479A ;Boeing 737-83N(BCF)(WL); Cargo ; 21 Jul 2020 ;opby Sun Country Airlines ;; 20.3 Years ;;;
; N5683A ;Boeing 737-84P(BCF)(WL); Cargo ; 12 Jun 2020 ;opby Sun Country Airlines ;; 20.2 Years ;;;
; N5693A ;Boeing 737-84P(BCF)(WL); Cargo ; 3 Jun 2020 ;Aurora, opby Sun Country Airlines ;; 22.6 Years ;;;
; N7901A ;Boeing 737-84P(BCF)(WL); Cargo ; 26 Jun 2020 ;opby Sun Country Airlines ;; 16.4 Years ;;;
; N7907A ;Boeing 737-83N(BCF)(WL); Cargo ; 15 Jun 2020 ;Bias for Altitude, opby Sun Country Airlines ;; 20.4 Years ;;;
; N7919A ;Boeing 737-84P(BCF)(WL); Cargo ; 19 Jun 2020 ;opby Sun Country Airlines ;; 16.2 Years ;;;
; N7933A ;Boeing 737-86N(BCF)(WL); Cargo ; 20 Jul 2020 ;opby Sun Country Airlines ;; 17.9 Years ;;;
; N7949A ;Boeing 737-86N(BCF)(WL); Cargo ; 3 Aug 2020 ;opby Sun Country Airlines ; 7949 ; 18.1 Years ;;;
; N8011A ;Boeing 737-84P(BCF)(WL); Cargo ; 13 Nov 2020 ;opby Sun Country Airlines ;; 16.4 Years ;;;
; N8059A ;Boeing 737-86J(BCF)(WL); Cargo ; 29 Oct 2020 ;opby Sun Country Airlines ;; 23.1 Years ;;;
; C-GAZF ;Boeing 767-338ER(BDSF)(WL); Cargo ; 25 Jun 2021 ;opby Cargojet Airways ;; 30.3 Years ;;;
; C-GAZI ;Boeing 767-338ER(BDSF)(WL); Cargo ; 13 Jul 2021 ;opby Cargojet Airways ;; 27.6 Years ;;;
; N1013A ;Boeing 767-36NER(BCF); Cargo ; 5 Jun 2018 ;opby Atlas Air ; 013 ; 22.2 Years ;;;
; N1049A ;Boeing 767-36NER(BDSF); Cargo ; 6 Sep 2019 ;opby Air Transport International ; 049 ; 22.4 Years ;;;
; N1093A ;Boeing 767-36NER(BDSF); Cargo ; 1 Apr 2017 ;opby Atlas Air ; 93A ; 22.2 Years ;;;
; N1181A ;Boeing 767-3Y0ER(BDSF); Cargo ; 13 Jul 2017 ;opby Atlas Air ;; 28.9 Years ;;;
; N1229A ;Boeing 767-306ER(BDSF); Cargo ; 2 Jun 2017 ;opby Atlas Air ;; 23.1 Years ;;;
; N1321A ;Boeing 767-306ER(BCF); Cargo ; 14 Jun 2017 ;Excelsior, opby Atlas Air ;; 26.6 Years ;;;
; N1327A ;Boeing 767-37DER(BDSF); Cargo ; 6 Oct 2017 ; Parked, opby Atlas Air ;; 25.3 Years ;;;
; N1361A ;Boeing 767-31BER(BCF)(WL); Cargo ; 12 Aug 2017 ; Parked, opby Atlas Air ; 61A ; 27 Years ;;;
; N1373A ;Boeing 767-31KER(BDSF)(WL); Cargo ; 17 Nov 2017 ;opby Atlas Air ;; 28.1 Years ;;;
; N1381A ;Boeing 767-316ER(BCF)(WL); Cargo ; 24 Oct 2017 ;opby Atlas Air ;; 24.2 Years ;;;
; N1399A ;Boeing 767-306ER(BDSF); Cargo ; 6 Jan 2018 ;opby Atlas Air ;; 25.9 Years ;;;
; N1409A ;Boeing 767-306ER(BCF); Cargo ; 20 Dec 2017 ;opby Atlas Air ;; 25.5 Years ;;;
; N1427A ;Boeing 767-306ER(BCF); Cargo ; 3 Apr 2018 ;opby Atlas Air ; 27A ; 26 Years ;;;
; N1439A ;Boeing 767-33AER(BDSF); Cargo ; 3 Dec 2019 ;opby Air Transport International ;; 25.1 Years ;;;
; N1487A ;Boeing 767-31KER(BDSF)(WL); Cargo ; 8 Nov 2018 ;Valor, opby Atlas Air ; 487 ; 24.9 Years ;;;
; N1489A ;Boeing 767-31KER(BCF)(WL); Cargo ; 10 Jul 2018 ;opby Atlas Air ;; 28 Years ;;;
; N1499A ;Boeing 767-328ER(BCF); Cargo ; 10 Sep 2018 ;opby Atlas Air ; 499 ; 26.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N1511A ;Boeing 767-383ER(BDSF); Cargo ; 24 Apr 2018 ;opby Atlas Air ;; 33 Years ;;;
; N1619A ;Boeing 767-3Y0ER(BDSF); Cargo ; 15 Sep 2018 ;opby Atlas Air ;; 28.7 Years ;;;
; N1709A ;Boeing 767-375ER(BDSF); Cargo ; 21 Jul 2017 ;opby Atlas Air ;; 33.2 Years ;;;
; N1997A ;Boeing 767-33AER(BDSF); Cargo ; 2 Aug 2016 ;Amazon One, opby Atlas Air ; 97A ; 27.7 Years ;;;
; N227AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 12 Feb 2021 ;opby Air Transport International ;; 27.2 Years ;;;
; N229AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 3 May 2021 ;opby Air Transport International ; 229 ; 28 Years ;;;
; N233AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 12 May 2021 ;opby Air Transport International ; 233 ; 23.8 Years ;;;
; N239AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 25 May 2021 ;opby Air Transport International ;; 27.1 Years ;;;
; N241AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 10 Sep 2021 ;opby Air Transport International ;; 27.1 Years ;;;
; N251AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 9 Dec 2021 ;opby Air Transport International ;; 22.9 Years ;;;
; N257AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 20 Nov 2021 ;opby Air Transport International ;; 22.9 Years ;;;
; N307AZ ;Boeing 767-338ER(BDSF); Cargo ; 6 Sep 2016 ;opby Air Transport International ;; 24.7 Years ;;;
; N311AZ ;Boeing 767-338ER(BDSF); Cargo ; 31 Oct 2016 ;Peculi'air, opby Air Transport International ;; 30.4 Years ;;;
; N313AZ ;Boeing 767-338ER(BDSF); Cargo ; 20 Dec 2016 ;opby Air Transport International ; 313 ; 31.2 Years ;;;
; N317AZ ;Boeing 767-323ER(BDSF); Cargo ; 21 Apr 2021 ;opby Air Transport International ;; 29.6 Years ;;;
; N331AZ ;Boeing 767-319ER(BDSF); Cargo ; 3 Mar 2017 ;opby Air Transport International ;; 30.8 Years ;;;
; N337AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 22 Jul 2017 ;opby Air Transport International ;; 27.8 Years ;;;
; N347AZ ;Boeing 767-319ER(BDSF); Cargo ; 30 Apr 2017 ; Parked, opby Air Transport International ; 347 ; 27.4 Years ;;;
; N353AZ ;Boeing 767-323ER(BDSF); Cargo ; 13 Jun 2017 ;opby Air Transport International ; 353 ; 29.8 Years ;;;
; N359AZ ;Boeing 767-323ER(BDSF); Cargo ; 1 Apr 2017 ;opby Air Transport International ;; 33.8 Years ;;;
; N367AZ ;Boeing 767-319ER(BDSF)(WL); Cargo ; 7 Aug 2019 ;opby Air Transport International ;; 28.6 Years ;;;
; N379AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 1 Jul 2019 ;opby Air Transport International ;; 29.8 Years ;;;
; N389AZ ;Boeing 767-319ER(BDSF)(WL); Cargo ; Jun 2019 ;opby Air Transport International ;; 26.9 Years ;;;
; N397AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 27 Sep 2019 ;opby Air Transport International ;; 33.9 Years ;;;
; N409AZ ;Boeing 767-3P6ER(BDSF)(WL); Cargo ; 13 Dec 2019 ;opby Air Transport International ;; 31.4 Years ;;;
; N419AZ ;Boeing 767-319ER(BDSF)(WL); Cargo ; 30 Nov 2019 ;opby Air Transport International ;; 27.3 Years ;;;
; N431AZ ;Boeing 767-381ER(BCF); Cargo ; 2 Sep 2020 ;opby Air Transport International ;; 32.4 Years ;;;
; N433AZ ;Boeing 767-381ER(BCF); Cargo ; 2 Oct 2020 ;opby Air Transport International ;; 32.7 Years ;;;
; N443AZ ;Boeing 767-323ER(BDSF); Cargo ; 30 May 2020 ;Relentless, opby Air Transport International ; 443 ; 29.7 Years ;;;
; N449AZ ;Boeing 767-3P6ER(BDSF)(WL); Cargo ; 2 Jul 2020 ; Parked, opby Air Transport International ;; 31.3 Years ;;;
; N457AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 5 Aug 2020 ;opby Air Transport International ; 457 ; 29 Years ;;;
; N479AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 18 Mar 2021 ;opby Air Transport International ;; 28.8 Years ;;;
; N491AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 28 Feb 2021 ;opby Air Transport International, Coming 2 America cs ;; 23.9 Years ;;;
; N499AZ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 13 Mar 2021 ;;; 23.7 Years ;;;
; N503AZ ;Boeing 767-338ER(BDSF)(WL); Cargo ; 13 Mar 2021 ;opby Air Transport International ;; 30.4 Years ;;;
; N569AZ ;Boeing 767-338ER(BDSF)(WL); Cargo ; 24 Dec 2021 ;opby Air Transport International ;; 30.5 Years ;;;
; N607AZ ;Boeing 767-332ER(WL);; Due ; Stored, opby Unknown ;; 22 Years ;;;
; N619AZ ;Boeing 767-332ER(WL);; Due ; Stored ;; 21.9 Years ;;;
