;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N282AT ;ATR 42-300; Y46 ; 15 May 1998 ; Dec 2001 ;N282AT American Eagle ;282 ;;
; N423MQ ;ATR 42-300; Y46 ; 15 May 1998 ; 2 Nov 1999 ;N423MQ American Eagle ;423, lsd ;;
; N971NA ;ATR 42-300; Y46 ; Sep 2000 ; 15 Jul 2002 ;N971NA American Eagle ;971, lsf Executive Airlines ;;
; N355AT ;ATR 72-212; Y64 ; 15 May 1998 ; 1 Oct 2002 ;N355AT American Eagle ;355 ;;
; N500AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 3 Oct 2001 ; 15 Apr 2014 ;N500AE American Eagle ;500 ;;
; N501BG ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 9 Jan 2002 ; 15 Apr 2014 ;N501BG American Eagle ;501 ;;
; N502AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 5 Apr 2002 ; 15 Apr 2014 ;N502AE American Eagle ;502 ;;
; N503AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 12 Feb 2002 ; 15 Apr 2014 ;N503AE American Eagle ;503 ;;
; N504AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 23 May 2002 ; 15 Apr 2014 ;N504AE American Eagle ;504 ;;
; N505AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 30 Oct 2002 ; 15 Apr 2014 ;N505AE American Eagle ;505 ;;
; N506AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 31 Oct 2002 ; 15 Apr 2014 ;N506AE American Eagle ;506 ;;
; N507AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 31 Oct 2002 ; 15 Apr 2014 ;N507AE American Eagle ;507 ;;
; N508AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 9 Jan 2003 ; 15 Apr 2014 ;N508AE American Eagle ;508 ;;
; N509AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 30 Jan 2003 ; 15 Apr 2014 ;N509AE American Eagle ;509 ;;
; N510AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 9 Jun 2003 ; 15 Apr 2014 ;N510AE American Eagle ;510 ;;
; N511AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 13 Jun 2003 ; 15 Apr 2014 ;N511AE American Eagle ;511 ;;
; N512AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 10 Jul 2003 ; 15 Apr 2014 ;N512AE American Eagle ;512 ;;
; N513AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 4 Sep 2003 ; 15 Apr 2014 ;N513AE American Eagle ;513 ;;
; N514AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 9 Oct 2003 ; 15 Apr 2014 ;N514AE American Eagle ;514 ;;
; N515AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 23 Oct 2003 ; 15 Apr 2014 ;N515AE American Eagle ;515 ;;
; N516AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 30 Oct 2003 ; 15 Apr 2014 ;N516AE American Eagle ;516 ;;
; N517AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 30 Oct 2003 ; 15 Apr 2014 ;N517AE American Eagle ;517 ;;
; N518AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 4 Dec 2003 ; 15 Apr 2014 ;N518AE American Eagle ;518 ;;
; N519AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 15 Jan 2004 ; 15 Apr 2014 ;N519AE American Eagle ;519 ;;
; N520DC ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 1 Apr 2004 ; 15 Apr 2014 ;N520DC American Eagle ;520 ;;
; N521AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 27 Apr 2004 ; 15 Apr 2014 ;N521AE American Eagle ;521 ;;
; N522AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 4 Jun 2004 ; 15 Apr 2014 ;N522AE American Eagle ;522 ;;
; N523AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 25 Jun 2004 ; 15 Apr 2014 ;N523AE American Eagle ;523 ;;
; N524AE ;Bombardier CRJ-701ER (CL-600-2C10); C9Y54 ; 9 Jul 2004 ; 15 Apr 2014 ;N524AE American Eagle ;524 ;;
; N525AE ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 28 Jun 2010 ; 15 Apr 2014 ;N525AE American Eagle ;525 ;;
; N526EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 14 Jul 2010 ; 15 Apr 2014 ;N526EA American Eagle ;526 ;;
; N527EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 15 Jul 2010 ; 15 Apr 2014 ;N527EA American Eagle ;527 ;;
; N528EG ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 22 Jul 2010 ; 15 Apr 2014 ;N528EG American Eagle ;528 ;;
; N529EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 29 Jul 2010 ; 15 Apr 2014 ;N529EA American Eagle ;529 ;;
; N530EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 19 Aug 2010 ; 15 Apr 2014 ;N530EA American Eagle ;530 ;;
; N531EG ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 1 Sep 2010 ; 15 Apr 2014 ;N531EG American Eagle ;531 ;;
; N532EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 22 Sep 2010 ; 15 Apr 2014 ;N532EA American Eagle ;532 ;;
; N533AE ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 28 Sep 2010 ; 15 Apr 2014 ;N533AE American Eagle ;533 ;;
; N534AE ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 15 Oct 2010 ; 15 Apr 2014 ;N534AE American Eagle ;534 ;;
; N535EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 20 Oct 2010 ; 15 Apr 2014 ;N535EA American Eagle ;535 ;;
; N536EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 16 Nov 2010 ; 15 Apr 2014 ;N536EA American Eagle ;536 ;;
; N537EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 3 Dec 2010 ; 15 Apr 2014 ;N537EA American Eagle ;537 ;;
; N538EG ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 1 Dec 2010 ; 15 Apr 2014 ;N538EG American Eagle ;538 ;;
; N539EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 6 Jan 2011 ; 15 Apr 2014 ;N539EA American Eagle ;539 ;;
; N540EG ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 12 Jan 2011 ; 15 Apr 2014 ;N540EG American Eagle ;540 ;;
; N541EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 31 Jan 2011 ; 15 Apr 2014 ;N541EA American Eagle ;541 ;;
; N542EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 16 Mar 2011 ; 15 Apr 2014 ;N542EA American Eagle ;542 ;;
; N543EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 23 Mar 2011 ; 15 Apr 2014 ;N543EA American Eagle ;543 ;;
; N544EA ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 1 Apr 2011 ; 15 Apr 2014 ;N544EA American Eagle ;544 ;;
; N545PB ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 5 Apr 2011 ; 15 Apr 2014 ;N545PB American Eagle ;545 ;;
; N546FF ;Bombardier CRJ-702ER (CL-600-2C10); C9Y56 ; 20 Apr 2011 ; 15 Apr 2014 ;N546FF American Eagle ;546 ;;
; N700LE ;Embraer ERJ-135LR; Y37 ; 3 Aug 1999 ; 2008 ;N700LE American Eagle ;700 ;;
; N701MH ;Embraer ERJ-135LR; Y37 ; 18 Aug 1999 ; 2009 ;N701MH American Eagle ;701 ;;
; N702AE ;Embraer ERJ-135LR; Y37 ; 27 Aug 1999 ; 2 Mar 2009 ;N702AE American Eagle ;702 ;;
; N703MR ;Embraer ERJ-135LR; Y37 ; 22 Sep 1999 ; 16 Nov 2009 ;N703MR American Eagle ;703 ;;
