;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N502SR ;Boeing 747-1D1;; 12 May 1993 ; Mar 1994 ;TF-ABO Saudi Arabian Airlines ;;;
; N701CK ;Boeing 747-146(SF); Cargo ; 4 Aug 1992 ; 3 Feb 1999 ;N701CK Kitty Hawk International ;;;
; N702CK ;Boeing 747-146(SF); Cargo ; 21 Aug 1992 ; 3 Feb 1999 ;N702CK Kitty Hawk International ;;;
; N703CK ;Boeing 747-146;; 2 Mar 1996 ; 3 Feb 1999 ;N703CK Kalitta Air ;;;
; N704CK ;Boeing 747-146;; 2 Mar 1996 ; 3 Feb 1999 ;N704CK Kitty Hawk International ;704 ;;
; N705CK ;Boeing 747SR-46;; 17 Mar 1994 ;; Stored ;;;
; N709CK ;Boeing 747-132(SF); Cargo ; 30 Jun 1998 ; 3 Feb 1999 ;N709CK Kitty Hawk International ;;;
; N706CK ;Boeing 747-238B(SF); Cargo ; 24 May 1994 ; Apr 1997 ;N4051L Stewart Industries International ;;;
; N707CK ;Boeing 747-269B(SF); Cargo ; 9 Aug 1995 ; 3 Feb 1999 ;N707CK Kitty Hawk International ;;;
; N708CK ;Boeing 747-269B(SF); Cargo ; 26 Jun 1995 ; 3 Feb 1999 ;N708CK Kitty Hawk International ;;;
; N710CK ;Boeing 747-2B4B(SF); Cargo ; 26 Sep 1997 ; 27 Nov 1998 ;N710CK North Atlantic Air ;;;
; N712CK ;Boeing 747-2B4B(SF); Cargo ; 22 Sep 1998 ; 3 Feb 1999 ;N712CK Kitty Hawk International ;;;
; N713CK ;Boeing 747-2B4B(SF); Cargo ; 30 Oct 1998 ; 1 Dec 1998 ;N713CK North Atlantic Air ;;;
; N6161C ;Douglas DC-8-55CF Jet Trader; Cargo ; 20 Jan 1993 ; 3 Feb 1999 ;N6161C Kitty Hawk International ;;;
; N6161M ;Douglas DC-8-55CF Jet Trader; Cargo ; 14 Dec 1992 ; 3 Feb 1999 ;N6161M Kitty Hawk International ;;;
; N801CK ;Douglas DC-8-55CF Jet Trader; Cargo ; 1 Mar 1991 ; 3 Feb 1999 ;N801CK Kitty Hawk International ;;;
; N802CK ;Douglas DC-8-54CF Jet Trader; Cargo ; Dec 1995 ; 31 Mar 1998 ;N802CK Trans Continental Airlines ;;;
; N803CK ;Douglas DC-8-54(F); Cargo ; 1 Mar 1991 ; 7 Apr 1992 ;9Q-CLV Air Zaïre ;;;
; N804CK ;Douglas DC-8-51(F); Cargo ; 1 Mar 1991 ; Dec 1996 ; Scrapped ;;;
; N8052U ;Douglas DC-8-54AF Jet Trader; Cargo ; 31 Dec 1996 ; 3 Feb 1999 ;N8052U Kitty Hawk International ;lsf Chrysler Corporation ;;
; N805CK ;Douglas DC-8-51(F); Cargo ; 1 Mar 1991 ; 5 Dec 1994 ;N805CK Trans Continental Airlines ;;;
; N806CK ;Douglas DC-8-54(F); Cargo ; 1 Mar 1991 ; 3 Feb 1999 ;N806CK Kitty Hawk International ;;;
