;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N172AJ ;Boeing 757-223(PCF)(WL); Cargo ; 8 Sep 2021 ; Parked MIA ;; 19.9 Years ;;
; N1902S ;Boeing 757-256(PCF)(WL); Cargo ; 14 Jan 2022 ; Parked MIA ;; 27.6 Years ;;
; N286GB ;Boeing 757-256(PCF)(WL); Cargo ; 8 Jan 2022 ; Parked MIA ;; 27.6 Years ;;
; N818NH ;Boeing 757-256(PCF)(WL); Cargo ; 16 Jun 2021 ;;; 21.5 Years ;;
; N653GT ;Boeing 767-231(BDSF); Cargo ; 28 May 2021 ;lsf DHL, opf DHL ;; 38.6 Years ;;
; N656GT ;Boeing 767-281(BDSF); Cargo ; 23 Jan 2021 ;;; 38.1 Years ;;
; N657GT ;Boeing 767-281(BDSF); Cargo ; 18 Nov 2020 ;opf DHL ;; 38 Years ;;
; N658GT ;Boeing 767-281(BDSF); Cargo ; 2 Dec 2020 ;opf DHL ;; 37.9 Years ;;
; N659GT ;Boeing 767-281(BDSF); Cargo ; 24 Feb 2021 ;opf DHL ;; 37.2 Years ;;
; N743AX ;Boeing 767-232(BDSF); Cargo ; 15 Jul 2010 ;lsd ;; 39.3 Years ;;
; N316CM ;Boeing 767-338ER(BDSF); Cargo ; 13 Aug 2014 ;lsd ;; 33.6 Years ;;
; N319CM ;Boeing 767-338ER(BDSF); Cargo ; 1 Oct 2014 ;lsd ;; 33.3 Years ;;
; N347CM ;Boeing 767-323ER(BDSF)(WL); Cargo ; 2 Oct 2018 ;lsd ;; 28.7 Years ;;
; N349CM ;Boeing 767-323ER(BDSF)(WL); Cargo ; 28 Sep 2020 ;lsd ; 349 ; 28.5 Years ;;
; N373CM ;Boeing 767-338ER(BDSF); Cargo ; 4 Dec 2015 ;lsd ;; 31.3 Years ;;
; N378CX ;Boeing 767-323ER(BDSF)(WL); Cargo ; 30 May 2018 ;lsd ; 378 ; 27.8 Years ;;
; N396CM ;Boeing 767-323ER(BDSF); Cargo ; 31 Oct 2017 ;lsd ;; 30.3 Years ;;
; N432AX ;Boeing 767-323ER(BDSF)(WL); Cargo ; 22 Aug 2021 ;lsd ; 432 ; 27.2 Years ;;
