;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; TC-JFC ;Boeing 737-8F2(WL); Y189 ; 17 Jun 2016 ; Parked ; Van ; 23.6 Years ;;
; TC-JFD ;Boeing 737-8F2(WL); Y189 ; 1 Jul 2016 ;; Artvin ; 23.5 Years ;;
; TC-JFE ;Boeing 737-8F2(WL); Y189 ; 2 Jul 2016 ;; Hatay ; 23.5 Years ;;
; TC-JFF ;Boeing 737-8F2(WL); Y189 ; 16 Apr 2016 ;; Nazilli ; 23.5 Years ;;
; TC-JFG ;Boeing 737-8F2(WL); Y189 ; 1 Jul 2016 ;; Mardin ; 23.5 Years ;;
; TC-JFH ;Boeing 737-8F2(WL); Y189 ; 28 Jun 2016 ;; Iğdır ; 23.5 Years ;;
; TC-JFI ;Boeing 737-8F2(WL); Y189 ; 21 May 2016 ;; Sivas ; 23 Years ;;
; TC-JFJ ;Boeing 737-8F2(WL); Y189 ; 27 Jun 2016 ;; Ağrı ; 22.9 Years ;;
; TC-JFK ;Boeing 737-8F2(WL); Y189 ; 3 Jul 2016 ;; Zonguldak ; 22.9 Years ;;
; TC-JFL ;Boeing 737-8F2(WL); Y189 ; 13 Feb 2021 ;; Dumlupınar ; 22.8 Years ;;
; TC-JFM ;Boeing 737-8F2(WL); Y189 ; 29 Jan 2021 ;; Niğde ; 22.8 Years ;;
; TC-JFN ;Boeing 737-8F2(WL); Y189 ; 24 Oct 2016 ;; Bitlis ; 22.7 Years ;;
; TC-JFO ;Boeing 737-8F2(WL); Y189 ; 12 May 2017 ;; Edirne ; 22.7 Years ;;
; TC-JFP ;Boeing 737-8F2(WL); Y189 ; 15 Jun 2017 ;; Amasya ; 22.6 Years ;;
; TC-JFR ;Boeing 737-8F2(WL); Y189 ; 27 May 2017 ;opby SunExpress ; Giresun ; 22.5 Years ;;
; TC-JFT ;Boeing 737-8F2(WL); Y189 ; 18 Jun 2016 ;; Kastamonu ; 22.2 Years ;;
; TC-JFU ;Boeing 737-8F2(WL); Y189 ; 27 Jan 2021 ; Parked ; Elazığ ; 22.2 Years ;;
; TC-JFY ;Boeing 737-8F2(WL); Y189 ; 13 Jun 2017 ;; Şişli ; 22 Years ;;
; TC-JFZ ;Boeing 737-8F2(WL); Y189 ; 2 Jun 2017 ; Parked ; Bolu ; 21.9 Years ;;
; TC-JGA ;Boeing 737-8F2(WL); Y189 ; 13 Feb 2021 ;; Malatya ; 21.9 Years ;;
; TC-JGC ;Boeing 737-8F2(WL); Y189 ; 21 Feb 2021 ;;; 21.1 Years ;;
; TC-JGF ;Boeing 737-8F2(WL); Y189 ; 20 Jun 2016 ; Parked ; Beşiktaş ; 20 Years ;;
; TC-JGR ;Boeing 737-8F2(WL); Y189 ; 19 Feb 2021 ;; Uşak ; 15.7 Years ;;
; TC-JGS ;Boeing 737-8F2(WL); Y189 ; 18 Feb 2021 ;; Kahramanmaraş ; 15.6 Years ;;
; TC-JGT ;Boeing 737-8F2(WL); Y189 ; 12 Feb 2021 ;; Avanos ; 15.6 Years ;;
; TC-JGU ;Boeing 737-8F2(WL); Y189 ; 13 Jan 2021 ;; Bodrum ; 15.6 Years ;;
; TC-JGV ;Boeing 737-8F2(WL); Y189 ; 15 Feb 2021 ;; Çeşme ; 15.6 Years ;;
; TC-JGY ;Boeing 737-8F2(WL); Y189 ; 18 Apr 2021 ;; Manavgat ; 13.8 Years ;;
; TC-JHA ;Boeing 737-8F2(WL); Y189 ; 6 Mar 2021 ;; Mudanya ; 13.6 Years ;;
; TC-JHB ;Boeing 737-8F2(WL); Y189 ; 15 Apr 2021 ;; Atışalanı ; 13.6 Years ;;
; TC-JHC ;Boeing 737-8F2(WL); Y189 ; 11 Apr 2021 ;; İskenderun ; 13.5 Years ;;
; TC-JHD ;Boeing 737-8F2(WL); Y189 ; 17 Mar 2021 ;; Serik ; 13.4 Years ;;
; TC-JHE ;Boeing 737-8F2(WL); Y189 ; 14 Apr 2021 ;; Burhaniye ; 13.2 Years ;;
; TC-JHF ;Boeing 737-8F2(WL); Y189 ; 4 Apr 2021 ;; Ayvalık ; 13.3 Years ;;
; TC-JKU ;Boeing 737-8Q8(WL); Y189 ; 14 Jun 2018 ;lsd ;; 7 Years ;;
; TC-JKV ;Boeing 737-8Q8(WL); Y189 ; 14 Jun 2018 ;lsd ;; 6.7 Years ;;
; TC-JZJ ;Boeing 737-8AS(WL); Y189 ; 12 Feb 2020 ;lsd ;; 10.4 Years ;;
; TC-JZK ;Boeing 737-8AS(WL); Y189 ; 31 Jan 2020 ;lsd ;; 10.3 Years ;;
