;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-HYA ;Airbus A320-211;; Jan 1991 ; 11 Apr 2002 ;N220AN Ansett Worldwide (AWAS) ;lsd ;;
; VH-HYB ;Airbus A320-211;; Jan 1991 ; 11 Apr 2002 ;N230AN Ansett Worldwide (AWAS) ;lsd ;;
; VH-HYC ;Airbus A320-211;; Jan 1991 ; 25 Jul 2002 ;N240SE Singapore Aircraft Leasing Enterprise (SALE) ;;;
; VH-HYD ;Airbus A320-211;; Jan 1991 ; 4 Jun 2004 ;TS-INJ Nouvelair Tunisie ;;;
; VH-HYE ;Airbus A320-211;; Jan 1991 ; 8 Oct 2002 ;N260SE Singapore Aircraft Leasing Enterprise (SALE) ;;;
; VH-HYF ;Airbus A320-211;; Jan 1991 ; 7 Aug 2002 ;N270SE Singapore Aircraft Leasing Enterprise (SALE) ;;;
; VH-HYG ;Airbus A320-211;; Jan 1991 ; 13 Aug 2002 ;N290SE Singapore Aircraft Leasing Enterprise (SALE) ;lsd ;;
; VH-HYH ;Airbus A320-211;; Jan 1991 ; 2 Jul 2004 ;F-GZZZ Eagle Aviation France ;;;
; VH-HYI ;Airbus A320-211;; 16 Jan 1991 ; 29 Aug 2002 ;D-AKFW Airbus Industrie ;;;
; VH-HYJ ;Airbus A320-211;; 29 Jan 1991 ; 2 Sep 2002 ;D-AKFX Airbus Industrie ;;;
; VH-HYK ;Airbus A320-211; C28Y106 ; 6 Mar 1991 ; 20 Nov 2002 ;D-AKFY Airbus Industrie ;;;
; VH-HYL ;Airbus A320-211; C28Y106 ; 8 Apr 1992 ; 13 Sep 2002 ;N229AN Ansett Worldwide (AWAS) ;;;
; VH-HYN ;Airbus A320-211; C28Y106 ; 28 Nov 1997 ; 4 Mar 2002 ;N726NS ILFC ;lsd ;;
; VH-HYO ;Airbus A320-211; C28Y106 ; 30 Aug 1995 ; 14 Sep 2001 ;EK32009 Armavia ;;;
