;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PJ-DHA ;De Havilland Canada DHC-8-311A Dash 8; Y50 ; 23 Jun 1992 ; Sep 2001 ;N341CT CIT Leasing Corporation ;lsd ;;
; PJ-DHB ;De Havilland Canada DHC-8-311A Dash 8; Y50 ; 23 Jun 1992 ; 25 Sep 2001 ;N343CT CIT Leasing Corporation ;lsd ;;
; PJ-DHC ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; Nov 1990 ; Jun 1992 ;N169CL WTC - Wilmington Trust Company ;;;
; PJ-DHD ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; Dec 1990 ; Mar 1993 ;N184CL Bangkok Airways ;lsd ;;
; PJ-DHE ;De Havilland Canada DHC-8-311(SCD) Dash 8; Y50/Cargo ; 23 Dec 1996 ; 7 Jul 2001 ;PJ-DHE Dutch Caribbean Express (DCE) ;lsd ;;
; PJ-DHI ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 15 Mar 1997 ; 7 Jul 2001 ;PJ-DHI Dutch Caribbean Express (DCE) ;lsd ;;
; N711LF ;Douglas DC-8-33(F); Cargo ; 7 Feb 1978 ; Jul 1978 ;N711LF Air Gabon ;lsf Rosenbalm Aviation ;;
; N903CL ;Douglas DC-8-33;; Jun 1978 ; Oct 1978 ;N903CL Capitol Air ;St Eustatius, lsf Capitol Air ;;
; PH-DCO ;Douglas DC-8-53;; 6 Oct 1978 ; 12 Oct 1979 ;N121GA Gulfstream American ;Saba, lsf KLM Royal Dutch Airlines ;;
; N358WS ;Lockheed L-188A(F) Electra; Cargo ; Oct 1989 ; 8 Apr 1992 ;N358WS MCA Leasing Corporation ;;;
; N359Q ;Lockheed L-188C(F) Electra; Cargo ; 19 Feb 1993 ; 15 Mar 1993 ;G-LOFA Air Atlantique ;lsd ;;
; N665F ;Lockheed L-188A(F) Electra; Cargo ; 1 Apr 1991 ; Dec 1994 ;G-LOFC Air Atlantique ;lsd ;;
; PJ-DNA ;McDonnell Douglas DC-9-15;; 1 Nov 1968 ; 11 Feb 1975 ;N54648 McDonnell Douglas ;Aruba ;;
; PJ-DNB ;McDonnell Douglas DC-9-15;; 1 Nov 1968 ; 5 Mar 1975 ;N48075 McDonnell Douglas ;Bonaire ;;
; PJ-DNC ;McDonnell Douglas DC-9-15;; 1 Oct 1970 ; 25 Jun 1975 ;N48200 McDonnell Douglas ;Curacao ;;
; N935F ;McDonnell Douglas DC-9-33CF;; Mar 1970 ; 2 May 1970 ; Written Off ;lsf Overseas National Airways (ONA) ;;
; PH-MAX ;McDonnell Douglas DC-9-32;; Dec 1979 ; Apr 1980 ;PH-MAX Martinair Holland ;lsf Martinair Holland ;;
; PJ-SME ;McDonnell Douglas DC-9-32;; 15 Dec 1981 ; 3 Jun 1983 ;N3991C American International Airways ;St Maarten ;;
; PJ-SNA ;McDonnell Douglas DC-9-32; Y113 ; 17 Jan 1975 ; 12 Jan 1987 ;G-PKBM British Midland ;Aruba ;;
; PJ-SNB ;McDonnell Douglas DC-9-32; Y113 ; 11 Apr 1975 ; 2 Aug 1988 ;G-PKBD British Midland ;Bonaire ;;
; PJ-SNC ;McDonnell Douglas DC-9-32; Y113 ; 13 Jun 1975 ; 15 Oct 1982 ;N932L Ozark Airlines ;Curaçao ;;
; PJ-SND ;McDonnell Douglas DC-9-32;; 28 Apr 1980 ; 6 Jul 1980 ;6Y-JIJ Air Jamaica ;lsf Air Jamaica ;;
; N57837 ;McDonnell Douglas MD-82 (DC-9-82);; 9 May 1990 ; 1 Sep 1990 ;N57837 Continental Air Lines ;lsf Continental Air Lines ;;
; N76823 ;McDonnell Douglas MD-82 (DC-9-82);; 1 May 1988 ; 15 May 1991 ;N76823 Continental Air Lines ;lsf Continental Air Lines ;;
; PJ-SEF ;McDonnell Douglas MD-82 (DC-9-82);; 4 Oct 1982 ; Nov 2002 ;PJ-SEF Dutch Caribbean Airlines (DCA) ;;;
; PJ-SEG ;McDonnell Douglas MD-82 (DC-9-82);; 4 Oct 1982 ; 2002 ;PJ-SEG Dutch Caribbean Airlines (DCA) ;;;
; PJ-SEH ;McDonnell Douglas MD-82 (DC-9-82);; 8 May 1991 ; Oct 2002 ;PJ-SEH Dutch Caribbean Airlines (DCA) ;;;
; S5-ABD ;McDonnell Douglas MD-82 (DC-9-82);; 10 Apr 1993 ; 2 Jul 1993 ;S5-ABD Adria Airways ;lsf Adria Airways ;;
; D-ALLV ;McDonnell Douglas MD-83 (DC-9-83); Y167 ; Nov 1999 ; 10 May 2000 ;EC-HNC Spanair ;lsf Aero Lloyd ;;
