;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 5N-MJF ;Boeing 737-7GL(WL); Y149 ; 4 Dec 2007 ;; Queen of Angels ; 14.3 Years ;;
; 5N-MJH ;Boeing 737-7BD(WL); C12Y119 ; 27 May 2008 ; Parked ; Margaret ; 13.9 Years ;;
; 5N-MJJ ;Boeing 737-76N(WL); C12Y112 ; 4 Feb 2009 ; Parked, lsd ; City of Benin ; 21 Years ;;
; 5N-MJK ;Boeing 737-76N(WL); C12Y112 ; 9 Apr 2009 ;lsd ; Ville de Niamey ; 20.8 Years ;;
; EI-GVW ;Boeing 737-7K2(WL);; 27 Aug 2021 ;lsf Eznis Airways ;; 10.9 Years ;;
; 5N-MJN ;Boeing 737-86N(WL); C16Y132 ; 12 Feb 2009 ;lsd ; Eddington ; 13.1 Years ;;
; 5N-MJO ;Boeing 737-86N(WL); C16Y132 ; 29 Jun 2009 ; Parked LOS, lsd ; Augustine ; 13 Years ;;
; 5N-MJP ;Boeing 737-8JE(WL); C20Y126 ; 28 Oct 2009 ; Parked JNB ; Sultan of Sokoto ; 12.5 Years ;;
; 5N-MJQ ;Boeing 737-8JE(WL); C20Y126 ; 16 Feb 2010 ;; City of Calabar ; 12.4 Years ;;
; 5N-JEE ;Bombardier CRJ-1000ER (CL-600-2E25); C12Y80 ; 27 Jun 2014 ;;; 8.3 Years ;;
; 5N-JEA ;Bombardier CRJ-900ER (CL-600-2D24); C10Y65 ; 2 Oct 2006 ;; Anthony ; 16.2 Years ;;
; 5N-JEB ;Bombardier CRJ-900ER (CL-600-2D24); C10Y65 ; 2 Oct 2006 ;; Patrick ; 16.2 Years ;;
; 5N-JEC ;Bombardier CRJ-900ER (CL-600-2D24); C10Y65 ; 2 Oct 2006 ;; John Paul II ; 16.4 Years ;;
; 5N-JED ;Bombardier CRJ-900ER (CL-600-2D24); C10Y65 ; 31 Mar 2007 ;; Abraham ; 15.1 Years ;;
; 5N-BKU ;Bombardier DHC-8-402Q Dash 8; C10Y62 ; 14 Oct 2009 ;; Christopher ; 14 Years ;;
; 5N-BKV ;Bombardier DHC-8-402Q Dash 8; C10Y62 ; 23 Sep 2009 ;; Cyprian ; 13.6 Years ;;
; 5N-BKW ;Bombardier DHC-8-402Q Dash 8;; 29 Sep 2014 ;; Nicholas ; 8 Years ;;
; 5N-BKX ;Bombardier DHC-8-402Q Dash 8;; 20 Nov 2014 ;; Stephen ; 7.7 Years ;;
